	Voltage(V)	Current(A)	Current(A) stdev	J(mA/cm2)	J(mA/cm2) stdev	PE(lm/W)	PE(lm/W) stdev	EQE(%)	EQE(%) stdev	L(cd/m2)	L(cd/m2) stdev	CE(cd/A)	CE(cd/A) stdev
0	-0.999966125	-1.0846143125e-06	8.213349098515416e-07	-0.006778843125	0.005133351985950212	-7.766488125	31.325081761603236	1.5026016250000005	15.809671698729614	-0.017416843750000015	0.40311271290167094	2.472054728724639	9.970735269335881
1	-0.7999866874999999	-6.37525375e-07	4.442265535441734e-07	-0.0039845375	0.0027764232430131665	-14.640148125000003	74.7802757612316	-8.439390625000001	28.583032830480146	-0.05119519375	0.4188173200936872	3.728050596489158	19.042322698733347
2	-0.5999638125	-3.662221875e-07	2.653465128872101e-07	-0.00228888825	0.001658417200046723	-54.7780225	111.67501485454986	-17.815479375000002	43.120027739743435	-0.09530178875	0.2553787338507205	10.46127413817929	21.32728086057834
3	-0.3999545625	-1.804583e-07	1.3767911395419605e-07	-0.0011278643125	0.0008604949395310758	-98.455736875	438.5231931138883	-71.859060625	114.37816933181736	-0.05432811500000001	0.28895373803558655	12.534267124699486	55.8286350933955
4	-0.19999562499999998	-5.6824509749999996e-08	5.51762200242255e-08	-0.00035515283999999997	0.000344850663558292	-38497.961950000004	113284.63186558336	-10097.59956875	27038.066202700345	-0.014498799999999996	0.4394080189260077	-1208.3740074979264	7519.904168456731
5	6.2555074375e-05	1.2979241618749998e-08	8.291722378476504e-09	8.11202084e-05	5.182321643480167e-05	-14405249468.5625	55775854902.98257	-87649.56093125002	349916.3083014359	-0.01825808124999999	0.3437488591015198	-35049.43329739551	138737.43048700897
6	0.2000525	7.748885e-08	4.901090922376365e-08	0.000484305625	0.0003063193138699131	-570.50278125	2520.000116342792	-98.67133125000001	241.81543095966737	-0.07094620625	0.40484554645918436	-36.32861601871003	160.471755215581
7	0.39999456250000004	1.8269533125e-07	1.304933425321945e-07	0.0011418464375	0.0008155836297282738	-260.5745925	451.09617727900263	-10.243470000000004	109.10132408728074	-0.1881917625	0.34018488749127634	-33.17729540717856	57.435622752723276
8	0.599985125	3.459399375e-07	2.3353022648322976e-07	0.0021621241875000004	0.0014595635637652195	-78.0957625	134.31848794372033	-38.882355000000004	74.47984593893791	-0.17786897125	0.36775540113279154	-14.914906107686981	25.65272023557663
9	0.7999978125	5.325562500000001e-07	2.65913579540774e-07	0.00332847625	0.001661959222649111	-15.073722499999999	57.09410095891721	-7.6819701875	48.7861469155627	-0.13157004375	0.3829803949574654	-3.838504305676274	14.53885000573845
10	1.0000018750000002	8.782210625e-07	4.276182157734965e-07	0.0054888775	0.0026726065793259302	-4.857289374999999	29.614941771334042	-9.861977687500001	23.61751563790231	-0.021044781250000016	0.33156611985348833	-1.5461161946763522	9.42681880469634
11	1.200006875	1.3642296875e-06	6.504213386500629e-07	0.008526435624999999	0.004065135124851277	0.49442992500000016	11.181667820565114	-0.8881312500000001	13.209871157243489	0.014356825000000005	0.2783335350434495	0.1888279727836518	4.271104567350044
12	1.400013125	2.0377061875000003e-06	9.349872881869986e-07	0.012735663125	0.005843673510170763	-3.8729712000000003	6.905968467090288	-0.08439200000000002	6.502493742844394	-0.166629280625	0.2841186658073641	-1.72594919909838	3.0776044394770588
13	1.600015	2.977008125e-06	1.2990487713814805e-06	0.018606295625	0.008119069853292133	0.11351723124999996	3.151978677544893	-3.7275758125	7.819997899175183	0.011987735000000003	0.21045218470407387	0.057810641826618867	1.605307854043466
14	1.79999625	4.239958125e-06	1.718084272526448e-06	0.026499737500000002	0.010738030939194287	-0.1939393125	2.391964732692189	-0.3474985937499999	5.705271967967449	-0.018688324999999995	0.33226518707268204	-0.1111161575226893	1.3704972120840333
15	1.9999850000000001	5.96038e-06	2.375911234792348e-06	0.03725238125	0.014849442553477333	-0.7340387499999999	1.8454127827913087	-0.42782056249999995	2.9014224736380165	-0.136072075	0.33009788280438973	-0.4672979939756662	1.1748192496295973
16	2.20008375	8.291780625e-06	3.2831440850815334e-06	0.05182363125	0.02051966238601158	-0.11084170687500003	0.8233609978241797	-0.7813119562499999	1.453675216031066	-0.028966760312499992	0.31711906836971315	-0.07763733786123506	0.5765868422849547
17	2.4000568749999998	1.1627269375e-05	4.591306331450599e-06	0.07267045	0.028695703579586614	-0.1596534125	0.9628228882693255	-0.72770539375	1.3537578547970464	-0.020635481250000004	0.4022734836804329	-0.12193648551003922	0.7355685125348053
18	2.600049375	1.653475e-05	6.488147719381279e-06	0.10334214375	0.040550944016400046	0.07479068750000001	0.6109945998561197	-0.46881883125	0.7859118621607163	0.1001753125	0.32572416450574376	0.061902992358446755	0.5056849148530953
19	2.800025625	2.45282375e-05	9.35722461890243e-06	0.15330155	0.05848274269080367	0.6129318750000001	0.4719987560632277	-0.12195572499999999	0.6341225734195267	0.81595525	0.53770673990121	0.5463065047497602	0.4206856933777241
20	2.9999725	3.7663306250000005e-05	1.3825277930681393e-05	0.2353956875	0.0864081140126021	1.1464105	0.33991247914959666	0.3667375625	0.41222004867651824	2.5232765625	1.0135518339802587	1.0947383532936763	0.3246129462236242
21	3.199999375	7.897669374999999e-05	6.372432450853705e-05	0.49360475000000004	0.3982781587260184	1.18406925	0.5565231548906456	0.407101635625	0.3407015700131791	5.0033756875	2.387467388404806	1.206098970005421	0.5668968075129511
22	3.39995375	0.00011203422499999999	6.610962704673295e-05	0.7002137500000001	0.41318520712455625	1.3339219375	0.547976458585297	0.487655475	0.2961506219701967	9.188936875	4.415486475365312	1.443633998811989	0.5930546018940778
