	Pixel	Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)	CE(cd/A)
125	A3-1	0.999983	1.21549e-06	0.00759681	-2.74248	2.76012	-0.0663159	-0.8729440383529402
126	A3-1	1.19999	1.8529e-06	0.0115806	-0.627163	-3.13811	-0.0277422	-0.23955753587897002
127	A3-1	1.4	2.69795e-06	0.0168622	-3.32799	-4.91956	-0.250077	-1.4830627083061523
128	A3-1	1.6	3.89157e-06	0.0243223	1.54426	2.85908	0.191291	0.7864840085024853
129	A3-1	1.79998	5.53023e-06	0.0345639	1.24722	-0.429203	0.246992	0.7145952858329065
130	A3-1	1.99997	7.76237e-06	0.0485148	-0.339166	-1.08313	-0.104751	-0.21591555566548765
131	A3-1	2.20001	1.07704e-05	0.067315	-0.446338	1.01479	-0.210402	-0.31256332169650153
132	A3-1	2.40001	1.52315e-05	0.0951969	0.575992	-0.549842	0.418892	0.4400269336501504
133	A3-1	2.59999	2.20475e-05	0.137797	0.182232	0.256484	0.207819	0.15081532979672999
134	A3-1	2.79992	3.32777e-05	0.207986	0.655159	0.244134	1.21444	0.5839046858923196
135	A3-1	2.99988	5.22408e-05	0.326505	1.07718	0.662684	3.35839	1.0285876173412354
136	A3-1	3.19992	8.20539e-05	0.512837	1.48888	0.493365	7.77729	1.5165227937921795
137	A3-1	3.39985	0.000129179	0.807369	1.74326	0.548581	15.2315	1.88655992489184
138	A3-1	3.59987	0.000201408	1.2588	1.70902	0.693353	24.6514	1.9583253892596122
139	A3-1	3.79985	0.000306011	1.91257	1.69606	0.834485	39.235	2.051428183020752
140	A3-1	3.99982	0.000444048	2.7753	1.64768	0.75845	58.2202	2.0977984362050948
141	A3-1	4.19979	0.000614607	3.84129	1.5583	0.766876	80.0216	2.083196009673834
142	A3-1	4.39978	0.000827256	5.17035	1.43938	0.69903	104.226	2.015840320287795
143	A3-1	4.59969	0.00105332	6.58325	1.37394	0.716061	132.43	2.0116204002582316
144	A3-1	4.80006	0.00128671	8.04194	1.28986	0.713859	158.489	1.9707806822731828
145	A3-1	5.00008	0.00154046	9.62787	1.2192	0.698355	186.824	1.9404499645300572
146	A3-1	5.20007	0.00182382	11.3989	1.15139	0.67535	217.241	1.9058067006465538
147	A3-1	5.40005	0.00210157	13.1348	1.11302	0.671284	251.29	1.9131619819106493
148	A3-1	5.60001	0.00238116	14.8822	1.08556	0.685225	287.979	1.9350566448508957
149	A3-1	5.80006	0.00268814	16.8009	1.05706	0.696739	327.88	1.9515621186960224
150	A3-1	6.00004	0.00304374	19.0234	1.02185	0.693351	371.259	1.9515911982085226
151	A3-1	6.20004	0.00343381	21.4613	0.984677	0.695554	417.057	1.9432979362853136
152	A3-1	6.40005	0.00381484	23.8427	0.961451	0.698144	467.0	1.9586707881238283
153	A3-1	6.60001	0.00427028	26.6893	0.927176	0.694983	519.868	1.947851760818006
154	A3-1	6.79996	0.00478498	29.9061	0.887591	0.688734	574.552	1.921186647540134
155	A3-1	6.99993	0.00534231	33.3894	0.851394	0.678076	633.408	1.897033190174127
156	A3-1	7.1999	0.005958	37.2375	0.81389	0.668088	694.581	1.8652729103726085
157	A3-1	7.39992	0.00659643	41.2277	0.78301	0.662489	760.385	1.8443546450566004
158	A3-1	7.59989	0.00728421	45.5263	0.752211	0.652829	828.437	1.8196888391984412
159	A3-1	7.79988	0.00801565	50.0978	0.723648	0.643128	900.087	1.7966597335611543
160	A3-1	7.99987	0.00881681	55.1051	0.693539	0.631096	973.185	1.7660525069367445
161	A3-1	8.19984	0.00965957	60.3723	0.66743	0.623707	1051.72	1.7420572017299325
162	A3-1	8.39995	0.0105651	66.0319	0.64399	0.615799	1137.0	1.721895023465931
163	A3-1	8.59989	0.0115192	71.995	0.616797	0.603888	1215.59	1.6884366969928464
164	A3-1	8.79994	0.012505	78.1562	0.594781	0.596525	1302.12	1.666048246972089
165	A3-1	8.99997	0.0135727	84.8294	0.57216	0.587008	1390.45	1.6391133262760316
166	A3-1	9.19991	0.0146685	91.6781	0.552037	0.578959	1482.07	1.6166020020048406
167	A3-1	9.39988	0.0158247	98.9044	0.533065	0.571541	1577.5	1.5949745410719847
168	A3-1	9.60023	0.0170379	106.487	0.514413	0.563686	1673.94	1.5719665311258653
