	Material	Max Luminance (cd/m2)	EQE(%)_max	EQE(%)_avg	PE(lm/W)_max	PE(lm/W)_avg	CE(cd/A)_max	CE(cd/A)_avg
0	HATCN	0.17533791172341204	-0.4504495557082187	-0.24163139904327804	-0.3883550762449326	-0.08492925183426107	-0.32627026094700123	-0.2533109129780011
1	TAPC	-0.02163479948800942	0.42967022127963633	0.27974139858554325	0.3676013061820126	0.1331591850272535	0.32529966824411055	0.3011562433488928
2	CBP	0.2597002060874607	0.3405893779819758	0.3153931546260878	0.2859914351906685	0.20469785865743154	0.28462749567104756	0.35190181401704623
3	TxOPhCz	0.04871885451048337	-0.43475814082920167	-0.27397898890452205	-0.3724772687872906	-0.1251283525932001	-0.3265575484161564	-0.2937545281527038
4	OcO-BsubPc	-0.5351330801764046	0.4018303848768733	0.0874428104829873	0.3538214906206069	-0.059865344658439984	0.2544337228426111	0.07114041291390082
5	B3PYMPM	0.16961525739431468	0.37659504085130957	0.3089756189232405	0.31851675219058545	0.1842443025359945	0.30335155173125367	0.3410506186809603
6	LiQ	0.3622040781320181	-0.44641598641949354	-0.17572613735528736	-0.3885512387175494	-0.016685720557055292	-0.30512767952819786	-0.1740056094285446
7	Al	0.413012866360819	-0.43842626633185205	-0.1532013772461837	-0.3827140885630434	0.004130156032847966	-0.2941268366027106	-0.1474693499068497
