Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99975E-1	-8.71867E-6	-5.44917E-2	-3.35201E+0	3.25987E+0	-5.81400E-1
-7.99995E-1	-6.43727E-6	-4.02329E-2	-3.61202E+0	2.41431E+0	-3.70058E-1
-5.99977E-1	-4.52456E-6	-2.82785E-2	-2.78525E+1	-7.65983E-2	-1.50420E+0
-3.99968E-1	-2.52179E-6	-1.57612E-2	-8.48391E+0	-7.47202E+0	-1.70239E-1
-2.00010E-1	-1.04879E-6	-6.55494E-3	-1.33331E+2	1.22382E+1	-5.56419E-1
4.04835E-5	1.39725E-10	8.73281E-7	-1.03111E+9	1.91234E+5	-1.16034E-1
2.00028E-1	1.05721E-6	6.60756E-3	-2.54210E+2	5.76556E+0	-1.06949E+0
3.99974E-1	2.60561E-6	1.62851E-2	-3.49199E+1	5.88418E+0	-7.24011E-1
5.99968E-1	4.53735E-6	2.83584E-2	-1.75104E+1	5.35601E+0	-9.48326E-1
7.99978E-1	6.56586E-6	4.10366E-2	-9.04708E+0	1.14535E+0	-9.45384E-1
9.99975E-1	9.00724E-6	5.62952E-2	-6.56259E+0	5.48186E-1	-1.17594E+0
1.19998E+0	1.21611E-5	7.60069E-2	-2.03350E+0	-9.24406E-1	-5.90365E-1
1.39999E+0	1.58217E-5	9.88856E-2	-8.39889E-1	2.86564E-1	-3.70109E-1
1.59999E+0	1.95550E-5	1.22219E-1	-9.73937E-1	1.27463E+0	-6.06228E-1
1.79997E+0	2.34335E-5	1.46459E-1	-1.30405E+0	1.51606E-1	-1.09428E+0
1.99996E+0	2.79355E-5	1.74597E-1	-5.09009E-2	6.99205E-1	-5.65761E-2
2.19991E+0	3.33520E-5	2.08450E-1	-3.09341E-1	6.61667E-1	-4.51538E-1
2.39987E+0	4.09570E-5	2.55981E-1	-3.23518E-1	3.29946E-1	-6.32622E-1
2.59989E+0	4.82615E-5	3.01634E-1	-4.09476E-1	1.04953E-1	-1.02215E+0
2.79981E+0	5.91239E-5	3.69524E-1	-1.58471E-1	3.65673E-1	-5.21882E-1
2.99977E+0	1.82313E-4	1.13946E+0	-2.16197E-2	-3.42486E-2	-2.35226E-1
3.19982E+0	3.06589E-4	1.91618E+0	-3.85087E-2	8.06085E-2	-7.51573E-1
3.39972E+0	5.94379E-4	3.71487E+0	-4.40572E-4	7.18575E-2	-1.77114E-2
3.59972E+0	8.75029E-4	5.46893E+0	1.27438E-2	6.05657E-4	7.98581E-1
3.79977E+0	7.86386E-4	4.91491E+0	2.02342E-2	4.35064E-2	1.20285E+0
3.99959E+0	8.57810E-4	5.36131E+0	3.98612E-2	1.75383E-2	2.72074E+0
4.19960E+0	9.10595E-4	5.69122E+0	6.35849E-2	5.33844E-2	4.83746E+0
4.39955E+0	7.61891E-4	4.76182E+0	1.04764E-1	3.23301E-2	6.98621E+0
4.59964E+0	8.53029E-4	5.33143E+0	1.22766E-1	6.87838E-2	9.58291E+0
4.79992E+0	8.81770E-4	5.51106E+0	1.56768E-1	8.32691E-2	1.32001E+1
4.99994E+0	9.71837E-4	6.07398E+0	1.87514E-1	8.70919E-2	1.81269E+1
5.19990E+0	9.58809E-4	5.99256E+0	2.27520E-1	1.32956E-1	2.25672E+1
5.39996E+0	1.11661E-3	6.97881E+0	2.47347E-1	1.68670E-1	2.96707E+1
5.59994E+0	1.14466E-3	7.15413E+0	2.96890E-1	1.45712E-1	3.78605E+1
5.80000E+0	1.22590E-3	7.66188E+0	3.27023E-1	1.89879E-1	4.62584E+1
5.99997E+0	1.32882E-3	8.30513E+0	3.62407E-1	2.19092E-1	5.74833E+1
6.20001E+0	1.44860E-3	9.05375E+0	3.91792E-1	2.46224E-1	7.00046E+1
6.39996E+0	1.56788E-3	9.79925E+0	4.29008E-1	2.79143E-1	8.56417E+1
6.59997E+0	1.69258E-3	1.05786E+1	4.51392E-1	2.94423E-1	1.00317E+2
6.80002E+0	1.82411E-3	1.14007E+1	4.93319E-1	3.38499E-1	1.21736E+2
6.99998E+0	1.97256E-3	1.23285E+1	5.20190E-1	3.68002E-1	1.42896E+2
7.19999E+0	2.17488E-3	1.35930E+1	5.41297E-1	3.88101E-1	1.68629E+2
7.40002E+0	2.47991E-3	1.54994E+1	5.29685E-1	3.85181E-1	1.93382E+2
7.59997E+0	2.75865E-3	1.72416E+1	5.40836E-1	4.08396E-1	2.25582E+2
7.79999E+0	3.04170E-3	1.90106E+1	5.44695E-1	4.19377E-1	2.57095E+2
7.99997E+0	3.39043E-3	2.11902E+1	5.48201E-1	4.40472E-1	2.95810E+2
8.19987E+0	3.80437E-3	2.37773E+1	5.40093E-1	4.36443E-1	3.35188E+2
8.39991E+0	4.20123E-3	2.62577E+1	5.43716E-1	4.49575E-1	3.81728E+2
8.59983E+0	4.62480E-3	2.89050E+1	5.40525E-1	4.58633E-1	4.27689E+2
8.79983E+0	5.07844E-3	3.17402E+1	5.45798E-1	4.74954E-1	4.85251E+2
8.99986E+0	5.59690E-3	3.49806E+1	5.38928E-1	4.82484E-1	5.40062E+2
9.19981E+0	6.12942E-3	3.83089E+1	5.40352E-1	4.91190E-1	6.06184E+2
9.39981E+0	6.74894E-3	4.21809E+1	5.30040E-1	4.91593E-1	6.68949E+2
9.60013E+0	7.43509E-3	4.64693E+1	5.23210E-1	4.98137E-1	7.42967E+2
9.80008E+0	8.11629E-3	5.07268E+1	5.16839E-1	5.00030E-1	8.17847E+2
1.00001E+1	8.82657E-3	5.51661E+1	5.16353E-1	5.08522E-1	9.06720E+2
1.02001E+1	9.70318E-3	6.06449E+1	5.06080E-1	5.11681E-1	9.96479E+2
1.04001E+1	1.05585E-2	6.59906E+1	5.01682E-1	5.16873E-1	1.09597E+3
1.06001E+1	1.14974E-2	7.18587E+1	4.90993E-1	5.14782E-1	1.19046E+3
1.08001E+1	1.24907E-2	7.80669E+1	4.86388E-1	5.21360E-1	1.30535E+3
1.10002E+1	1.35667E-2	8.47919E+1	4.76435E-1	5.18649E-1	1.41452E+3
1.12001E+1	1.46877E-2	9.17981E+1	4.72667E-1	5.24803E-1	1.54690E+3
1.14001E+1	1.59122E-2	9.94513E+1	4.60807E-1	5.23008E-1	1.66299E+3
1.16001E+1	1.71616E-2	1.07260E+2	4.55358E-1	5.23515E-1	1.80344E+3
1.18001E+1	1.84227E-2	1.15142E+2	4.45582E-1	5.22446E-1	1.92707E+3
1.20001E+1	1.98038E-2	1.23774E+2	4.38577E-1	5.21879E-1	2.07353E+3
