	Pixel	Max Current (A)	Max Luminance (cd/m2)	Status	Turnon Voltage (V)	EQE(%)_max	EQE(%)_avg	CE(cd/A)_max	CE(cd/A)_avg	PE(lm/W)_max	PE(lm/W)_avg	V (V) @ 100 cd/m2	EQE(%) @ 100 cd/m2	CE(cd/A) @ 100 cd/m2	PE(lm/W) @ 100 cd/m2	λmax (nm) @ 100 cd/m2	FWHM (nm) @ 100 cd/m2	CIE-x @ 100 cd/m2	CIE-y @ 100 cd/m2	Hex Color @ 100 cd/m2	V (V) @ 250 cd/m2	EQE(%) @ 250 cd/m2	CE(cd/A) @ 250 cd/m2	PE(lm/W) @ 250 cd/m2	λmax (nm) @ 250 cd/m2	FWHM (nm) @ 250 cd/m2	CIE-x @ 250 cd/m2	CIE-y @ 250 cd/m2	Hex Color @ 250 cd/m2
0	A1-1	0.0200006	3459.84	Working	3.4	0.855897	0.4949591702564102	2.7731034851019896	1.6171052859372248	0.892328	0.6218028487179488	5.59997	0.265623	0.8903208682316857	0.499471	527.5	83.0	0.31716632632027636	0.5914302559973262	#00ff0e	6.40006	0.454604	1.490377928486784	0.731582	529.0	83.0	0.31984961997456174	0.5940727607430608	#00ff0c
1	A2-1	0.0197428	0.43	Short Circuit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2	A3-1	0.0200011	0.51	Short Circuit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
3	A4-1	0.020001	0.34	Short Circuit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
4	A5-1	0.019649	0.63	Short Circuit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5	B1-1	0.0197189	0.92	Short Circuit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6	B2-1	0.0196923	3364.67	Working	3.4	0.845631	0.550717541025641	2.7452130259007506	1.8218010939574758	0.914076	0.752893564102564	5.99995	0.459468	1.5561229942153945	0.814789	528.0	87.5	0.3340800821279328	0.589778958738365	#05ff04	6.79997	0.582162	1.8961804099825676	0.876039	528.0	85.0	0.3328911592634189	0.5902122543337234	#04ff05
7	B2-2	0.0200003	3643.25	Working	3.4	0.913379	0.5319821492307691	2.9703012740273325	1.7637428135014404	0.99316	0.682361058974359	5.80015	0.315606	1.1104448257910264	0.601465	528.0	85.0	0.3340347504219155	0.5959672527115786	#03ff02	6.60006	0.540461	1.7688869115715438	0.841982	528.0	86.0	0.33474640402157313	0.59272766061034	#05ff03
8	B3-1	0.019996	3538.19	Working	3.4	0.8824	0.600254275	2.862638092847334	1.9160314593180012	0.953008	0.77687845	5.99996	0.534054	1.659623753555152	0.868983	529.5	87.5	0.34150656624883635	0.5826232847732878	#0cff04	6.99992	0.632983	2.0597320614435017	0.924417	528.0	87.0	0.34046633018379474	0.5866525781315454	#0aff03
9	B4-1	0.0200016	0.95	Short Circuit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
10	B5-1	0.0200009	0.87	Short Circuit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
11	C1-1	0.0173436	1565.35	Working	3.8	0.445574	0.24267187761904763	1.444076458975258	0.8019088564021792	0.399841	0.2829373404761905	7.0	0.185584	0.6110663587705637	0.274244	530.5	87.0	0.33540107323833646	0.5875137361064898	#07ff05	8.4	0.305841	1.010850026603776	0.378058	528.0	86.0	0.33321003729317117	0.589591253350608	#05ff05
12	C1-2	0.0171988	2306.23	Working	3.6	0.662108	0.38136947441860475	2.1454898969225615	1.248857069355562	0.615993	0.44788488139534877	6.39997	0.300037	0.9729815754533384	0.477611	529.0	86.5	0.335454846750465	0.5849751498598991	#08ff05	7.59994	0.42369	1.3934478160238297	0.57601	529.5	87.0	0.33762303522933923	0.5875295446147866	#08ff04
13	C2-1	0.0170705	1715.21	Working	3.8	0.500085	0.3744709404761905	1.6154075540670205	1.3223599999322733	0.65581	0.544475380952381	6.99991	0.381651	1.3176225254753549	0.591355	530.5	89.5	0.3420619507422399	0.5843231440296747	#0bff03	8.19983	0.439921	1.443035020752421	0.552867	530.0	88.0	0.3421527304302712	0.5853930769339809	#0bff03
14	C3-1	0.0200011	0.35	Short Circuit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15	C4-1	0.0200009	0.53	Short Circuit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
