	Timestamp	Filtered Rate: Al	Source Power: Al	Thickness: Al	State: Al	Fundamental  Frequency: Al	Current Z-Ratio: Al
0	16:15:47	-0.074	0.000	-0.001	Ready	5955556.253	1.142
1	16:15:48	-0.071	0.000	-0.001	Ready	5955556.260	1.142
2	16:15:49	-0.170	0.000	-0.001	Ready	5955556.375	1.142
3	16:15:50	-0.059	0.000	-0.002	Ready	5955556.302	1.142
4	16:15:51	-0.105	0.000	-0.002	Ready	5955556.371	1.142
5	16:15:52	-0.136	0.080	-0.002	PreCon Rise	5955556.413	1.142
6	16:15:53	-0.071	0.213	-0.002	PreCon Rise	5955556.455	1.142
7	16:15:54	-0.124	0.347	-0.002	PreCon Rise	5955556.441	1.142
8	16:15:55	-0.074	0.480	-0.002	PreCon Rise	5955556.455	1.142
9	16:15:56	-0.028	0.613	-0.002	PreCon Rise	5955556.445	1.142
10	16:15:57	0.006	0.747	-0.002	PreCon Rise	5955556.448	1.142
11	16:15:58	-0.040	0.880	-0.002	PreCon Rise	5955556.487	1.142
12	16:15:59	-0.003	1.013	-0.002	PreCon Rise	5955556.459	1.142
13	16:16:00	-0.025	1.147	-0.002	PreCon Rise	5955556.473	1.142
14	16:16:01	-0.046	1.280	-0.002	PreCon Rise	5955556.501	1.142
15	16:16:02	-0.006	1.413	-0.002	PreCon Rise	5955556.494	1.142
16	16:16:03	-0.152	1.547	-0.002	PreCon Rise	5955556.630	1.142
17	16:16:04	-0.062	1.680	-0.002	PreCon Rise	5955556.543	1.142
18	16:16:05	-0.056	1.813	-0.002	PreCon Rise	5955556.564	1.142
19	16:16:06	-0.015	1.947	-0.002	PreCon Rise	5955556.511	1.142
20	16:16:07	0.074	2.080	-0.002	PreCon Rise	5955556.546	1.142
21	16:16:08	0.006	2.213	-0.002	PreCon Rise	5955556.536	1.142
22	16:16:09	0.028	2.347	-0.002	PreCon Rise	5955556.532	1.142
23	16:16:10	-0.056	2.480	-0.002	PreCon Rise	5955556.574	1.142
24	16:16:11	-0.114	2.613	-0.002	PreCon Rise	5955556.675	1.142
25	16:16:12	-0.050	2.747	-0.003	PreCon Rise	5955556.592	1.142
26	16:16:13	-0.127	2.880	-0.003	PreCon Rise	5955556.675	1.142
27	16:16:14	-0.056	3.013	-0.003	PreCon Rise	5955556.637	1.142
28	16:16:15	0.028	3.147	-0.003	PreCon Rise	5955556.644	1.142
29	16:16:16	-0.090	3.280	-0.003	PreCon Rise	5955556.693	1.142
30	16:16:17	0.003	3.413	-0.003	PreCon Rise	5955556.672	1.142
31	16:16:18	-0.059	3.547	-0.003	PreCon Rise	5955556.703	1.142
32	16:16:19	-0.062	3.680	-0.003	PreCon Rise	5955556.714	1.142
33	16:16:20	-0.071	3.813	-0.003	PreCon Rise	5955556.773	1.142
34	16:16:21	-0.087	3.947	-0.003	PreCon Rise	5955556.770	1.142
35	16:16:22	-0.053	4.080	-0.003	PreCon Rise	5955556.763	1.142
36	16:16:23	-0.028	4.213	-0.003	PreCon Rise	5955556.745	1.142
37	16:16:24	0.025	4.347	-0.003	PreCon Rise	5955556.745	1.142
38	16:16:25	0.028	4.480	-0.003	PreCon Rise	5955556.738	1.142
39	16:16:26	-0.012	4.613	-0.003	PreCon Rise	5955556.777	1.142
40	16:16:27	0.053	4.747	-0.003	PreCon Rise	5955556.686	1.142
41	16:16:28	0.056	4.880	-0.003	PreCon Rise	5955556.682	1.142
42	16:16:29	0.015	5.013	-0.003	PreCon Rise	5955556.721	1.142
43	16:16:30	0.022	5.147	-0.003	PreCon Rise	5955556.752	1.142
44	16:16:31	-0.059	5.280	-0.003	PreCon Rise	5955556.752	1.142
45	16:16:32	-0.087	5.413	-0.003	PreCon Rise	5955556.780	1.142
46	16:16:33	-0.071	5.547	-0.003	PreCon Rise	5955556.801	1.142
47	16:16:34	-0.034	5.680	-0.003	PreCon Rise	5955556.791	1.142
48	16:16:35	-0.111	5.813	-0.003	PreCon Rise	5955556.878	1.142
49	16:16:36	-0.003	5.947	-0.003	PreCon Rise	5955556.784	1.142
50	16:16:37	-0.074	6.080	-0.003	PreCon Rise	5955556.885	1.142
51	16:16:38	-0.043	6.213	-0.003	PreCon Rise	5955556.839	1.142
52	16:16:39	0.015	6.347	-0.003	PreCon Rise	5955556.860	1.142
53	16:16:40	-0.074	6.480	-0.004	PreCon Rise	5955556.867	1.142
54	16:16:41	-0.019	6.613	-0.004	PreCon Rise	5955556.906	1.142
55	16:16:42	-0.080	6.747	-0.004	PreCon Rise	5955556.930	1.142
56	16:16:43	-0.046	6.880	-0.004	PreCon Rise	5955556.913	1.142
57	16:16:44	-0.028	7.013	-0.004	PreCon Rise	5955556.899	1.142
58	16:16:45	-0.068	7.147	-0.004	PreCon Rise	5955556.983	1.142
59	16:16:46	0.012	7.280	-0.004	PreCon Rise	5955556.916	1.142
60	16:16:47	-0.080	7.413	-0.004	PreCon Rise	5955557.004	1.142
61	16:16:48	-0.034	7.547	-0.004	PreCon Rise	5955556.937	1.142
62	16:16:49	0.090	7.680	-0.004	PreCon Rise	5955556.881	1.142
