Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99955E-1	-9.15495E-7	-5.72184E-3	-5.58258E+0	-2.22725E+0	-1.01672E-1
-7.99971E-1	-6.32125E-7	-3.95078E-3	9.00763E+1	-6.04499E+0	9.06188E-1
-5.99949E-1	-4.66403E-7	-2.91502E-3	6.82143E+1	1.49063E+1	3.79736E-1
-3.99937E-1	-2.21572E-7	-1.38482E-3	2.01832E+2	-7.97632E+1	3.55817E-1
-1.99981E-1	-7.62344E-8	-4.76465E-4	1.49512E+3	2.79284E+1	4.53468E-1
1.04713E-4	1.10098E-8	6.88112E-5	-4.46716E+6	1.28243E+3	-1.02457E-1
2.00093E-1	9.30654E-8	5.81659E-4	1.44632E+2	4.66605E+1	5.35815E-2
4.00031E-1	2.49012E-7	1.55632E-3	-5.58299E+1	-9.00727E+1	-1.10640E-1
6.00024E-1	5.02787E-7	3.14242E-3	6.25455E+1	-2.33187E+1	3.75386E-1
8.00040E-1	8.82082E-7	5.51301E-3	1.71340E+0	2.81540E-1	2.40552E-2
1.00004E+0	1.31750E-6	8.23438E-3	1.99292E+0	-1.50597E+1	5.22382E-2
1.20005E+0	1.71519E-6	1.07199E-2	1.26428E+1	-3.68369E+0	5.17710E-1
1.40005E+0	2.28366E-6	1.42729E-2	6.63037E+0	-7.29829E+0	4.21738E-1
1.60006E+0	3.22197E-6	2.01373E-2	6.14576E+0	-5.83718E+0	6.30323E-1
1.80004E+0	4.12320E-6	2.57700E-2	8.39552E-1	-4.78003E+0	1.23964E-1
2.00003E+0	5.73004E-6	3.58127E-2	-1.32224E+0	-3.69590E+0	-3.01463E-1
2.20042E+0	7.33864E-6	4.58665E-2	9.47135E-1	-1.47668E+0	3.04273E-1
2.40038E+0	8.40840E-6	5.25525E-2	3.67746E-1	1.88439E-1	1.47663E-1
2.60043E+0	1.06625E-5	6.66406E-2	-2.68404E-1	5.81099E-1	-1.48055E-1
2.80036E+0	1.53533E-5	9.59581E-2	2.69479E-2	-1.22529E+0	2.30500E-2
3.00032E+0	2.38380E-5	1.48988E-1	6.60155E-1	9.91531E-2	9.39320E-1
3.20034E+0	3.72903E-5	2.33064E-1	8.21992E-1	-3.09912E-2	1.95159E+0
3.40032E+0	5.73153E-5	3.58221E-1	8.21522E-1	-9.28862E-2	3.18522E+0
3.60032E+0	9.10255E-5	5.68909E-1	7.83240E-1	1.34021E-1	5.10657E+0
3.80030E+0	1.37042E-4	8.56513E-1	7.89426E-1	1.32357E-1	8.17924E+0
4.00030E+0	2.02014E-4	1.26259E+0	7.57464E-1	2.96851E-1	1.21777E+1
4.20029E+0	2.96054E-4	1.85034E+0	6.62364E-1	3.27788E-1	1.63861E+1
4.40027E+0	4.05394E-4	2.53371E+0	6.27240E-1	3.49207E-1	2.22598E+1
4.60026E+0	5.52214E-4	3.45134E+0	5.83930E-1	3.11451E-1	2.95108E+1
