Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99972E-1	-6.98480E-5	-4.36550E-1	-4.10774E-1	-4.00582E-1	-5.70789E-1
-7.99985E-1	-5.03699E-5	-3.14812E-1	2.35805E-1	-5.92066E-1	1.89033E-1
-5.99971E-1	-3.32306E-5	-2.07691E-1	-1.60885E+0	-1.01247E+0	-6.38136E-1
-3.99960E-1	-1.89854E-5	-1.18659E-1	-1.54227E+0	-8.50200E-1	-2.32985E-1
-2.00008E-1	-8.22936E-6	-5.14335E-2	-1.80662E+1	-4.81213E+0	-5.91577E-1
4.91381E-5	2.20668E-10	1.37918E-6	1.71039E+9	-1.99331E+4	3.68964E-1
2.00038E-1	7.72103E-6	4.82564E-2	-2.20761E+1	-2.49880E+0	-6.78330E-1
3.99979E-1	1.75416E-5	1.09635E-1	-3.97528E+0	-2.13968E+0	-5.54887E-1
5.99971E-1	3.20723E-5	2.00452E-1	-1.51591E+0	-7.96827E-1	-5.80315E-1
7.99988E-1	4.47373E-5	2.79608E-1	-5.92755E-1	-3.80385E-1	-4.22045E-1
9.99992E-1	5.77861E-5	3.61163E-1	3.53565E-1	-5.35762E-1	4.06462E-1
1.20000E+0	7.96244E-5	4.97652E-1	3.78194E-2	-3.26374E-1	7.18907E-2
1.40001E+0	1.06945E-4	6.68406E-1	3.51718E-2	-7.29800E-2	1.04765E-1
1.60001E+0	1.37094E-4	8.56838E-1	-4.42401E-2	-1.49342E-1	-1.93058E-1
1.79999E+0	1.73670E-4	1.08544E+0	4.10496E-2	-3.30918E-2	2.55290E-1
1.99998E+0	2.04184E-4	1.27615E+0	-1.23818E-2	7.86269E-3	-1.00592E-1
2.20010E+0	2.52509E-4	1.57818E+0	-1.12014E-2	1.23611E-2	-1.23800E-1
2.40006E+0	3.07078E-4	1.91924E+0	-4.23636E-3	-3.02226E-2	-6.21146E-2
2.60000E+0	3.62295E-4	2.26434E+0	1.00404E-2	1.06222E-2	1.88155E-1
2.79995E+0	1.05512E-3	6.59450E+0	1.62682E-2	-1.67175E-2	9.56138E-1
2.99996E+0	1.55841E-3	9.74006E+0	9.48334E-3	-2.05311E-2	8.82041E-1
3.20001E+0	1.40986E-3	8.81162E+0	2.67845E-2	2.80738E-4	2.40403E+0
3.39993E+0	1.70065E-3	1.06291E+1	4.09258E-2	8.49074E-3	4.70774E+0
3.59991E+0	1.76986E-3	1.10616E+1	5.35086E-2	1.71264E-2	6.78241E+0
3.79990E+0	2.06167E-3	1.28854E+1	7.23485E-2	2.60570E-2	1.12759E+1
3.99985E+0	2.32827E-3	1.45517E+1	8.75992E-2	3.54307E-2	1.62296E+1
4.19984E+0	2.15943E-3	1.34964E+1	1.48333E-1	7.58112E-2	2.67633E+1
4.39980E+0	2.39746E-3	1.49841E+1	1.77508E-1	8.51809E-2	3.72504E+1
4.59980E+0	2.64512E-3	1.65320E+1	2.12229E-1	1.14163E-1	5.13712E+1
4.80013E+0	2.99113E-3	1.86946E+1	2.31420E-1	1.36854E-1	6.61029E+1
5.00012E+0	3.42553E-3	2.14096E+1	2.43878E-1	1.51116E-1	8.31020E+1
5.20013E+0	3.93671E-3	2.46044E+1	2.47178E-1	1.52915E-1	1.00667E+2
5.40011E+0	4.48473E-3	2.80296E+1	2.48537E-1	1.61120E-1	1.19746E+2
5.60008E+0	5.08733E-3	3.17958E+1	2.45717E-1	1.63663E-1	1.39267E+2
5.80012E+0	5.58793E-3	3.49246E+1	2.53757E-1	1.75232E-1	1.63620E+2
6.00009E+0	6.09941E-3	3.81213E+1	2.56434E-1	1.83432E-1	1.86703E+2
6.20012E+0	6.71829E-3	4.19893E+1	2.57319E-1	1.90266E-1	2.13236E+2
6.40015E+0	7.35013E-3	4.59383E+1	2.53960E-1	1.96368E-1	2.37673E+2
6.60009E+0	8.04711E-3	5.02944E+1	2.52339E-1	2.01784E-1	2.66627E+2
6.80007E+0	8.84367E-3	5.52729E+1	2.44248E-1	1.99563E-1	2.92218E+2
7.00004E+0	9.66815E-3	6.04259E+1	2.40506E-1	2.02928E-1	3.23818E+2
7.19997E+0	1.05503E-2	6.59394E+1	2.34900E-1	2.02167E-1	3.54984E+2
7.40002E+0	1.14563E-2	7.16019E+1	2.28506E-1	2.03176E-1	3.85394E+2
7.60004E+0	1.23943E-2	7.74644E+1	2.25062E-1	2.07163E-1	4.21764E+2
7.80004E+0	1.33801E-2	8.36256E+1	2.18568E-1	2.06822E-1	4.53808E+2
8.00004E+0	1.44607E-2	9.03794E+1	2.12891E-1	2.05720E-1	4.89971E+2
8.19998E+0	1.55715E-2	9.73219E+1	2.06809E-1	2.05734E-1	5.25342E+2
8.40002E+0	1.67546E-2	1.04716E+2	2.01451E-1	2.05530E-1	5.64044E+2
8.60001E+0	1.79848E-2	1.12405E+2	1.94945E-1	2.04357E-1	5.99856E+2
8.80000E+0	1.92704E-2	1.20440E+2	1.89912E-1	2.03493E-1	6.40703E+2
8.90272E+0	2.00007E-2	1.25004E+2	1.85851E-1	1.99849E-1	6.58360E+2
