	Pixel	Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)	CE(cd/A)
0	A1-1	-0.999981	-5.60426e-06	-0.0350266	1.20989	-0.446622	0.134892	-0.3851130283841424
1	A1-1	-0.799999	-3.88781e-06	-0.0242988	-3.96669	-1.75794	-0.245444	1.0101074950203304
2	A1-1	-0.599978	-2.47839e-06	-0.0154899	12.5177	-0.0817449	0.370306	-2.390628732270706
3	A1-1	-0.399964	-1.17983e-06	-0.00737394	32.9412	2.44226	0.309251	-4.193836673474425
4	A1-1	-0.20001	-4.24684e-07	-0.00265428	-128.201	-11.9363	-0.216641	8.161949756619496
5	A1-1	3.41415e-05	8.3015e-10	5.18844e-06	433969000.0	3983.95	0.244697	4716.196004964882
6	A1-1	0.200024	4.45773e-07	0.00278608	-202.171	28.2796	-0.358629	-12.872171653362432
7	A1-1	0.399975	1.20851e-06	0.00755319	16.6108	-6.47993	0.159736	2.114815064893111
8	A1-1	0.599965	2.29328e-06	0.014333	-3.54014	-1.33773	-0.0969023	-0.6760782808902532
9	A1-1	0.799986	3.79063e-06	0.0236914	2.51982	4.19178	0.152017	0.6416547776830411
10	A1-1	0.999991	5.61365e-06	0.0350853	1.74929	-0.900712	0.195358	0.5568086919593106
11	A1-1	1.2	7.60299e-06	0.0475187	1.2023	0.991145	0.218227	0.45924446586291295
12	A1-1	1.40001	1.03126e-05	0.0644538	0.151657	0.337255	0.0435605	0.06758406796806395
13	A1-1	1.60001	1.36272e-05	0.08517	-1.26153	-0.907244	-0.547216	-0.6424985323470707
14	A1-1	1.79999	1.76885e-05	0.110553	0.573348	0.361304	0.363169	0.32850216638173546
15	A1-1	1.99998	2.27064e-05	0.141915	0.0951735	-0.0270692	0.0859845	0.06058873269210443
16	A1-1	2.19997	2.93841e-05	0.183651	-0.254284	-0.169901	-0.327024	-0.17806818367446947
17	A1-1	2.3999	3.6931e-05	0.230819	-0.195323	-0.247906	-0.344403	-0.1492091205663312
18	A1-1	2.59993	4.65638e-05	0.291024	0.0171004	-0.741702	0.0411857	0.01415199433723679
19	A1-1	2.79988	5.78563e-05	0.361602	-0.140854	-0.36408	-0.45393	-0.12553304461811604
20	A1-1	2.99977	7.36012e-05	0.460008	0.0367896	-0.466074	0.161595	0.03512873689153232
21	A1-1	3.19982	9.59521e-05	0.599701	0.0921302	0.108016	0.562746	0.09383776248497167
22	A1-1	3.3998	0.000128173	0.801081	0.142049	0.0474968	1.23145	0.15372353107863
23	A1-1	3.59982	0.000174912	1.0932	0.205013	-0.0363491	2.56809	0.23491492864983538
24	A1-1	3.79982	0.000251755	1.57347	0.222596	0.0344269	4.23633	0.26923487578409505
25	A1-1	3.99979	0.000341797	2.13623	0.25325	0.122005	6.88787	0.32243110526488256
26	A1-1	4.19983	0.000446894	2.79309	0.265769	0.0953955	9.92365	0.35529288350894533
27	A1-1	4.39974	0.0005923	3.70188	0.266671	0.121042	13.8253	0.3734669951484111
28	A1-1	4.59966	0.000755274	4.72046	0.27849	0.158327	19.2473	0.4077420420891184
