	Timestamp	Filtered Rate: B3PYMPM	Source Power: B3PYMPM	Thickness: B3PYMPM	State: B3PYMPM	Fundamental  Frequency: B3PYMPM	Current Z-Ratio: B3PYMPM
0	15:26:22	0.001	0.000	0.000	Ready	5907418.089	2.082
1	15:26:23	0.000	0.373	0.000	PreCon Rise	5907418.089	2.082
2	15:26:24	0.001	0.907	0.000	PreCon Rise	5907418.085	2.082
3	15:26:25	0.001	1.440	0.000	PreCon Rise	5907418.082	2.082
4	15:26:26	0.000	1.973	0.000	PreCon Rise	5907418.082	2.082
5	15:26:27	0.000	2.507	0.000	PreCon Rise	5907418.082	2.082
6	15:26:28	0.001	3.040	0.000	PreCon Rise	5907418.078	2.082
7	15:26:29	0.001	3.573	0.000	PreCon Rise	5907418.075	2.082
8	15:26:30	-0.001	4.107	0.000	PreCon Rise	5907418.078	2.082
9	15:26:31	0.001	4.640	0.000	PreCon Rise	5907418.075	2.082
10	15:26:32	-0.000	5.173	0.000	PreCon Rise	5907418.075	2.082
11	15:26:33	-0.000	5.707	0.000	PreCon Rise	5907418.075	2.082
12	15:26:34	0.000	6.240	0.000	PreCon Rise	5907418.075	2.082
13	15:26:35	0.000	6.773	0.000	PreCon Rise	5907418.075	2.082
14	15:26:36	0.000	7.307	0.000	PreCon Rise	5907418.075	2.082
15	15:26:37	0.001	7.840	0.000	PreCon Rise	5907418.071	2.082
16	15:26:38	0.000	8.373	0.000	PreCon Rise	5907418.071	2.082
17	15:26:39	0.000	8.907	0.000	PreCon Rise	5907418.071	2.082
18	15:26:40	-0.000	9.440	0.000	PreCon Rise	5907418.071	2.082
19	15:26:41	0.001	9.973	0.000	PreCon Rise	5907418.068	2.082
20	15:26:42	-0.000	10.507	0.000	PreCon Rise	5907418.068	2.082
21	15:26:43	0.000	11.040	0.000	PreCon Rise	5907418.068	2.082
22	15:26:44	0.000	11.573	0.000	PreCon Rise	5907418.068	2.082
23	15:26:45	0.001	12.107	0.000	PreCon Rise	5907418.064	2.082
24	15:26:46	0.000	12.640	0.000	PreCon Rise	5907418.064	2.082
25	15:26:47	-0.000	13.173	0.000	PreCon Rise	5907418.064	2.082
26	15:26:48	0.001	13.707	0.000	PreCon Rise	5907418.061	2.082
27	15:26:49	0.000	14.240	0.000	PreCon Rise	5907418.061	2.082
28	15:26:50	-0.000	14.773	0.000	PreCon Rise	5907418.061	2.082
29	15:26:51	0.001	15.307	0.000	PreCon Rise	5907418.057	2.082
30	15:26:52	-0.002	15.840	0.000	PreCon Rise	5907418.064	2.082
31	15:26:53	0.002	16.373	0.000	PreCon Rise	5907418.057	2.082
32	15:26:54	0.000	16.907	0.000	PreCon Rise	5907418.057	2.082
33	15:26:55	-0.000	17.440	0.000	PreCon Rise	5907418.057	2.082
34	15:26:56	0.001	17.973	0.000	PreCon Rise	5907418.054	2.082
35	15:26:57	0.000	18.507	0.000	PreCon Rise	5907418.054	2.082
36	15:26:58	-0.000	19.040	0.000	PreCon Rise	5907418.054	2.082
37	15:26:59	0.001	19.573	0.000	PreCon Rise	5907418.050	2.082
38	15:27:00	0.000	20.107	0.000	PreCon Rise	5907418.050	2.082
39	15:27:01	0.001	20.640	0.000	PreCon Rise	5907418.047	2.082
40	15:27:02	-0.000	21.173	0.000	PreCon Rise	5907418.047	2.082
41	15:27:03	-0.001	21.707	0.000	PreCon Rise	5907418.050	2.082
42	15:27:04	0.000	22.240	0.000	PreCon Rise	5907418.050	2.082
43	15:27:05	0.000	22.773	0.000	PreCon Rise	5907418.050	2.082
44	15:27:06	-0.001	23.307	0.000	PreCon Rise	5907418.054	2.082
45	15:27:07	0.001	23.840	0.000	PreCon Rise	5907418.050	2.082
46	15:27:08	-0.001	24.373	0.000	PreCon Rise	5907418.054	2.082
47	15:27:09	-0.000	24.907	0.000	PreCon Rise	5907418.054	2.082
48	15:27:10	0.000	25.440	0.000	PreCon Rise	5907418.054	2.082
49	15:27:11	-0.001	25.973	0.000	PreCon Rise	5907418.057	2.082
50	15:27:12	0.000	26.507	0.000	PreCon Rise	5907418.057	2.082
51	15:27:13	-0.001	27.040	0.000	PreCon Rise	5907418.061	2.082
52	15:27:14	-0.001	27.573	0.000	PreCon Rise	5907418.064	2.082
53	15:27:15	0.001	28.107	0.000	PreCon Rise	5907418.061	2.082
54	15:27:16	0.000	28.640	0.000	PreCon Rise	5907418.061	2.082
55	15:27:17	-0.002	29.173	0.000	PreCon Rise	5907418.068	2.082
56	15:27:18	-0.000	29.707	0.000	PreCon Rise	5907418.068	2.082
57	15:27:19	-0.001	30.240	0.000	PreCon Rise	5907418.071	2.082
58	15:27:20	-0.002	30.773	0.000	PreCon Rise	5907418.078	2.082
59	15:27:21	-0.001	31.307	0.000	PreCon Rise	5907418.082	2.082
60	15:27:22	-0.001	31.840	0.000	PreCon Rise	5907418.085	2.082
61	15:27:23	-0.002	32.000	0.000	PreCon Soak	5907418.092	2.082
62	15:27:24	-0.001	32.000	0.000	PreCon Soak	5907418.096	2.082
63	15:27:25	-0.001	32.000	0.000	PreCon Soak	5907418.099	2.082
64	15:27:26	-0.002	32.000	0.000	PreCon Soak	5907418.106	2.082
65	15:27:27	-0.001	32.000	0.000	PreCon Soak	5907418.110	2.082
66	15:27:28	-0.002	32.000	0.000	PreCon Soak	5907418.117	2.082
67	15:27:29	-0.002	32.000	0.000	PreCon Soak	5907418.124	2.082
68	15:27:30	-0.001	32.000	0.000	PreCon Soak	5907418.127	2.082
69	15:27:31	-0.003	32.000	0.000	PreCon Soak	5907418.138	2.082
70	15:27:32	-0.002	32.000	0.000	PreCon Soak	5907418.145	2.082
71	15:27:33	-0.002	32.000	0.000	PreCon Soak	5907418.152	2.082
72	15:27:34	-0.002	32.000	0.000	PreCon Soak	5907418.159	2.082
73	15:27:35	-0.003	32.000	0.000	PreCon Soak	5907418.169	2.082
74	15:27:36	-0.001	32.000	0.000	PreCon Soak	5907418.173	2.082
75	15:27:37	-0.002	32.000	0.000	PreCon Soak	5907418.180	2.082
76	15:27:38	-0.002	32.000	0.000	PreCon Soak	5907418.187	2.082
77	15:27:39	-0.002	32.000	0.000	PreCon Soak	5907418.194	2.082
78	15:27:40	-0.003	32.000	-0.000	PreCon Soak	5907418.204	2.082
79	15:27:41	-0.002	32.000	-0.000	PreCon Soak	5907418.211	2.082
80	15:27:42	-0.002	32.000	-0.000	PreCon Soak	5907418.218	2.082
81	15:27:43	-0.003	32.000	-0.000	PreCon Soak	5907418.228	2.082
82	15:27:44	-0.001	32.000	-0.000	PreCon Soak	5907418.232	2.082
83	15:27:45	-0.002	32.000	-0.000	PreCon Soak	5907418.239	2.082
84	15:27:46	-0.002	32.000	-0.000	PreCon Soak	5907418.246	2.082
85	15:27:47	-0.002	32.000	-0.000	PreCon Soak	5907418.253	2.082
86	15:27:48	-0.002	32.000	-0.000	PreCon Soak	5907418.260	2.082
87	15:27:49	-0.003	32.000	-0.000	PreCon Soak	5907418.270	2.082
88	15:27:50	-0.002	32.000	-0.000	PreCon Soak	5907418.277	2.082
89	15:27:51	-0.001	32.000	-0.000	PreCon Soak	5907418.281	2.082
90	15:27:52	-0.002	32.000	-0.000	PreCon Soak	5907418.288	2.082
91	15:27:53	-0.002	32.000	-0.000	PreCon Soak	5907418.295	2.082
92	15:27:54	-0.003	32.000	-0.000	PreCon Soak	5907418.305	2.082
93	15:27:55	-0.002	32.000	-0.000	PreCon Soak	5907418.312	2.082
94	15:27:56	-0.001	32.000	-0.000	PreCon Soak	5907418.316	2.082
95	15:27:57	-0.002	32.000	-0.000	PreCon Soak	5907418.323	2.082
96	15:27:58	-0.002	32.000	-0.000	PreCon Soak	5907418.330	2.082
97	15:27:59	-0.002	32.000	-0.000	PreCon Soak	5907418.337	2.082
98	15:28:00	-0.002	32.000	-0.000	PreCon Soak	5907418.344	2.082
99	15:28:01	-0.002	32.000	-0.000	PreCon Soak	5907418.351	2.082
100	15:28:02	-0.003	32.000	-0.000	PreCon Soak	5907418.361	2.082
101	15:28:03	-0.001	32.000	-0.000	PreCon Soak	5907418.365	2.082
102	15:28:04	-0.003	32.000	-0.000	PreCon Soak	5907418.375	2.082
103	15:28:05	-0.001	32.000	-0.000	PreCon Soak	5907418.379	2.082
104	15:28:06	-0.001	32.000	-0.000	PreCon Soak	5907418.382	2.082
105	15:28:07	-0.003	32.000	-0.000	PreCon Soak	5907418.393	2.082
