	Timestamp	Filtered Rate: LiQ	Source Power: LiQ	Thickness: LiQ	State: LiQ	Fundamental  Frequency: LiQ	Current Z-Ratio: LiQ
0	17:05:18	-0.001	0.000	-0.000	Ready	1	000.000
1	17:05:19	-0.001	0.187	-0.000	PreCon Rise	1	000.000
2	17:05:20	-0.001	0.453	-0.000	PreCon Rise	1	000.000
3	17:05:21	-0.001	0.747	-0.000	PreCon Rise	1	000.000
4	17:05:22	0.000	0.987	-0.000	PreCon Rise	1	000.000
5	17:05:23	-0.001	1.253	-0.000	PreCon Rise	1	000.000
6	17:05:24	-0.001	1.520	-0.000	PreCon Rise	1	000.000
7	17:05:25	-0.001	1.787	-0.000	PreCon Rise	1	000.000
8	17:05:26	-0.001	2.053	-0.000	PreCon Rise	1	000.000
9	17:05:27	-0.001	2.347	-0.000	PreCon Rise	1	000.000
10	17:05:28	0.000	2.613	-0.000	PreCon Rise	1	000.000
11	17:05:29	0.000	2.853	-0.000	PreCon Rise	1	000.000
12	17:05:30	-0.001	3.120	-0.000	PreCon Rise	1	000.000
13	17:05:31	0.000	3.387	-0.000	PreCon Rise	1	000.000
14	17:05:32	-0.001	3.653	-0.000	PreCon Rise	1	000.000
15	17:05:33	-0.001	3.920	-0.000	PreCon Rise	1	000.000
16	17:05:34	0.000	4.187	-0.000	PreCon Rise	1	000.000
17	17:05:35	-0.001	4.453	-0.000	PreCon Rise	1	000.000
18	17:05:36	-0.001	4.720	-0.000	PreCon Rise	1	000.000
19	17:05:37	-0.001	4.987	-0.000	PreCon Rise	1	000.000
20	17:05:38	-0.001	5.253	-0.000	PreCon Rise	1	000.000
21	17:05:39	-0.001	5.520	-0.000	PreCon Rise	1	000.000
22	17:05:40	-0.001	5.787	-0.000	PreCon Rise	1	000.000
23	17:05:41	-0.001	6.080	-0.000	PreCon Rise	1	000.000
24	17:05:42	0.000	6.320	-0.000	PreCon Rise	1	000.000
25	17:05:43	-0.001	6.587	-0.000	PreCon Rise	1	000.000
26	17:05:44	-0.001	6.853	-0.000	PreCon Rise	1	000.000
27	17:05:45	-0.000	7.120	-0.000	PreCon Rise	1	000.000
28	17:05:46	-0.001	7.387	-0.000	PreCon Rise	1	000.000
29	17:05:47	-0.001	7.653	-0.000	PreCon Rise	1	000.000
30	17:05:48	-0.001	7.920	-0.000	PreCon Rise	1	000.000
31	17:05:49	-0.001	8.000	-0.000	PreCon Soak	1	000.000
32	17:05:50	0.000	8.000	-0.000	PreCon Soak	1	000.000
33	17:05:51	-0.001	8.000	-0.000	PreCon Soak	1	000.000
34	17:05:52	-0.001	8.000	-0.000	PreCon Soak	1	000.000
35	17:05:53	-0.001	8.000	-0.000	PreCon Soak	1	000.000
36	17:05:54	0.000	8.000	-0.000	PreCon Soak	1	000.000
37	17:05:55	-0.001	8.000	-0.000	PreCon Soak	1	000.000
38	17:05:56	-0.001	8.000	-0.000	PreCon Soak	1	000.000
39	17:05:57	-0.001	8.000	-0.000	PreCon Soak	1	000.000
40	17:05:58	-0.001	8.000	-0.000	PreCon Soak	1	000.000
41	17:05:59	0.000	8.000	-0.000	PreCon Soak	1	000.000
42	17:06:00	-0.001	8.000	-0.000	PreCon Soak	1	000.000
43	17:06:01	-0.002	8.000	-0.000	Manual	1	000.000
44	17:06:02	0.000	8.110	-0.000	Manual	1	000.000
45	17:06:03	-0.001	8.618	-0.000	Manual	1	000.000
46	17:06:04	-0.001	9.544	-0.000	Manual	1	000.000
47	17:06:05	0.000	10.822	-0.000	Manual	1	000.000
48	17:06:06	-0.001	13.299	-0.000	Manual	1	000.000
49	17:06:07	-0.001	16.264	-0.000	Manual	1	000.000
50	17:06:08	-0.001	16.157	-0.000	Manual	1	000.000
51	17:06:09	0.000	16.088	-0.000	Manual	1	000.000
52	17:06:10	-0.001	16.088	-0.000	Manual	1	000.000
53	17:06:11	0.000	16.088	-0.000	Manual	1	000.000
54	17:06:12	-0.001	16.088	-0.000	Manual	1	000.000
55	17:06:13	0.000	16.088	-0.000	Manual	1	000.000
56	17:06:14	-0.001	16.088	-0.000	Manual	1	000.000
57	17:06:15	-0.001	16.088	-0.000	Manual	1	000.000
58	17:06:16	0.000	16.088	-0.000	Manual	1	000.000
59	17:06:17	-0.002	16.088	-0.000	Manual	1	000.000
60	17:06:18	0.000	16.088	-0.000	Manual	1	000.000
61	17:06:19	-0.001	16.088	-0.000	Manual	1	000.000
62	17:06:20	-0.001	16.088	-0.000	Manual	1	000.000
63	17:06:21	-0.001	16.088	-0.000	Manual	1	000.000
64	17:06:22	-0.001	16.088	-0.000	Manual	1	000.000
65	17:06:23	-0.001	16.088	-0.000	Manual	1	000.000
66	17:06:24	-0.001	16.088	-0.000	Manual	1	000.000
67	17:06:25	-0.001	16.088	-0.000	Manual	1	000.000
68	17:06:26	-0.001	16.088	-0.000	Manual	1	000.000
69	17:06:27	-0.001	16.088	-0.000	Manual	1	000.000
70	17:06:28	0.000	16.088	-0.000	Manual	1	000.000
71	17:06:29	-0.001	16.088	-0.000	Manual	1	000.000
72	17:06:30	-0.001	16.088	-0.000	Manual	1	000.000
73	17:06:31	-0.002	16.088	-0.000	Manual	1	000.000
74	17:06:32	0.000	16.088	-0.000	Manual	1	000.000
75	17:06:33	-0.001	16.088	-0.000	Manual	1	000.000
76	17:06:34	-0.001	16.088	-0.000	Manual	1	000.000
77	17:06:35	-0.001	16.088	-0.000	Manual	1	000.000
78	17:06:36	-0.001	16.088	-0.000	Manual	1	000.000
79	17:06:37	-0.001	16.088	-0.000	Manual	1	000.000
80	17:06:38	-0.001	16.088	-0.000	Manual	1	000.000
81	17:06:39	-0.001	16.088	-0.000	Manual	1	000.000
82	17:06:40	-0.001	16.088	-0.000	Manual	1	000.000
83	17:06:41	0.000	16.088	-0.000	Manual	1	000.000
84	17:06:42	-0.001	16.088	-0.000	Manual	1	000.000
85	17:06:43	-0.001	16.088	-0.000	Manual	1	000.000
86	17:06:44	-0.001	16.088	-0.000	Manual	1	000.000
