	Pixel	NPB	AlQ3	LiQ	Al
0	A1	450.546375	558.151758739255	11.214712665847665	684.8942391919355
1	A2	448.90876032110094	568.8279765042979	11.112255663390663	676.7455617725806
2	A3	447.2711456422019	579.5041942693409	11.00979866093366	668.5968843532257
3	A4	445.6335309633028	590.180412034384	10.907341658476659	660.4482069338709
4	A5	443.9959162844037	600.8566297994269	10.804884656019656	652.299529514516
5	B1	485.243622706422	571.0508991404012	10.597218808353807	590.6260198370967
6	B2	483.606008027523	581.7271169054441	10.494761805896804	582.4773424177419
7	B3	481.9683933486239	592.4033346704871	10.392304803439801	574.3286649983871
8	B4	480.33077866972474	603.07955243553	10.2898478009828	566.1799875790322
9	B5	478.6931639908257	613.7557702005731	10.187390798525797	558.0313101596774
10	C1	528.4729805045872	587.1219593123209	9.827882199017198	473.1770908048387
11	C2	526.8353658256881	597.7981770773638	9.725425196560197	465.0284133854838
12	C3	525.197751146789	608.4743948424069	9.622968194103194	456.87973596612903
13	C4	523.56013646789	619.1506126074498	9.520511191646191	448.73105854677425
14	C5	521.9225217889908	629.8268303724927	9.418054189189188	440.58238112741935
15	D1	563.1702282110092	600.021099713467	9.210388341523341	378.90887145000005
16	D2	561.5326135321101	610.69731747851	9.107931339066338	370.76019403064515
17	D3	559.8949988532111	621.373535243553	9.005474336609335	362.6115166112903
18	D4	558.2573841743119	632.049753008596	8.903017334152333	354.46283919193553
19	D5	556.6197694954128	642.725970773639	8.80056033169533	346.31416177258063
