	Pixel	HATCN	TAPC	CBP	tri-PXZ-trz	Cl-BsubPc	B3PYMPM	LiQ	Al
0	A1	114.26811976660682	261.58636473214284	151.01599103092784	76.17799474186046	1.679482840728745	445.0640606837607	11.214712665847665	1511.2197935516128
1	A2	111.84194382405745	270.666721875	154.35619721649482	74.70973892790697	1.6632172536842105	462.423035042735	11.112255663390663	1493.2397290354838
2	A3	109.41576788150807	279.7470790178571	157.69640340206186	73.24148311395349	1.646951666639676	479.7820094017094	11.00979866093366	1475.2596645193548
3	A4	106.98959193895871	288.8274361607143	161.03660958762885	71.77322729999999	1.630686079595142	497.1409837606837	10.907341658476659	1457.2796000032258
4	A5	104.56341599640933	297.9077933035714	164.37681577319586	70.30497148604651	1.6144204925506074	514.4999581196581	10.804884656019656	1439.2995354870968
5	B1	109.06943035906643	273.3506504464286	152.76423845360824	73.34915520697675	1.813919925748988	457.6290179487179	10.597218808353807	1303.2168774225806
6	B2	106.64325441651707	282.4310075892857	156.10444463917526	71.88089939302326	1.7976543387044535	474.9879923076923	10.494761805896804	1285.2368129064514
7	B3	104.21707847396769	291.51136473214285	159.44465082474224	70.41264357906977	1.7813887516599192	492.3469666666667	10.392304803439801	1267.2567483903226
8	B4	101.79090253141833	300.59172187499996	162.78485701030928	68.94438776511628	1.7651231646153849	509.705941025641	10.2898478009828	1249.2766838741934
9	B5	99.36472658886895	309.67207901785713	166.1250631958763	67.47613195116278	1.7488575775708504	527.0649153846153	10.187390798525797	1231.2966193580646
10	C1	102.5923747037702	288.0077933035714	154.94238278350514	69.82469939302325	1.9814153103643724	473.28371880341876	9.827882199017198	1044.0657032290324
11	C2	100.16619876122083	297.0881504464286	158.28258896907215	68.35644357906976	1.9651497233198378	490.6426931623932	9.725425196560197	1026.0856387129031
12	C3	97.74002281867146	306.1685075892857	161.62279515463916	66.88818776511627	1.9488841362753035	508.0016675213675	9.622968194103194	1008.1055741967742
13	C4	95.31384687612208	315.24886473214286	164.96300134020618	65.4199319511628	1.9326185492307693	525.3606418803419	9.520511191646191	990.1255096806453
14	C5	92.88767093357272	324.32922187500003	168.3032075257732	63.9516761372093	1.9163529621862347	542.7196162393162	9.418054189189188	972.1454451645162
15	D1	97.3936852962298	299.77207901785715	156.69063020618555	66.99585985813953	2.115852395384615	485.84867606837605	9.210388341523341	836.0627871000002
16	D2	94.96750935368044	308.8524361607143	160.03083639175256	65.52760404418605	2.0995868083400806	503.20765042735036	9.107931339066338	818.082722583871
17	D3	92.54133341113106	317.93279330357143	163.37104257731957	64.05934823023254	2.0833212212955465	520.5666247863247	9.005474336609335	800.1026580677419
18	D4	90.1151574685817	327.0131504464286	166.71124876288658	62.59109241627907	2.067055634251012	537.9255991452991	8.903017334152333	782.122593551613
19	D5	87.68898152603232	336.09350758928565	170.0514549484536	61.12283660232558	2.0507900472064775	555.2845735042735	8.80056033169533	764.1425290354839
