	Timestamp	Filtered Rate: B3PYMPM_BB	Source Power: B3PYMPM_BB	Thickness: B3PYMPM_BB	State: B3PYMPM_BB	Fundamental  Frequency: B3PYMPM_BB	Current Z-Ratio: B3PYMPM_BB
0	15:45:57	-0.000	0.000	0.000	Ready	5893635.516	2.221
1	15:45:57	0.000	0.233	0.000	PreCon Rise	5893635.516	2.221
2	15:45:58	0.000	0.567	0.000	PreCon Rise	5893635.516	2.221
3	15:45:59	0.001	0.900	0.000	PreCon Rise	5893635.512	2.221
4	15:46:00	-0.001	1.233	0.000	PreCon Rise	5893635.516	2.221
5	15:46:01	-0.001	1.567	0.000	PreCon Rise	5893635.519	2.221
6	15:46:02	0.000	1.900	0.000	PreCon Rise	5893635.519	2.221
7	15:46:03	0.001	2.233	0.000	PreCon Rise	5893635.516	2.221
8	15:46:04	0.000	2.567	0.000	PreCon Rise	5893635.516	2.221
9	15:46:05	0.000	2.900	0.000	PreCon Rise	5893635.516	2.221
10	15:46:06	0.001	3.233	0.000	PreCon Rise	5893635.512	2.221
11	15:46:07	0.000	3.567	0.000	PreCon Rise	5893635.512	2.221
12	15:46:08	0.000	3.900	0.000	PreCon Rise	5893635.512	2.221
13	15:46:09	-0.001	4.233	0.000	PreCon Rise	5893635.516	2.221
14	15:46:10	0.000	4.567	0.000	PreCon Rise	5893635.516	2.221
15	15:46:11	0.001	4.900	0.000	PreCon Rise	5893635.512	2.221
16	15:46:12	-0.001	5.233	0.000	PreCon Rise	5893635.516	2.221
17	15:46:13	0.000	5.567	0.000	PreCon Rise	5893635.516	2.221
18	15:46:14	0.000	5.900	0.000	PreCon Rise	5893635.516	2.221
19	15:46:15	-0.000	6.233	0.000	PreCon Rise	5893635.516	2.221
20	15:46:16	0.001	6.567	0.000	PreCon Rise	5893635.512	2.221
21	15:46:17	0.000	6.900	0.000	PreCon Rise	5893635.512	2.221
22	15:46:18	0.000	7.233	0.000	PreCon Rise	5893635.512	2.221
23	15:46:19	0.001	7.567	0.000	PreCon Rise	5893635.509	2.221
24	15:46:20	0.000	7.900	0.000	PreCon Rise	5893635.509	2.221
25	15:46:21	0.000	8.233	0.000	PreCon Rise	5893635.509	2.221
26	15:46:22	0.000	8.567	0.000	PreCon Rise	5893635.509	2.221
27	15:46:23	-0.001	8.900	0.000	PreCon Rise	5893635.512	2.221
28	15:46:24	0.001	9.233	0.000	PreCon Rise	5893635.509	2.221
29	15:46:25	-0.001	9.567	0.000	PreCon Rise	5893635.512	2.221
30	15:46:26	0.000	9.900	0.000	PreCon Rise	5893635.512	2.221
31	15:46:27	0.000	10.233	0.000	PreCon Rise	5893635.512	2.221
32	15:46:28	0.001	10.567	0.000	PreCon Rise	5893635.509	2.221
33	15:46:29	0.000	10.900	0.000	PreCon Rise	5893635.509	2.221
34	15:46:30	0.000	11.233	0.000	PreCon Rise	5893635.509	2.221
35	15:46:31	0.000	11.567	0.000	PreCon Rise	5893635.509	2.221
36	15:46:32	0.000	11.900	0.000	PreCon Rise	5893635.509	2.221
37	15:46:33	0.001	12.233	0.000	PreCon Rise	5893635.505	2.221
38	15:46:34	0.000	12.567	0.000	PreCon Rise	5893635.505	2.221
39	15:46:35	0.001	12.900	0.000	PreCon Rise	5893635.502	2.221
40	15:46:36	0.000	13.233	0.000	PreCon Rise	5893635.502	2.221
41	15:46:37	0.000	13.567	0.000	PreCon Rise	5893635.502	2.221
42	15:46:38	0.000	13.900	0.000	PreCon Rise	5893635.502	2.221
43	15:46:39	-0.001	14.233	0.000	PreCon Rise	5893635.505	2.221
44	15:46:40	0.000	14.567	0.000	PreCon Rise	5893635.505	2.221
45	15:46:41	0.000	14.900	0.000	PreCon Rise	5893635.505	2.221
46	15:46:42	0.001	15.233	0.000	PreCon Rise	5893635.502	2.221
47	15:46:43	-0.000	15.567	0.000	PreCon Rise	5893635.502	2.221
48	15:46:44	-0.000	15.900	0.000	PreCon Rise	5893635.502	2.221
49	15:46:45	0.000	16.233	0.000	PreCon Rise	5893635.502	2.221
