	Timestamp	Filtered Rate: CBP	Filtered Rate: TxOPhCz	Filtered Rate: Cl-BsubPc	Source Power: CBP	Source Power: TxOPhCz	Source Power: Cl-BsubPc	Thickness: CBP	Thickness: TxOPhCz	Thickness: Cl-BsubPc	State: CBP	State: TxOPhCz	State: Cl-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: TxOPhCz	Fundamental  Frequency: Cl-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: TxOPhCz	Current Z-Ratio: Cl-BsubPc
0	11:27:52	0.001	0.000	0.000	0.000	0.000	0.000	-0.000	0.000	0.000	Ready	Ready	Ready	1	1	1	000.000	000.000	000.000
1	11:27:53	-0.001	0.000	0.000	0.000	0.000	0.000	-0.000	0.000	0.000	Ready	Ready	Ready	1	1	1	000.000	000.000	000.000
2	11:27:54	0.001	0.000	0.000	0.120	0.000	0.000	-0.000	0.000	0.000	PreCon Rise	Ready	Ready	1	1	1	000.000	000.000	000.000
3	11:27:55	-0.000	-0.002	0.002	0.520	0.055	0.240	-0.000	-0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	679
4	11:27:56	0.001	-0.001	-0.000	0.920	0.147	0.840	-0.000	-0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	679
5	11:27:57	0.001	-0.000	-0.000	1.320	0.238	1.440	-0.000	-0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	677
6	11:27:58	0.000	-0.000	0.000	1.720	0.330	2.040	-0.000	-0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	677
7	11:27:59	0.000	0.000	0.000	2.120	0.422	2.640	-0.000	-0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	678
8	11:28:00	-0.001	0.000	0.000	2.520	0.513	3.240	-0.000	-0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	678
9	11:28:01	0.001	-0.000	-0.000	2.920	0.605	3.840	-0.000	-0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	677
10	11:28:02	0.001	0.000	-0.000	3.320	0.697	4.440	-0.000	-0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	678
11	11:28:03	0.001	0.000	-0.000	3.720	0.788	5.040	-0.000	-0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	678
12	11:28:04	0.000	-0.000	-0.000	4.120	0.880	5.640	-0.000	-0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	678
13	11:28:05	0.000	-0.000	-0.000	4.520	0.972	6.240	-0.000	-0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	677
14	11:28:06	-0.000	-0.000	-0.000	4.920	1.063	6.840	-0.000	-0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	678
15	11:28:07	-0.001	-0.000	-0.000	5.320	1.155	7.440	-0.000	-0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	677
16	11:28:08	-0.001	-0.000	-0.000	5.720	1.247	8.040	-0.000	-0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	677
17	11:28:09	0.001	0.000	-0.000	6.120	1.338	8.640	-0.000	-0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	678
18	11:28:10	0.001	-0.000	-0.000	6.520	1.430	9.240	-0.000	-0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	679
19	11:28:11	0.000	0.000	-0.000	6.920	1.522	9.840	-0.000	-0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	678
20	11:28:12	0.000	0.000	-0.000	7.320	1.613	10.440	-0.000	-0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	676
21	11:28:13	0.000	-0.000	-0.000	7.720	1.705	11.040	-0.000	-0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	678
22	11:28:14	-0.001	0.000	-0.000	8.120	1.797	11.640	-0.000	-0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	678
23	11:28:15	-0.000	-0.000	-0.000	8.520	1.888	12.240	-0.000	-0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	676
24	11:28:16	0.000	-0.000	-0.000	8.920	1.980	12.840	-0.000	-0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	680
25	11:28:17	0.001	-0.000	-0.000	9.320	2.072	13.440	-0.000	-0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	678
26	11:28:18	0.000	-0.000	-0.000	9.720	2.163	14.040	-0.000	-0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	676
27	11:28:19	-0.001	0.000	-0.000	10.120	2.255	14.640	-0.000	-0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	678
28	11:28:20	0.000	-0.000	-0.000	10.520	2.347	15.240	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	678
29	11:28:21	0.000	-0.000	-0.000	10.920	2.438	15.840	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	675
30	11:28:22	0.000	0.000	-0.000	11.320	2.530	16.440	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	677
31	11:28:23	-0.001	-0.000	-0.000	11.720	2.622	17.040	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	680
32	11:28:24	0.000	-0.000	-0.000	12.000	2.713	17.640	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	677
