	Timestamp	Filtered Rate: CBP	Filtered Rate: F-BsubPc	Source Power: CBP	Source Power: F-BsubPc	Thickness: CBP	Thickness: F-BsubPc	State: CBP	State: F-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: F-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: F-BsubPc
38	14:50:12	-0.000	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
39	14:50:13	0.000	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
40	14:50:14	-0.001	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
41	14:50:15	-0.001	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	760
42	14:50:16	0.000	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
43	14:50:17	0.000	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
44	14:50:18	-0.001	-0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
45	14:50:19	-0.000	-0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
46	14:50:20	-0.001	-0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
47	14:50:21	0.000	-0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
48	14:50:22	-0.001	-0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	759
49	14:50:23	0.000	-0.003	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	759
50	14:50:24	-0.001	-0.003	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
51	14:50:25	-0.000	-0.003	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
52	14:50:26	-0.001	-0.003	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	755
