	Pixel	Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)	CE(cd/A)
0	A1-1	-0.999965	-1.54079e-05	-0.0962994	0.228643	-0.851856	0.0700835	-0.07277667358259762
1	A1-1	-0.799989	-9.39285e-06	-0.0587053	-0.447366	-0.610424	-0.0668766	0.11391918617228766
2	A1-1	-0.599972	-5.25264e-06	-0.032829	-3.81356	1.16099	-0.239095	0.7283042431996102
3	A1-1	-0.399957	-2.76779e-06	-0.0172987	-0.371846	-1.51674	-0.00818917	0.0473398001005856
4	A1-1	-0.200009	-9.68801e-07	-0.00605501	-31.034	26.8011	-0.119633	1.9757688261456212
5	A1-1	3.65734e-05	6.46937e-10	4.04336e-06	-252439000.0	25140.6	-0.118827	-2938.8182105971273
6	A1-1	0.200024	9.65711e-07	0.00603569	-117.526	-1.1195	-0.451641	-7.482839575922554
7	A1-1	0.399971	2.50918e-06	0.0156824	-28.7647	0.0688118	-0.574315	-3.6621626791817583
8	A1-1	0.599963	4.92119e-06	0.0307574	-5.11343	0.979753	-0.300357	-0.9765357279874112
9	A1-1	0.799974	8.85658e-06	0.0553536	0.34576	-0.0756808	0.0487356	0.08804413805064168
10	A1-1	0.999974	1.35944e-05	0.084965	1.21199	-0.823227	0.327777	0.3857788501147531
11	A1-1	1.19999	2.04179e-05	0.127612	-0.418031	-0.643159	-0.203764	-0.15967463874870702
12	A1-1	1.4	2.78927e-05	0.174329	-0.459195	0.0236369	-0.356735	-0.2046331935593045
13	A1-1	1.6	3.76251e-05	0.235157	-0.33103	-0.42741	-0.396456	-0.1685920470153982
14	A1-1	1.79998	4.82284e-05	0.301427	-0.0761019	-0.271724	-0.13143	-0.0436025969803634
15	A1-1	1.99997	5.78789e-05	0.361743	-0.0245318	-0.20164	-0.0564941	-0.015617192316091811
16	A1-1	2.19996	6.6741e-05	0.417131	-0.169498	0.0875948	-0.495112	-0.1186946067302598
17	A1-1	2.39989	7.46475e-05	0.466547	-0.00833473	-0.0187362	-0.0297049	-0.006366968386893495
18	A1-1	2.59984	8.7584e-05	0.5474	-0.0447767	0.0800287	-0.20284	-0.03705516989404457
19	A1-1	2.79978	9.76652e-05	0.610407	0.295189	-0.0157591	1.60581	0.2630720158844836
20	A1-1	2.99977	0.000134305	0.839406	0.386894	0.0233479	3.101	0.36942790497089606
21	A1-1	3.19981	0.000169693	1.06058	0.47164	0.167316	5.09482	0.4803805464934281
22	A1-1	3.39972	0.000228133	1.42583	0.566109	0.268478	8.73496	0.6126228231977164
23	A1-1	3.59971	0.000314705	1.96691	0.661888	0.25309	14.9171	0.7584027738940775
24	A1-1	3.79968	0.000425163	2.65727	0.731686	0.310346	23.5157	0.8849571176432954
25	A1-1	3.99963	0.000579554	3.62221	0.729517	0.361683	33.6418	0.9287644835611409
26	A1-1	4.19958	0.000777887	4.86179	0.745874	0.362927	48.475	0.997060753343933
27	A1-1	4.39956	0.00102394	6.39963	0.720699	0.385396	64.5904	1.0092833491936253
28	A1-1	4.59964	0.00133821	8.36381	0.681052	0.36601	83.3986	0.9971364724927992
29	A1-1	4.79995	0.00163679	10.2299	0.67108	0.378982	104.89	1.0253277158134488
30	A1-1	4.99991	0.00202045	12.6278	0.635389	0.360033	127.697	1.0112371117692711
31	A1-1	5.19999	0.00244601	15.2876	0.608114	0.374279	153.878	1.0065543316151653
32	A1-1	5.39995	0.00292051	18.2532	0.573664	0.358711	179.985	0.9860462822957071
33	A1-1	5.59989	0.0034428	21.5175	0.546308	0.352554	209.536	0.9737934239572441
34	A1-1	5.79999	0.00402473	25.1546	0.516355	0.347636	239.796	0.9532888616793749
35	A1-1	5.99992	0.00462228	28.8893	0.496432	0.34838	273.9	0.9481018923961466
36	A1-1	6.19997	0.00524097	32.7561	0.479257	0.347303	309.813	0.9458177255534082
37	A1-1	6.39994	0.00597036	37.3148	0.459008	0.339765	348.921	0.9350740188879479
38	A1-1	6.59999	0.00674244	42.1402	0.436161	0.337646	386.133	0.9163055704529166
39	A1-1	6.7999	0.00758685	47.4178	0.418317	0.332782	429.339	0.905438464036712
40	A1-1	6.99986	0.00849229	53.0768	0.397775	0.324811	470.416	0.886293069665089
41	A1-1	7.19981	0.00945885	59.1178	0.381555	0.320661	516.948	0.8744371407596357
42	A1-1	7.39992	0.0104902	65.5637	0.365679	0.316881	564.73	0.8613455311399448
43	A1-1	7.59991	0.0115785	72.3656	0.348443	0.309245	609.991	0.8429295134704887
44	A1-1	7.79993	0.0127283	79.5519	0.335514	0.306019	662.678	0.8330134163986026
45	A1-1	7.99991	0.0139391	87.1194	0.320605	0.301024	711.247	0.8164048420902807
46	A1-1	8.19986	0.0152113	95.0706	0.309011	0.297437	766.792	0.8065500796250366
47	A1-1	8.39995	0.0165477	103.423	0.296233	0.290795	819.177	0.7920646277907235
48	A1-1	8.59986	0.0179442	112.151	0.285426	0.287202	876.274	0.7813340942122674
49	A1-1	8.79992	0.0194017	121.261	0.273437	0.282546	928.764	0.7659214421784416
50	A1-1	8.86014	0.0200013	125.008	0.268512	0.278477	946.655	0.7572755343658006
51	A2-1	-0.999971	-1.46952e-06	-0.0091845	9.32083	-5.24717	0.272488	-2.9668245413468344
52	A2-1	-0.799996	-1.36459e-06	-0.00852869	21.1892	7.51053	0.460188	-5.395764179492981
53	A2-1	-0.599972	-5.70516e-07	-0.00356572	71.6325	-12.889	0.487797	-13.68018240355384
54	A2-1	-0.39996	-2.89216e-07	-0.0018076	431.726	20.4665	0.993522	-54.963598141181684
55	A2-1	-0.200017	-8.61356e-08	-0.000538348	2302.09	204.937	0.789047	-146.5682049529301
56	A2-1	4.65631e-05	1.87423e-08	0.000117139	32978500.0	868.847	0.572566	488.791948027557
