Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99975E-1	-1.37824E-7	-8.61400E-4	7.37992E+2	1.81669E+2	2.02346E+0
-7.99991E-1	-5.61124E-8	-3.50702E-4	5.80813E+3	1.14351E+3	5.18693E+0
-5.99946E-1	3.12225E-9	1.95141E-5	6.20202E+5	9.15785E+4	2.31123E+1
-3.99932E-1	2.34586E-8	1.46616E-4	-2.50651E+4	-2.46745E+3	-4.67830E+0
-1.99974E-1	3.35907E-8	2.09942E-4	4.27941E+4	2.10637E+3	5.71883E+0
7.95841E-5	3.92560E-8	2.45350E-4	2.29652E+7	4.49604E+2	1.42736E+0
2.00073E-1	3.80367E-8	2.37729E-4	2.30289E+4	1.13354E+3	3.48654E+0
4.00021E-1	4.67278E-8	2.92049E-4	-1.22108E+4	-1.20243E+3	-4.54078E+0
6.00010E-1	6.89406E-8	4.30879E-4	1.36189E+4	2.01104E+3	1.12074E+1
8.00014E-1	8.60447E-8	5.37779E-4	-3.99670E+3	-7.86868E+2	-5.47336E+0
1.00000E+0	1.07200E-7	6.70000E-4	-4.65803E+2	-1.14692E+2	-9.93408E-1
1.20001E+0	1.76735E-7	1.10459E-3	-2.53851E+3	-7.49817E+2	-1.07107E+1
1.40002E+0	2.59776E-7	1.62360E-3	1.55157E+1	5.37465E+0	1.12263E-1
1.60002E+0	3.52069E-7	2.20043E-3	-5.23585E+2	-2.06207E+2	-5.86774E+0
1.80000E+0	4.85300E-7	3.03313E-3	4.73092E+1	2.09427E+1	8.22165E-1
1.99999E+0	6.42662E-7	4.01664E-3	1.66732E+2	8.20707E+1	4.26344E+0
2.20020E+0	8.93443E-7	5.58402E-3	1.61941E+2	8.76812E+1	6.33310E+0
2.40017E+0	1.72891E-6	1.08057E-2	-3.03135E+1	-1.79170E+1	-2.50254E+0
2.60019E+0	6.32992E-6	3.95620E-2	-7.51055E+0	-4.80793E+0	-2.45926E+0
2.80002E+0	2.29977E-5	1.43736E-1	-1.05489E+1	-7.27021E+0	-1.35139E+1
3.00000E+0	6.54005E-5	4.08753E-1	1.42918E+0	1.05499E+0	5.57853E+0
3.20006E+0	1.47659E-4	9.22869E-1	-3.20421E-1	-2.52469E-1	-3.01210E+0
3.40001E+0	2.83700E-4	1.77313E+0	1.38073E-1	1.15547E-1	2.64960E+0
3.60002E+0	4.80393E-4	3.00246E+0	-1.43704E-1	-1.27349E-1	-4.94424E+0
3.79996E+0	7.35946E-4	4.59966E+0	-8.77386E-2	-8.20835E-2	-4.88142E+0
3.99994E+0	1.03983E-3	6.49894E+0	5.68898E-2	5.59864E-2	4.70740E+0
4.19993E+0	1.37855E-3	8.61594E+0	-2.88227E-2	-2.98041E-2	-3.31993E+0
4.39985E+0	1.75272E-3	1.09545E+1	-5.27192E-2	-5.70992E-2	-8.08816E+0
4.59990E+0	2.16191E-3	1.35119E+1	-2.52627E-2	-2.86084E-2	-4.99799E+0
4.80020E+0	2.61640E-3	1.63525E+1	-3.20246E-2	-3.78355E-2	-8.00161E+0
5.00024E+0	3.12007E-3	1.95004E+1	1.73956E-2	2.14061E-2	5.39913E+0
5.20021E+0	3.67890E-3	2.29931E+1	-2.98416E-2	-3.81955E-2	-1.13577E+1
5.40018E+0	4.29496E-3	2.68435E+1	-5.74426E-3	-7.63711E-3	-2.65052E+0
5.60018E+0	4.97996E-3	3.11248E+1	3.72192E-4	5.11900E-4	2.06503E-1
5.80022E+0	5.73485E-3	3.58428E+1	-1.11791E-2	-1.59616E-2	-7.39781E+0
6.00019E+0	6.56212E-3	4.10132E+1	-1.12318E-2	-1.65870E-2	-8.79806E+0
6.20018E+0	7.46235E-3	4.66397E+1	7.06682E-3	1.07848E-2	6.50480E+0
6.40017E+0	8.44478E-3	5.27799E+1	1.03744E-2	1.63417E-2	1.11551E+1
6.60016E+0	9.51168E-3	5.94480E+1	-3.33782E-3	-5.42286E-3	-4.16874E+0
6.80015E+0	1.06827E-2	6.67669E+1	-2.97243E-3	-4.97519E-3	-4.29578E+0
7.00010E+0	1.19212E-2	7.45075E+1	3.62382E-3	6.24379E-3	6.01619E+0
7.20012E+0	1.32639E-2	8.28994E+1	-4.97824E-3	-8.82351E-3	-9.45839E+0
7.40009E+0	1.47074E-2	9.19213E+1	1.20920E-3	2.20272E-3	2.61818E+0
7.60007E+0	1.62501E-2	1.01563E+2	-4.10811E-3	-7.68451E-3	-1.00936E+1
7.80010E+0	1.79027E-2	1.11892E+2	9.95203E-4	1.90976E-3	2.76478E+0
8.00003E+0	1.96643E-2	1.22902E+2	2.14667E-3	4.22765E-3	6.71840E+0
