	Timestamp	Filtered Rate: AlQ3	Source Power: AlQ3	Thickness: AlQ3	State: AlQ3	Fundamental  Frequency: AlQ3	Current Z-Ratio: AlQ3
0	14:24:45	0.000	0.000	-0.000	Ready	5974171.429	0.586
1	14:24:46	0.000	0.000	-0.000	Ready	5974171.433	0.586
2	14:24:47	0.000	0.000	-0.000	Ready	5974171.433	0.586
3	14:24:48	0.006	0.050	-0.000	PreCon Rise	5974171.436	0.586
4	14:24:49	0.000	0.300	-0.000	PreCon Rise	5974171.440	0.586
5	14:24:50	0.000	0.550	-0.000	PreCon Rise	5974171.443	0.586
6	14:24:51	0.000	0.800	-0.000	PreCon Rise	5974171.443	0.586
7	14:24:52	0.000	1.050	-0.000	PreCon Rise	5974171.443	0.586
8	14:24:53	0.006	1.300	-0.000	PreCon Rise	5974171.436	0.586
9	14:24:54	0.000	1.550	-0.000	PreCon Rise	5974171.443	0.586
10	14:24:55	0.006	1.800	-0.000	PreCon Rise	5974171.440	0.586
11	14:24:56	0.000	2.050	-0.000	PreCon Rise	5974171.443	0.586
12	14:24:57	0.000	2.300	-0.000	PreCon Rise	5974171.443	0.586
13	14:24:58	0.000	2.550	-0.000	PreCon Rise	5974171.443	0.586
14	14:24:59	0.162	2.800	0.000	PreCon Rise	5974171.105	0.586
15	14:25:00	0.000	3.050	0.000	PreCon Rise	5974171.108	0.586
16	14:25:01	0.000	3.300	0.000	PreCon Rise	5974171.115	0.586
17	14:25:02	0.000	3.550	0.000	PreCon Rise	5974171.115	0.586
18	14:25:03	-0.006	3.800	0.000	PreCon Rise	5974171.119	0.586
19	14:25:04	0.000	4.050	0.000	PreCon Rise	5974171.122	0.586
20	14:25:05	0.006	4.300	0.000	PreCon Rise	5974171.126	0.586
21	14:25:06	0.000	4.550	0.000	PreCon Rise	5974171.129	0.586
22	14:25:07	0.000	4.800	0.000	PreCon Rise	5974171.129	0.586
23	14:25:08	0.000	5.050	0.000	PreCon Rise	5974171.136	0.586
24	14:25:09	0.000	5.300	0.000	PreCon Rise	5974171.136	0.586
25	14:25:10	0.000	5.550	0.000	PreCon Rise	5974171.140	0.586
26	14:25:11	0.000	5.800	0.000	PreCon Rise	5974171.143	0.586
27	14:25:12	0.000	6.050	0.000	PreCon Rise	5974171.143	0.586
28	14:25:13	0.000	6.300	0.000	PreCon Rise	5974171.147	0.586
29	14:25:14	-0.006	6.550	0.000	PreCon Rise	5974171.147	0.586
30	14:25:15	0.000	6.800	0.000	PreCon Rise	5974171.147	0.586
31	14:25:16	-0.006	7.050	0.000	PreCon Rise	5974171.150	0.586
32	14:25:17	0.000	7.300	0.000	PreCon Rise	5974171.150	0.586
33	14:25:18	0.000	7.550	0.000	PreCon Rise	5974171.150	0.586
34	14:25:19	0.000	7.800	0.000	PreCon Rise	5974171.157	0.586
35	14:25:20	-0.006	8.050	0.000	PreCon Rise	5974171.154	0.586
36	14:25:21	0.006	8.300	0.000	PreCon Rise	5974171.157	0.586
37	14:25:22	0.000	8.550	0.000	PreCon Rise	5974171.171	0.586
38	14:25:23	0.000	8.800	0.000	PreCon Rise	5974171.174	0.586
39	14:25:24	0.000	9.050	0.000	PreCon Rise	5974171.178	0.586
40	14:25:25	0.000	9.300	0.000	PreCon Rise	5974171.178	0.586
41	14:25:26	0.000	9.550	0.000	PreCon Rise	5974171.188	0.586
42	14:25:27	-0.006	9.800	0.000	PreCon Rise	5974171.188	0.586
43	14:25:28	0.006	10.050	0.000	PreCon Rise	5974171.192	0.586
44	14:25:29	0.000	10.300	0.000	PreCon Rise	5974171.199	0.586
45	14:25:30	0.000	10.550	0.000	PreCon Rise	5974171.199	0.586
46	14:25:31	0.000	10.800	0.000	PreCon Rise	5974171.199	0.586
47	14:25:32	0.000	11.050	0.000	PreCon Rise	5974171.199	0.586
48	14:25:33	0.000	11.300	-0.000	PreCon Rise	5974171.216	0.586
49	14:25:34	-0.006	11.550	-0.000	PreCon Rise	5974171.220	0.586
50	14:25:35	0.000	11.800	-0.000	PreCon Rise	5974171.223	0.586
51	14:25:36	0.000	12.050	-0.000	PreCon Rise	5974171.227	0.586
52	14:25:37	0.000	12.300	-0.000	PreCon Rise	5974171.230	0.586
53	14:25:38	0.000	12.550	-0.000	PreCon Rise	5974171.230	0.586
54	14:25:39	0.000	12.800	-0.000	PreCon Rise	5974171.237	0.586
55	14:25:40	0.000	13.050	-0.000	PreCon Rise	5974171.237	0.586
56	14:25:41	0.000	13.300	-0.000	PreCon Rise	5974171.234	0.586
57	14:25:42	0.000	13.550	-0.000	PreCon Rise	5974171.237	0.586
58	14:25:43	0.006	13.800	-0.000	PreCon Rise	5974171.237	0.586
59	14:25:44	0.000	14.050	-0.000	PreCon Rise	5974171.241	0.586
