	Material	FD_ct	FD_%
0	HATCN	0.7801266024036104	-0.8413513426026645
1	TAPC	-0.6783122367230909	0.7346329613348925
2	CBP	-0.38024657104232	0.41784491221584846
3	TxOPhCz	0.7001900353740071	-0.7577001855164441
4	BuO-BsubPc	-0.7668219502934894	0.819977889990391
5	B3PYMPM	-0.4868439703086869	0.5315011940376887
6	LiQ	0.8208271466433444	-0.8814531745400398
7	Al	0.8146509807170746	-0.8738069872131226
