	Timestamp	Filtered Rate: B3PYMPM	Source Power: B3PYMPM	Thickness: B3PYMPM	State: B3PYMPM	Fundamental  Frequency: B3PYMPM	Current Z-Ratio: B3PYMPM
0	14:34:57	-0.001	0.000	-0.000	Ready	5919643.426	1.910
1	14:34:58	-0.001	0.000	-0.000	Ready	5919643.430	1.910
2	14:34:59	-0.002	0.427	-0.000	PreCon Rise	5919643.437	1.910
3	14:35:00	-0.002	0.960	-0.000	PreCon Rise	5919643.444	1.910
4	14:35:01	-0.002	1.493	-0.000	PreCon Rise	5919643.451	1.910
5	14:35:02	-0.001	2.027	-0.000	PreCon Rise	5919643.454	1.910
6	14:35:03	-0.001	2.560	-0.000	PreCon Rise	5919643.458	1.910
7	14:35:04	-0.002	3.093	-0.000	PreCon Rise	5919643.465	1.910
8	14:35:05	-0.002	3.627	-0.000	PreCon Rise	5919643.472	1.910
9	14:35:06	-0.002	4.160	-0.000	PreCon Rise	5919643.479	1.910
10	14:35:07	-0.002	4.693	-0.000	PreCon Rise	5919643.486	1.910
11	14:35:08	-0.002	5.227	-0.000	PreCon Rise	5919643.493	1.910
12	14:35:09	-0.001	5.760	-0.000	PreCon Rise	5919643.496	1.910
13	14:35:10	-0.002	6.293	-0.000	PreCon Rise	5919643.503	1.910
14	14:35:11	-0.002	6.827	-0.000	PreCon Rise	5919643.510	1.910
15	14:35:12	-0.001	7.360	-0.000	PreCon Rise	5919643.514	1.910
16	14:35:13	-0.003	7.893	-0.000	PreCon Rise	5919643.524	1.910
17	14:35:14	-0.002	8.427	-0.000	PreCon Rise	5919643.531	1.910
18	14:35:15	-0.002	8.960	-0.000	PreCon Rise	5919643.538	1.910
19	14:35:16	-0.001	9.493	-0.000	PreCon Rise	5919643.542	1.910
20	14:35:17	-0.002	10.027	-0.000	PreCon Rise	5919643.549	1.910
21	14:35:18	-0.001	10.560	-0.000	PreCon Rise	5919643.552	1.910
22	14:35:19	-0.003	11.093	-0.000	PreCon Rise	5919643.563	1.910
23	14:35:20	-0.001	11.627	-0.000	PreCon Rise	5919643.566	1.910
24	14:35:21	-0.002	12.160	-0.000	PreCon Rise	5919643.573	1.910
25	14:35:22	-0.002	12.693	-0.000	PreCon Rise	5919643.580	1.910
26	14:35:23	-0.001	13.227	-0.000	PreCon Rise	5919643.583	1.910
27	14:35:24	-0.002	13.760	-0.000	PreCon Rise	5919643.590	1.910
28	14:35:25	-0.002	14.293	-0.000	PreCon Rise	5919643.597	1.910
29	14:35:26	-0.002	14.827	-0.000	PreCon Rise	5919643.604	1.910
30	14:35:27	-0.001	15.360	-0.000	PreCon Rise	5919643.608	1.910
31	14:35:28	-0.001	15.893	-0.000	PreCon Rise	5919643.611	1.910
32	14:35:29	-0.002	16.427	-0.000	PreCon Rise	5919643.618	1.910
33	14:35:30	0.000	16.960	-0.000	PreCon Rise	5919643.618	1.910
34	14:35:31	-0.002	17.493	-0.000	PreCon Rise	5919643.625	1.910
35	14:35:32	-0.001	18.027	-0.000	PreCon Rise	5919643.629	1.910
36	14:35:33	-0.002	18.560	-0.000	PreCon Rise	5919643.636	1.910
37	14:35:34	-0.001	19.093	-0.000	PreCon Rise	5919643.639	1.910
38	14:35:35	-0.002	19.627	-0.000	PreCon Rise	5919643.646	1.910
39	14:35:36	0.000	20.160	-0.000	PreCon Rise	5919643.646	1.910
40	14:35:37	-0.003	20.693	-0.000	PreCon Rise	5919643.657	1.910
41	14:35:38	-0.001	21.227	-0.000	PreCon Rise	5919643.660	1.910
42	14:35:39	-0.001	21.760	-0.000	PreCon Rise	5919643.664	1.910
43	14:35:40	-0.001	22.293	-0.000	PreCon Rise	5919643.667	1.910
44	14:35:41	-0.001	22.827	-0.000	PreCon Rise	5919643.671	1.910
45	14:35:42	-0.002	23.360	-0.000	PreCon Rise	5919643.678	1.910
46	14:35:43	-0.001	23.893	-0.000	PreCon Rise	5919643.681	1.910
47	14:35:44	-0.003	24.427	-0.000	PreCon Rise	5919643.692	1.910
48	14:35:45	-0.001	24.960	-0.000	PreCon Rise	5919643.695	1.910
49	14:35:46	-0.002	25.493	-0.000	PreCon Rise	5919643.702	1.910
50	14:35:47	-0.002	26.027	-0.000	PreCon Rise	5919643.709	1.910
51	14:35:48	-0.001	26.560	-0.000	PreCon Rise	5919643.713	1.910
52	14:35:49	-0.002	27.093	-0.000	PreCon Rise	5919643.720	1.910
53	14:35:50	-0.001	27.627	-0.000	PreCon Rise	5919643.723	1.910
54	14:35:51	-0.003	28.160	-0.000	PreCon Rise	5919643.734	1.910
55	14:35:52	-0.002	28.693	-0.000	PreCon Rise	5919643.741	1.910
56	14:35:53	-0.002	29.227	-0.000	PreCon Rise	5919643.748	1.910
57	14:35:54	-0.002	29.760	-0.000	PreCon Rise	5919643.755	1.910
58	14:35:55	-0.003	30.293	-0.000	PreCon Rise	5919643.765	1.910
59	14:35:56	-0.002	30.827	-0.000	PreCon Rise	5919643.772	1.910
60	14:35:57	-0.002	31.360	-0.000	PreCon Rise	5919643.779	1.910
61	14:35:58	-0.004	31.893	-0.000	PreCon Rise	5919643.793	1.910
62	14:35:59	-0.002	32.000	-0.000	PreCon Soak	5919643.800	1.910
63	14:36:00	-0.003	32.000	-0.000	PreCon Soak	5919643.810	1.910
64	14:36:01	-0.004	32.000	-0.000	PreCon Soak	5919643.824	1.910
65	14:36:02	-0.003	32.000	-0.000	PreCon Soak	5919643.835	1.910
66	14:36:03	-0.001	32.000	-0.000	PreCon Soak	5919643.838	1.910
67	14:36:04	-0.003	32.000	-0.000	PreCon Soak	5919643.849	1.910
68	14:36:05	-0.004	32.000	-0.000	PreCon Soak	5919643.863	1.910
69	14:36:06	-0.002	32.000	-0.000	PreCon Soak	5919643.870	1.910
70	14:36:07	-0.004	32.000	-0.000	PreCon Soak	5919643.884	1.910
71	14:36:08	-0.003	32.000	-0.000	PreCon Soak	5919643.894	1.910
72	14:36:09	-0.003	32.000	-0.000	PreCon Soak	5919643.905	1.910
73	14:36:10	-0.003	32.000	-0.000	PreCon Soak	5919643.915	1.910
74	14:36:11	-0.003	32.000	-0.000	PreCon Soak	5919643.926	1.910
75	14:36:12	-0.003	32.000	-0.000	PreCon Soak	5919643.936	1.910
76	14:36:13	-0.004	32.000	-0.000	PreCon Soak	5919643.950	1.910
77	14:36:14	-0.003	32.000	-0.000	PreCon Soak	5919643.961	1.910
78	14:36:15	-0.004	32.000	-0.000	PreCon Soak	5919643.975	1.910
79	14:36:16	-0.003	32.000	-0.000	PreCon Soak	5919643.985	1.910
80	14:36:17	-0.003	32.000	-0.000	PreCon Soak	5919643.996	1.910
81	14:36:18	-0.003	32.000	-0.000	PreCon Soak	5919644.006	1.910
82	14:36:19	-0.005	32.000	-0.000	PreCon Soak	5919644.024	1.910
83	14:36:20	-0.001	32.000	-0.000	PreCon Soak	5919644.027	1.910
84	14:36:21	-0.004	32.000	-0.000	PreCon Soak	5919644.041	1.910
85	14:36:22	-0.003	32.000	-0.000	PreCon Soak	5919644.051	1.910
86	14:36:23	-0.003	32.000	-0.000	PreCon Soak	5919644.062	1.910
87	14:36:24	-0.003	32.000	-0.000	PreCon Soak	5919644.072	1.910
