	Timestamp	Filtered Rate: CBP	Filtered Rate: BuO-BsubPc	Source Power: CBP	Source Power: BuO-BsubPc	Thickness: CBP	Thickness: BuO-BsubPc	State: CBP	State: BuO-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: BuO-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: BuO-BsubPc
38	11:43:52	0.001	-0.000	12.000	18.000	0.000	0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	787
39	11:43:53	0.000	-0.001	12.000	18.000	0.000	0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
40	11:43:54	0.001	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	788
41	11:43:55	0.000	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
42	11:43:56	-0.001	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	787
43	11:43:57	-0.001	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	787
44	11:43:58	0.000	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
45	11:43:59	-0.000	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	787
46	11:44:00	0.001	-0.002	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	787
47	11:44:01	-0.001	-0.002	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
48	11:44:02	-0.001	-0.002	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	788
49	11:44:03	-0.000	-0.002	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	787
50	11:44:04	-0.001	-0.002	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
51	11:44:05	-0.001	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
52	11:44:06	-0.001	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
53	11:44:07	-0.000	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
54	11:44:08	-0.001	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
55	11:44:09	-0.001	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	787
56	11:44:10	-0.001	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	787
57	11:44:11	0.000	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	787
58	11:44:12	-0.001	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	787
59	11:44:13	-0.001	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
60	11:44:14	0.000	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
61	11:44:15	-0.001	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	787
62	11:44:16	-0.001	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	785
63	11:44:17	-0.000	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	785
64	11:44:18	0.000	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
65	11:44:19	-0.001	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	788
66	11:44:20	-0.001	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
67	11:44:21	0.000	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	787
68	11:44:22	-0.001	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	785
69	11:44:23	-0.000	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	785
70	11:44:24	-0.001	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
71	11:44:25	-0.001	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
72	11:44:26	0.000	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	785
73	11:44:27	-0.001	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
74	11:44:28	0.000	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
75	11:44:29	-0.001	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	787
76	11:44:30	-0.001	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
77	11:44:31	0.000	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	784
78	11:44:32	-0.000	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	788
79	11:44:33	-0.001	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	788
80	11:44:34	-0.001	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
81	11:44:35	-0.001	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
82	11:44:36	0.001	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
83	11:44:37	-0.001	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	788
84	11:44:38	-0.001	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	788
85	11:44:39	0.000	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	787
86	11:44:40	-0.000	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	784
87	11:44:41	0.001	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	785
88	11:44:42	0.000	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
89	11:44:43	0.000	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
90	11:44:44	-0.003	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	785
91	11:44:45	0.000	-0.002	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	785
92	11:44:46	0.000	-0.002	12.000	18.000	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
93	11:44:47	-0.001	-0.002	12.000	18.050	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	787
94	11:44:48	0.000	-0.002	12.000	18.371	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	788
95	11:44:49	0.001	-0.002	12.000	18.956	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
96	11:44:50	-0.001	-0.002	12.000	19.508	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	787
97	11:44:51	-0.001	-0.002	12.000	19.402	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	787
98	11:44:52	-0.000	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	788
99	11:44:53	0.001	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	787
100	11:44:54	-0.001	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	788
101	11:44:55	-0.001	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
102	11:44:56	-0.000	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
103	11:44:57	-0.001	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	790
104	11:44:58	-0.001	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
105	11:44:59	0.000	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
106	11:45:00	-0.001	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
107	11:45:01	-0.000	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
108	11:45:02	-0.001	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	785
109	11:45:03	-0.003	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
110	11:45:04	-0.001	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
111	11:45:05	0.000	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	784
112	11:45:06	-0.001	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
113	11:45:07	0.001	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	784
114	11:45:08	-0.001	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	789
115	11:45:09	-0.001	-0.003	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	790
116	11:45:10	-0.001	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	787
117	11:45:11	-0.001	-0.003	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	783
118	11:45:12	-0.000	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
119	11:45:13	-0.000	-0.003	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
120	11:45:14	-0.001	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
121	11:45:15	0.001	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	785
122	11:45:16	-0.001	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	787
123	11:45:17	0.000	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	784
124	11:45:18	-0.001	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	787
125	11:45:19	0.000	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	787
126	11:45:20	0.001	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	785
127	11:45:21	0.000	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	785
128	11:45:22	0.000	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	784
129	11:45:23	0.001	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	787
130	11:45:24	-0.001	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	789
131	11:45:25	0.000	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	785
132	11:45:26	-0.001	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
133	11:45:27	0.001	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	787
134	11:45:28	0.001	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	787
135	11:45:29	0.000	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
136	11:45:30	0.001	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
137	11:45:31	0.001	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	785
138	11:45:32	-0.001	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	785
139	11:45:33	-0.001	-0.002	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	785
140	11:45:34	0.000	-0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	788
141	11:45:35	0.001	-0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	787
142	11:45:36	-0.000	-0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	787
143	11:45:37	0.001	-0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
144	11:45:38	-0.001	-0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	787
145	11:45:39	0.000	-0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
146	11:45:40	0.001	-0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
147	11:45:41	-0.000	-0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	787
148	11:45:42	0.000	-0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	787
149	11:45:43	0.001	-0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	787
