	Pixel	Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)	CE(cd/A)
0	A1-1	-0.999959	-2.43838e-06	-0.0152399	1.83766	-5.14107	0.0891412	-0.5849198485554367
1	A1-1	-0.799974	-1.52683e-06	-0.00954269	-6.46361	-2.26972	-0.157062	1.6458881091180788
2	A1-1	-0.599952	-8.7545e-07	-0.00547156	6.99906	16.5367	0.0731337	-1.336615151803142
3	A1-1	-0.39994	-4.35657e-07	-0.00272286	67.2541	-45.9335	0.233125	-8.561769609895476
4	A1-1	-0.199987	-1.65914e-07	-0.00103696	127.524	-11.7839	0.0841794	-8.117902329887363
5	A1-1	9.6035e-05	4.29416e-10	2.68385e-06	32042100.0	34913.1	0.0262881	979.4921474747098
6	A1-1	0.20009	1.63457e-07	0.00102161	-791.307	19.2462	-0.514878	-50.398684429478955
7	A1-1	0.400041	4.41384e-07	0.00275865	-157.396	-40.9645	-0.5529	-20.042412049371972
8	A1-1	0.600036	8.46075e-07	0.00528797	35.2208	0.109215	0.355726	6.727080524284365
9	A1-1	0.800054	1.45194e-06	0.00907463	-16.5384	-4.50781	-0.382202	-4.211764005805195
10	A1-1	1.00006	2.32894e-06	0.0145559	8.11178	5.11065	0.375864	2.582210649976985
11	A1-1	1.20006	3.45855e-06	0.0216159	-3.52222	6.59244	-0.290833	-1.3454586669997548
12	A1-1	1.40006	5.03861e-06	0.0314913	-3.33255	-0.346693	-0.467696	-1.485159393229241
13	A1-1	1.60006	7.39543e-06	0.0462214	1.01509	1.29298	0.238965	0.5170007831870086
14	A1-1	1.80006	1.07679e-05	0.0672994	-0.644368	1.11064	-0.248475	-0.36920834361079
15	A1-1	2.00003	1.57807e-05	0.0986294	-0.291383	-0.225608	-0.18296	-0.18550249722699316
16	A1-1	2.20049	2.27228e-05	0.142017	-0.0445358	-0.232541	-0.0443017	-0.031194645711428916
17	A1-1	2.40052	3.1925e-05	0.199531	0.00785135	-0.201971	0.0119705	0.005999318401651874
18	A1-1	2.60046	4.37489e-05	0.273431	-0.0738455	0.413287	-0.167137	-0.06112584162000652
19	A1-1	2.80036	5.82063e-05	0.363789	0.00550204	0.182389	0.0178417	0.004904408874374981
20	A1-1	3.00033	7.72103e-05	0.482564	0.0401302	-0.241794	0.184946	0.0383256935867574
21	A1-1	3.20038	0.000134175	0.838594	0.0723412	-0.00338352	0.618001	0.07369489884258654
22	A1-1	3.4003	0.000265792	1.6612	0.169495	0.0623566	3.04751	0.18345232362147845
23	A1-1	3.60033	0.000426911	2.66819	0.186739	0.061367	5.71013	0.21400762314527827
24	A1-1	3.80031	0.000572419	3.57762	0.261843	0.0816086	11.3319	0.31674409244134366
25	A1-1	4.00024	0.000858794	5.36746	0.285364	0.119735	19.5032	0.36335995051663167
26	A1-1	4.20028	0.00104316	6.51975	0.370381	0.167828	32.2855	0.4951953679205491
27	A1-1	4.40027	0.00124314	7.76962	0.433078	0.191683	47.1299	0.6065920855846232
28	A1-1	4.60028	0.00141456	8.841	0.533767	0.25281	69.1015	0.7816027598687932
29	A1-1	4.80061	0.00155725	9.73281	0.632578	0.297672	94.0803	0.9666303975932952
30	A1-1	5.00058	0.00176448	11.028	0.714952	0.362539	125.5	1.138012332245194
31	A1-1	5.20056	0.00192684	12.0427	0.797087	0.416506	158.903	1.3194964584354005
32	A1-1	5.40056	0.00211236	13.2023	0.862376	0.474357	195.719	1.4824613893033791
