Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99969E-1	-8.96443E-8	-5.60277E-4	-4.65482E+2	7.87899E+1	-8.30122E-1
-7.99964E-1	-2.66657E-8	-1.66661E-4	-4.55220E+2	-1.06578E+2	-1.93186E-1
-5.99945E-1	5.33224E-9	3.33265E-5	-4.11915E+3	5.09293E+3	-2.62156E-1
-3.99933E-1	1.84657E-8	1.15411E-4	0.00000E+0	0.00000E+0	0.00000E+0
-1.99985E-1	2.77908E-8	1.73692E-4	-3.03512E+3	3.27391E+2	-3.35586E-1
6.91652E-5	2.91665E-8	1.82291E-4	-6.83841E+6	-5.57102E+2	-2.74446E-1
2.00064E-1	3.54838E-8	2.21774E-4	-2.10131E+3	2.06411E+2	-2.96770E-1
4.00003E-1	3.78675E-8	2.36672E-4	-5.77311E+2	-8.16616E+1	-1.73968E-1
5.99993E-1	4.76946E-8	2.98091E-4	-1.55255E+3	-4.58774E+2	-8.83874E-1
8.00002E-1	6.77144E-8	4.23215E-4	-1.61350E+1	-2.31224E+2	-1.73889E-2
1.00001E+0	9.70668E-8	6.06668E-4	-5.30186E+1	2.09093E+2	-1.02384E-1
1.20000E+0	1.42378E-7	8.89863E-4	-1.96096E+2	-7.61482E+1	-6.66535E-1
1.40000E+0	2.22894E-7	1.39309E-3	-1.31830E+2	6.06650E+0	-8.18408E-1
1.60000E+0	3.18039E-7	1.98774E-3	-5.42684E+1	-5.23626E+1	-5.49386E-1
1.79997E+0	5.09626E-7	3.18516E-3	-7.28559E+0	-3.42483E+0	-1.32957E-1
1.99997E+0	6.69970E-7	4.18731E-3	-3.48796E+1	-4.04917E+1	-9.29780E-1
2.20001E+0	1.09708E-6	6.85675E-3	-3.66875E+0	-1.69658E+1	-1.76162E-1
2.39996E+0	1.62940E-6	1.01838E-2	-9.32200E+0	8.20014E-1	-7.25222E-1
2.59994E+0	2.95044E-6	1.84402E-2	-2.70395E+0	-2.50247E+0	-4.12648E-1
2.79993E+0	5.27443E-6	3.29652E-2	2.69545E+0	1.04283E+0	7.91924E-1
2.99983E+0	9.03470E-6	5.64669E-2	1.32321E+0	3.76672E+0	7.13459E-1
3.19972E+0	1.58686E-5	9.91787E-2	1.83078E+0	-2.62821E-1	1.84934E+0
3.39985E+0	2.67116E-5	1.66947E-1	1.40071E+0	6.23759E-1	2.53069E+0
3.59983E+0	4.59015E-5	2.86884E-1	1.33971E+0	4.83055E-1	4.40403E+0
3.79977E+0	7.77767E-5	4.86104E-1	1.12768E+0	5.81448E-1	6.63013E+0
3.99976E+0	1.13364E-4	7.08525E-1	1.09902E+0	3.80639E-1	9.91395E+0
4.19973E+0	1.59426E-4	9.96413E-1	9.98622E-1	3.76292E-1	1.33018E+1
4.39976E+0	2.05023E-4	1.28139E+0	1.07703E+0	4.43807E-1	1.93280E+1
