Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99964E-1	-1.53717E-7	-9.60731E-4	1.59923E+2	1.47837E+2	4.89042E-1
-7.99981E-1	-8.87077E-8	-5.54423E-4	-1.44938E+2	2.51993E+1	-2.04623E-1
-5.99942E-1	-2.57513E-8	-1.60946E-4	-3.87462E+2	7.74223E+1	-1.19088E-1
-3.99926E-1	6.59561E-9	4.12226E-5	4.15358E+3	-8.33636E+2	2.17965E-1
-1.99959E-1	2.98517E-8	1.86573E-4	-3.46821E+3	-1.81655E+2	-4.11856E-1
1.12605E-4	3.71252E-8	2.32032E-4	2.75247E+6	-2.79919E+2	2.28918E-1
2.00102E-1	3.72815E-8	2.33009E-4	3.69757E+3	-5.55879E+2	5.48771E-1
4.00063E-1	4.74288E-8	2.96430E-4	-1.08962E+3	-5.39844E+2	-4.11318E-1
6.00048E-1	5.21690E-8	3.26056E-4	-2.99103E+2	-4.83409E+2	-1.86273E-1
8.00055E-1	6.58451E-8	4.11532E-4	1.24626E+2	-5.49941E+2	1.30612E-1
1.00006E+0	9.36365E-8	5.85228E-4	7.00428E+1	-2.02892E+2	1.30486E-1
1.20005E+0	1.55435E-7	9.71469E-4	-1.31945E+2	-2.57696E+2	-4.89633E-1
1.40004E+0	3.35828E-7	2.09892E-3	-3.10789E+1	-9.25437E+1	-2.90706E-1
1.60004E+0	4.07549E-7	2.54718E-3	-7.02839E+1	-1.17776E+2	-9.11794E-1
1.80003E+0	5.02383E-7	3.13989E-3	-5.16593E+0	-1.98376E+1	-9.29381E-2
2.00002E+0	6.84268E-7	4.27668E-3	-1.31113E+0	-2.12567E+1	-3.56974E-2
2.20035E+0	6.03261E-7	3.77038E-3	-8.23995E+0	-5.27659E+1	-2.17597E-1
2.40036E+0	8.40066E-7	5.25041E-3	-8.21126E-1	-2.13996E+1	-3.29405E-2
2.60033E+0	2.83867E-6	1.77417E-2	-3.22951E+0	-8.73233E+0	-4.74252E-1
2.80023E+0	1.16508E-5	7.28175E-2	3.55206E-1	-2.35189E+0	2.30547E-1
3.00029E+0	3.35679E-5	2.09799E-1	6.45542E-1	-2.50820E-1	1.29343E+0
3.20027E+0	7.83101E-5	4.89438E-1	7.17832E-1	1.34382E-1	3.57897E+0
3.40024E+0	1.54401E-4	9.65006E-1	6.83981E-1	1.80593E-1	7.14387E+0
3.60025E+0	2.70008E-4	1.68755E+0	6.10879E-1	2.70628E-1	1.18139E+1
3.80028E+0	4.35684E-4	2.72302E+0	5.82448E-1	1.90640E-1	1.91856E+1
4.00017E+0	6.50088E-4	4.06305E+0	5.40407E-1	2.22892E-1	2.79577E+1
4.20016E+0	9.14291E-4	5.71432E+0	5.03170E-1	2.33906E-1	3.84411E+1
4.40009E+0	1.22530E-3	7.65812E+0	4.68174E-1	2.14258E-1	5.02159E+1
4.60017E+0	1.57575E-3	9.84844E+0	4.32952E-1	2.09498E-1	6.24355E+1
4.80072E+0	1.96209E-3	1.22631E+1	4.09295E-1	2.08974E-1	7.66994E+1
5.00048E+0	2.38019E-3	1.48762E+1	3.80220E-1	2.11458E-1	9.00303E+1
5.20051E+0	2.83163E-3	1.76977E+1	3.59291E-1	1.99591E-1	1.05259E+2
5.40052E+0	3.31933E-3	2.07458E+1	3.37027E-1	2.02315E-1	1.20194E+2
5.60048E+0	3.84791E-3	2.40494E+1	3.21448E-1	1.95415E-1	1.37813E+2
5.80052E+0	4.40591E-3	2.75369E+1	3.02614E-1	1.98493E-1	1.53859E+2
6.00050E+0	5.00998E-3	3.13124E+1	2.88239E-1	1.94406E-1	1.72388E+2
6.20053E+0	5.66864E-3	3.54290E+1	2.72441E-1	1.88533E-1	1.90506E+2
6.40050E+0	6.37609E-3	3.98506E+1	2.60439E-1	1.84810E-1	2.11448E+2
6.60040E+0	7.13385E-3	4.45866E+1	2.46360E-1	1.82626E-1	2.30778E+2
6.80043E+0	7.94406E-3	4.96504E+1	2.35936E-1	1.77605E-1	2.53573E+2
7.00043E+0	8.81061E-3	5.50663E+1	2.24008E-1	1.72658E-1	2.74869E+2
7.20043E+0	9.72976E-3	6.08110E+1	2.14134E-1	1.71425E-1	2.98454E+2
7.40046E+0	1.07198E-2	6.69988E+1	2.04645E-1	1.66517E-1	3.22981E+2
7.60042E+0	1.17527E-2	7.34544E+1	1.94955E-1	1.63941E-1	3.46450E+2
7.80042E+0	1.28459E-2	8.02869E+1	1.87239E-1	1.62942E-1	3.73258E+2
8.00038E+0	1.40039E-2	8.75244E+1	1.78957E-1	1.59747E-1	3.98877E+2
8.20032E+0	1.52180E-2	9.51125E+1	1.72254E-1	1.58311E-1	4.27649E+2
8.40034E+0	1.65008E-2	1.03130E+2	1.64553E-1	1.53809E-1	4.53773E+2
8.60031E+0	1.78434E-2	1.11521E+2	1.58625E-1	1.52108E-1	4.84276E+2
8.80031E+0	1.92511E-2	1.20319E+2	1.51893E-1	1.48714E-1	5.11941E+2
8.88065E+0	2.00014E-2	1.25009E+2	1.48468E-1	1.47921E-1	5.24648E+2
