	Timestamp	Filtered Rate: Al	Source Power: Al	Thickness: Al	State: Al	Fundamental  Frequency: Al	Current Z-Ratio: Al
0	16:00:20	0.004	0.000	0.000	Ready	5940331.119	1.441
1	16:00:21	0.004	0.067	0.000	PreCon Rise	5940331.109	1.441
2	16:00:22	0.004	0.200	0.000	PreCon Rise	5940331.098	1.441
3	16:00:23	0.004	0.333	0.000	PreCon Rise	5940331.091	1.441
4	16:00:24	0.004	0.467	0.000	PreCon Rise	5940331.084	1.441
5	16:00:25	0.003	0.600	0.000	PreCon Rise	5940331.081	1.441
6	16:00:26	0.003	0.733	0.000	PreCon Rise	5940331.074	1.441
7	16:00:27	0.002	0.867	0.000	PreCon Rise	5940331.070	1.441
8	16:00:28	0.003	1.000	0.000	PreCon Rise	5940331.060	1.441
9	16:00:29	0.003	1.133	0.000	PreCon Rise	5940331.053	1.441
10	16:00:30	0.002	1.267	0.000	PreCon Rise	5940331.053	1.441
11	16:00:31	0.003	1.400	0.000	PreCon Rise	5940331.046	1.441
12	16:00:32	0.002	1.533	0.000	PreCon Rise	5940331.043	1.441
13	16:00:33	0.002	1.667	0.000	PreCon Rise	5940331.039	1.441
14	16:00:34	0.002	1.800	0.000	PreCon Rise	5940331.032	1.441
15	16:00:35	0.002	1.933	0.000	PreCon Rise	5940331.025	1.441
16	16:00:36	0.002	2.067	0.000	PreCon Rise	5940331.025	1.441
17	16:00:37	0.002	2.200	0.000	PreCon Rise	5940331.022	1.441
18	16:00:38	0.002	2.333	0.000	PreCon Rise	5940331.018	1.441
19	16:00:39	0.001	2.467	0.000	PreCon Rise	5940331.015	1.441
20	16:00:40	0.002	2.600	0.000	PreCon Rise	5940331.011	1.441
21	16:00:41	0.002	2.733	0.000	PreCon Rise	5940331.008	1.441
22	16:00:42	0.002	2.867	0.000	PreCon Rise	5940331.004	1.441
23	16:00:43	0.002	3.000	0.000	PreCon Rise	5940331.001	1.441
24	16:00:44	0.001	3.133	0.000	PreCon Rise	5940331.004	1.441
25	16:00:45	0.001	3.267	0.000	PreCon Rise	5940331.001	1.441
26	16:00:46	0.000	3.400	0.000	PreCon Rise	5940331.001	1.441
27	16:00:47	0.000	3.533	0.000	PreCon Rise	5940330.997	1.441
28	16:00:48	0.001	3.667	0.000	PreCon Rise	5940330.997	1.441
29	16:00:49	0.000	3.800	0.000	PreCon Rise	5940330.997	1.441
30	16:00:50	0.000	3.933	0.000	PreCon Rise	5940330.997	1.441
31	16:00:51	0.000	4.067	0.000	PreCon Rise	5940330.994	1.441
32	16:00:52	0.000	4.200	0.000	PreCon Rise	5940330.994	1.441
33	16:00:53	0.000	4.333	0.000	PreCon Rise	5940330.997	1.441
34	16:00:54	0.000	4.467	0.000	PreCon Rise	5940330.997	1.441
35	16:00:55	0.000	4.600	0.000	PreCon Rise	5940330.994	1.441
36	16:00:56	0.000	4.733	0.000	PreCon Rise	5940330.994	1.441
37	16:00:57	0.000	4.867	0.000	PreCon Rise	5940330.994	1.441
38	16:00:58	0.001	5.000	0.000	PreCon Rise	5940330.990	1.441
39	16:00:59	0.000	5.133	0.000	PreCon Rise	5940330.994	1.441
40	16:01:00	-0.000	5.267	0.000	PreCon Rise	5940330.997	1.441
41	16:01:01	0.000	5.400	0.000	PreCon Rise	5940330.990	1.441
42	16:01:02	0.000	5.533	0.000	PreCon Rise	5940330.990	1.441
43	16:01:03	0.000	5.667	0.000	PreCon Rise	5940330.990	1.441
44	16:01:04	0.000	5.800	0.000	PreCon Rise	5940330.994	1.441
45	16:01:05	0.000	5.933	0.000	PreCon Rise	5940330.990	1.441
46	16:01:06	0.000	6.067	0.000	PreCon Rise	5940330.990	1.441
47	16:01:07	0.000	6.200	0.000	PreCon Rise	5940330.990	1.441
48	16:01:08	0.000	6.333	0.000	PreCon Rise	5940330.990	1.441
49	16:01:09	0.000	6.467	0.000	PreCon Rise	5940330.990	1.441
50	16:01:10	0.000	6.600	0.000	PreCon Rise	5940330.990	1.441
51	16:01:11	0.000	6.733	0.000	PreCon Rise	5940330.990	1.441
52	16:01:12	0.000	6.867	0.000	PreCon Rise	5940330.990	1.441
53	16:01:13	-0.000	7.000	0.000	PreCon Rise	5940330.994	1.441
54	16:01:14	-0.000	7.133	0.000	PreCon Rise	5940330.994	1.441
