	Pixel	Max Current (A)	Max Luminance (cd/m2)	Status	Turnon Voltage (V)	EQE(%)_max	EQE(%)_avg	CE(cd/A)_max	CE(cd/A)_avg	PE(lm/W)_max	PE(lm/W)_avg	V (V) @ 100 cd/m2	EQE(%) @ 100 cd/m2	CE(cd/A) @ 100 cd/m2	PE(lm/W) @ 100 cd/m2	λmax (nm) @ 100 cd/m2	FWHM (nm) @ 100 cd/m2	CIE-x @ 100 cd/m2	CIE-y @ 100 cd/m2	Hex Color @ 100 cd/m2	V (V) @ 250 cd/m2	EQE(%) @ 250 cd/m2	CE(cd/A) @ 250 cd/m2	PE(lm/W) @ 250 cd/m2	λmax (nm) @ 250 cd/m2	FWHM (nm) @ 250 cd/m2	CIE-x @ 250 cd/m2	CIE-y @ 250 cd/m2	Hex Color @ 250 cd/m2
0	A1-1	0.0200006	694.99	Working	3.4	0.323971	0.29033725892857143	0.7412905861940321	0.6454198585304575	0.644332	0.36692342857142857	5.19998	0.301999	0.6819218198112711	0.411987	583.0	30.5	0.5265830198887632	0.39984944659637217	#ff9500	6.39992	0.319105	0.6338446926160664	0.311142	583.0	30.5	0.49604865388168873	0.37687484064415866	#ff8608
1	A2-1	0.0200009	715.14	Working	3.4	0.463843	0.32094078125000003	0.7951879652377576	0.6735526472248958	0.69397	0.36627559375	5.39999	0.320694	0.7149962260081949	0.41597	583.5	30.5	0.5266506510330234	0.40024403118792257	#ff9600	6.80004	0.331642	0.6620826102758625	0.30588	583.0	31.0	0.49533770236380975	0.37763167624795807	#ff8708
2	A3-1	0.0200005	745.12	Working	3.4	0.417406	0.3490013	0.8519680774806059	0.7115863963663415	0.707699	0.3973337	5.39999	0.340492	0.7509337302944352	0.436875	583.0	29.5	0.5208328953230452	0.3996384402140397	#ff9800	6.60002	0.348235	0.695630351264547	0.331119	583.0	30.5	0.4970415855399743	0.3804302541599876	#ff8906
3	A5-1	0.020001	753.2	Working	3.4	0.34942	0.322761364516129	0.7679186105873967	0.6912315889372924	0.645913	0.3743889677419355	5.6002	0.327832	0.7443202601097338	0.417547	582.5	31.0	0.5231966392367577	0.40395767592878157	#ff9d00	6.80011	0.338742	0.6981094488820765	0.32252	583.0	30.5	0.4964156792615693	0.38337335470977124	#ff8e05
4	B1-1	0.0200005	698.82	Working	3.2	0.315058	0.2642726392857143	0.9259945237551165	0.6904016543317603	0.909125	0.4167523928571429	5.40003	0.308131	0.7003864623965477	0.407467	583.0	31.0	0.5266504537106913	0.40138546547433757	#ff9700	6.60004	0.309133	0.6401720139157325	0.304719	583.0	31.0	0.5022347503111712	0.38217607439711043	#ff8801
5	B2-1	0.0200006	10.28	Short Circuit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6	B3-1	0.0200006	707.2	Working	3.6	0.308733	0.24065943703703704	0.6442262842458218	0.5354821351979363	0.363756	0.2716417962962962	5.60002	0.268257	0.6310715765827993	0.354028	583.0	30.5	0.5313486485920034	0.4065014523941209	#ff9c00	6.80002	0.293762	0.6242395479336851	0.288397	583.0	31.0	0.5068901709521832	0.38737815394107555	#ff8d00
7	B4-1	0.0200009	828.83	Working	3.4	0.365623	0.3295866620689656	0.9164155088264042	0.7998803255809265	0.796622	0.4501804137931034	5.40003	0.351662	0.8470673994414094	0.492802	583.0	30.5	0.536548981013777	0.41053129048842096	#ff9f00	6.6	0.358413	0.7809506933327729	0.371731	583.0	30.5	0.5095997927430934	0.39249429393406426	#ff9300
8	B5-1	0.019915	746.44	Working	3.4	0.316447	0.2923830333333334	0.7294626106495802	0.6527608307200979	0.5275	0.35096740000000004	5.60009	0.310062	0.7181498796260007	0.402874	583.0	30.0	0.5306243604995796	0.40687719922745696	#ff9d00	7.00002	0.312724	0.6703219606670932	0.300838	583.0	30.5	0.5060064506207524	0.39016538631257897	#ff9100
9	C1-1	0.0200006	607.6	Working	3.4	0.250246	0.22055942499999998	0.5883924197095889	0.5360505419288119	0.456605	0.28495321875	5.80003	0.231901	0.5605279996469706	0.303612	583.0	30.5	0.5385981179076519	0.4083279503114999	#ff9b00	7.39988	0.249028	0.5415577988713727	0.229916	583.5	31.0	0.5150251907021074	0.3924774205171385	#ff9000
10	C2-1	0.0196784	669.37	Working	3.4	0.390936	0.27369595625	0.8683965923843324	0.6293010154451069	0.682084	0.33236565625000003	5.79991	0.290923	0.6885430363930157	0.372958	583.5	31.0	0.5412354913081412	0.41255135276055943	#ff9f00	7.19977	0.283844	0.6267023219733676	0.273459	583.5	31.0	0.5195187990069685	0.3982569715307183	#ff9600
11	C2-2	0.0200005	639.55	Working	3.6	0.492709	0.27628221875000003	0.8478748777363055	0.6275969919980413	0.71453	0.33470015624999994	6.0	0.263145	0.6303716084396639	0.330061	583.0	30.5	0.5383601876269121	0.41000109049991745	#ff9d00	7.4	0.26259	0.583244045166076	0.247611	583.0	31.0	0.5173463927458416	0.395170275717312	#ff9300
12	C3-1	0.0196251	9.05	Short Circuit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
13	C4-1	0.0200005	752.63	Working	3.6	0.323371	0.27378357058823527	0.8109243778244665	0.6303491261651787	0.50952	0.30342358823529414	6.00002	0.313987	0.7514223555168178	0.393443	583.5	30.0	0.5456565980109905	0.41733836720258766	#ffa300	7.40001	0.298586	0.6742608640074992	0.286251	583.0	30.5	0.5234698925975685	0.40243335186549867	#ff9a00
14	C5-1	0.0199958	652.8	Working	3.8	0.260327	0.2263991332432433	0.5729888888492811	0.5010438440342302	0.319433	0.21839329243243238	6.59993	0.240498	0.5716003326066926	0.272084	583.5	30.5	0.5367160577208898	0.41251113505358955	#ffa100	8.39992	0.252422	0.5651816472673012	0.21138	583.0	31.0	0.5161464132327692	0.39611816771070174	#ff9500
15	D1-1	0.0200008	612.48	Working	3.6	0.269691	0.23239200606060606	0.8142427276655309	0.6139283469807777	0.710599	0.32407460606060606	6.59995	0.252364	0.6142837909098049	0.2924	583.5	31.0	0.541045917810128	0.4069468486461787	#ff9800	7.99991	0.247669	0.5535882195633233	0.217396	583.5	31.5	0.5219880670261678	0.3966225338285222	#ff9300
16	D2-1	0.0200006	670.42	Working	3.4	0.283501	0.24285872647058818	1.0085162073734273	0.7013610624955692	0.893008	0.382541	6.20002	0.283498	0.7125073768073179	0.361032	583.5	30.5	0.5470681746413327	0.41606409217625473	#ffa000	7.79995	0.273775	0.6311453548673878	0.254207	583.5	31.0	0.5285347359869866	0.40327491283364325	#ff9900
17	D3-1	0.0200002	735.65	Working	3.4	0.505478	0.28808686486486484	1.0124128379023785	0.7516740598780342	0.805367	0.3925257027027027	6.19998	0.310827	0.7641387724194024	0.387199	583.5	30.5	0.5449752671484797	0.41742645211095075	#ffa300	7.79987	0.290975	0.6795778001694414	0.273717	583.5	31.5	0.5303122256215168	0.4059213191555891	#ff9c00
18	D4-1	0.0200008	769.35	Working	3.4	0.369594	0.27685390285714284	0.9509699896849616	0.7465264532210066	0.786223	0.39337765714285716	6.00002	0.297833	0.7729470438192408	0.404713	583.0	29.5	0.5485699826141369	0.42059787304921314	#ffa500	7.59992	0.303128	0.7120337152440446	0.294335	583.5	31.5	0.5321999211134297	0.4088655872949494	#ff9f00
19	D5-1	0.0200003	752.46	Working	3.4	0.677302	0.3312808529411765	1.4915103662895832	0.8889886378733938	1.37823	0.4898875294117648	5.99995	0.33386	0.8774377840294308	0.45943	583.0	30.5	0.5514213853219284	0.41970413889568825	#ffa300	7.59979	0.323444	0.7902014050447359	0.326653	583.0	31.0	0.5331930968064598	0.4085401447230334	#ff9e00
20	D5-2	0.0200007	765.54	Working	3.6	0.323591	0.2808595111111112	0.8937238398023833	0.7124725142728031	0.610423	0.3470128333333333	6.39997	0.319369	0.7732479032432238	0.379568	584.0	31.0	0.5460081156286634	0.4153279393687968	#ffa000	7.79987	0.31015	0.7223857746774756	0.290959	583.5	31.0	0.5302303418500885	0.4060644925177854	#ff9c00
