	Pixel	HATCN	TAPC	CBP	Cl-BsubPc	B3PYMPM	LiQ	Al
0	A1	113.13675224416517	263.33027383035716	186.8822889007732	1.7426891841970311	445.0640606837607	11.214712665847665	992.6383046032258
1	A2	110.73459784560143	272.4711666875	191.01579405541236	1.7258114514035088	462.423035042735	11.112255663390663	980.8281755709677
2	A3	108.33244344703769	281.6120595446428	195.14929921005154	1.7089337186099864	479.7820094017094	11.00979866093366	969.0180465387095
3	A4	105.93028904847397	290.7529524017857	199.2828043646907	1.6920559858164643	497.1409837606837	10.907341658476659	957.2079175064516
4	A5	103.52813464991023	299.89384525892854	203.41630951932987	1.675178253022942	514.4999581196581	10.804884656019656	945.3977884741935
5	B1	107.98953500897666	275.1729881160714	189.0457450863402	1.8821857294062079	457.6290179487179	10.597218808353807	856.0124723451612
6	B2	105.58738061041292	284.3138809732143	193.17925024097937	1.8653079966126855	474.9879923076923	10.494761805896804	844.2023433129032
7	B3	103.1852262118492	293.45477383035717	197.31275539561852	1.8484302638191634	492.3469666666667	10.392304803439801	832.3922142806451
8	B4	100.78307181328546	302.59566668749994	201.4462605502577	1.831552531025641	509.705941025641	10.2898478009828	820.582085248387
9	B5	98.38091741472172	311.73655954464283	205.57976570489691	1.8146747982321187	527.0649153846153	10.187390798525797	808.7719562161291
10	C1	101.57660861759425	289.9278452589285	191.7411986945876	2.055984703765182	473.28371880341876	9.827882199017198	685.7901239580646
11	C2	99.17445421903052	299.0687381160714	195.8747038492268	2.03910697097166	490.6426931623932	9.725425196560197	673.9799949258064
12	C3	96.77229982046678	308.20963097321425	200.00820900386597	2.0222292381781375	508.0016675213675	9.622968194103194	662.1698658935484
13	C4	94.37014542190305	317.35052383035713	204.14171415850512	2.005351505384615	525.3606418803419	9.520511191646191	650.3597368612905
14	C5	91.96799102333932	326.4914166875	208.2752193131443	1.988473772591093	542.7196162393162	9.418054189189188	638.5496078290323
15	D1	96.42939138240575	301.7705595446428	193.90465488015462	2.195481248974359	485.84867606837605	9.210388341523341	549.1642917
16	D2	94.02723698384202	310.9114524017857	198.0381600347938	2.1786035161808366	503.20765042735036	9.107931339066338	537.354162667742
17	D3	91.62508258527828	320.05234525892854	202.17166518943296	2.1617257833873142	520.5666247863247	9.005474336609335	525.5440336354839
18	D4	89.22292818671454	329.1932381160714	206.30517034407214	2.1448480505937924	537.9255991452991	8.903017334152333	513.7339046032258
19	D5	86.82077378815082	338.33413097321426	210.43867549871135	2.12797031780027	555.2845735042735	8.80056033169533	501.92377557096773
