	Pixel	Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)	CE(cd/A)
0	A1-1	-0.999958	-1.04194e-06	-0.00651212	15.2694	-1.93489	0.316503	-4.860214492361934
1	A1-1	-0.799975	-5.54896e-07	-0.0034681	34.1227	-19.9047	0.301344	-8.689022807877512
2	A1-1	-0.599954	-2.75967e-07	-0.00172479	8.01555	-10.1892	0.0264021	-1.5307428730454142
3	A1-1	-0.399949	-1.33026e-07	-0.000831412	-143.261	-104.844	-0.151634	18.23812983214098
4	A1-1	-0.199997	-4.96012e-08	-0.000310008	-1484.69	118.31	-0.29301	94.51691569249826
5	A1-1	7.21455e-05	2.78323e-08	0.000173952	-3592320.0	-720.024	-0.143504	-82.49632082413538
6	A1-1	0.200061	7.62417e-08	0.000476511	-643.663	-21.7637	-0.195319	-40.98940003483655
7	A1-1	0.399983	1.16744e-07	0.00072965	-90.1393	-8.10093	-0.0837376	-11.476406496265332
8	A1-1	0.59998	2.30332e-07	0.00143958	30.2783	-52.9271	0.0832438	5.7825060086969815
9	A1-1	0.799996	4.04675e-07	0.00252922	-77.787	13.8586	-0.500993	-19.80820173808526
10	A1-1	0.999995	6.59836e-07	0.00412397	10.5933	15.6156	0.139058	3.3719449947502036
11	A1-1	1.2	1.03274e-06	0.00645462	8.46948	-10.114	0.208814	3.2351091156411997
12	A1-1	1.4	1.55824e-06	0.009739	-16.3598	-5.83741	-0.71002	-7.290481568949585
13	A1-1	1.6	2.29264e-06	0.014329	-5.85359	-9.71805	-0.427178	-2.9812129248377417
14	A1-1	1.79998	3.26789e-06	0.0204243	-3.40583	4.17282	-0.398555	-1.951376546564631
15	A1-1	1.99997	4.5363e-06	0.0283519	-3.54828	-1.93841	-0.640433	-2.258871539473545
16	A1-1	2.19998	6.25197e-06	0.0390748	-1.30119	-4.42605	-0.356045	-0.9111882850328088
17	A1-1	2.39992	8.53764e-06	0.0533603	-2.47574	-0.472122	-1.00918	-1.8912562335669025
18	A1-1	2.59993	1.18477e-05	0.0740481	-0.933627	-0.573616	-0.572136	-0.7726545313114043
19	A1-1	2.79994	1.74782e-05	0.109239	-0.187102	0.03589	-0.182161	-0.16675454736861378
20	A1-1	2.99987	2.85022e-05	0.178139	0.171987	0.682225	0.292555	0.16422849572524828
21	A1-1	3.19995	4.89356e-05	0.305847	0.337545	-0.284331	1.05155	0.34381569869902273
22	A1-1	3.39983	8.44285e-05	0.527678	0.392664	0.258274	2.24232	0.4249409677871732
23	A1-1	3.59987	0.000141263	0.882894	0.343943	0.222284	3.47962	0.39411526185476403
24	A1-1	3.79985	0.000228528	1.4283	0.336821	0.189083	5.81883	0.4073955051459778
25	A1-1	3.9998	0.000347319	2.17074	0.324904	0.152786	8.97951	0.41366123994582493
26	A1-1	4.19976	0.000510713	3.19196	0.313953	0.157792	13.3966	0.4196982418326044
27	A1-1	4.3997	0.000715507	4.47192	0.292428	0.181578	18.3141	0.4095355015295444
28	A1-1	4.59968	0.00095638	5.97737	0.272767	0.150042	23.8715	0.3993646034961865
29	A1-1	4.8	0.00123038	7.68987	0.257966	0.158583	30.309	0.3941419035692411
30	A1-1	5.00006	0.00153771	9.61069	0.240226	0.159666	36.7452	0.3823367520958433
31	A1-1	5.20002	0.00187873	11.7421	0.227632	0.160434	44.2419	0.3767801330256087
32	A1-1	5.40013	0.00226599	14.1624	0.218847	0.142752	53.2762	0.3761805908603062
33	A1-1	5.60002	0.00269913	16.8696	0.205442	0.149715	61.7777	0.36620726039740126
34	A1-1	5.80002	0.00317674	19.8546	0.195455	0.156331	71.6455	0.3608508859407895
35	A1-1	5.99996	0.00370561	23.1601	0.189285	0.15848	83.7247	0.3615040522277538
36	A1-1	6.19998	0.00428871	26.8044	0.179146	0.15475	94.7663	0.3535475518944651
37	A1-1	6.39996	0.00492519	30.7824	0.173186	0.153551	108.603	0.35280874785591765
38	A1-1	6.59991	0.00561433	35.0896	0.164502	0.153626	121.266	0.3455895763987051
39	A1-1	6.79995	0.00636184	39.7615	0.159068	0.153415	136.9	0.34430290607748704
40	A1-1	6.9999	0.0071613	44.7581	0.152219	0.152381	151.804	0.3391654248057894
41	A1-1	7.19987	0.00800988	50.0618	0.147711	0.150993	169.47	0.33852158731807486
42	A1-1	7.39992	0.00891924	55.7452	0.141476	0.151387	185.767	0.3332430415533535
43	A1-1	7.59989	0.00988622	61.7889	0.137621	0.15216	205.708	0.332920637849193
44	A1-1	7.79987	0.0109152	68.22	0.132013	0.151185	223.597	0.3277587217824685
