	Timestamp	Filtered Rate: CBP	Filtered Rate: TxOPhCz	Filtered Rate: BuO-BsubPc	Source Power: CBP	Source Power: TxOPhCz	Source Power: BuO-BsubPc	Thickness: CBP	Thickness: TxOPhCz	Thickness: BuO-BsubPc	State: CBP	State: TxOPhCz	State: BuO-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: TxOPhCz	Fundamental  Frequency: BuO-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: TxOPhCz	Current Z-Ratio: BuO-BsubPc
26	12:16:28	0.003	-0.000	-0.000	9.440	2.145	13.920	0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	787
27	12:16:29	-0.001	-0.000	-0.000	9.840	2.237	14.520	0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	785
28	12:16:30	0.001	0.000	-0.000	10.240	2.328	15.120	0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	786
29	12:16:31	0.000	-0.000	-0.000	10.640	2.420	15.720	0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	787
30	12:16:32	0.000	-0.000	-0.000	11.040	2.512	16.320	0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	784
31	12:16:33	0.000	0.000	-0.000	11.440	2.603	16.920	0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	786
32	12:16:34	-0.001	-0.000	-0.000	11.840	2.695	17.520	0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	789
33	12:16:35	0.003	0.000	-0.000	12.000	2.787	18.000	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
34	12:16:36	-0.001	-0.000	-0.000	12.000	2.878	18.000	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	785
35	12:16:37	-0.001	-0.000	-0.000	12.000	2.970	18.000	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
