Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99970E-1	-1.91385E-6	-1.19616E-2	2.50143E+1	7.27736E+0	9.52385E-1
-7.99988E-1	-1.22307E-6	-7.64419E-3	2.65206E+0	9.49205E-2	5.16235E-2
-5.99967E-1	-6.87589E-7	-4.29743E-3	1.87363E+1	1.86452E+1	1.53770E-1
-3.99955E-1	-3.65100E-7	-2.28188E-3	3.10665E+1	6.96884E+0	9.02496E-2
-2.00011E-1	-1.46173E-7	-9.13581E-4	1.00752E+3	-3.81559E+1	5.86009E-1
3.70026E-5	1.52588E-10	9.53675E-7	1.95979E+9	3.31096E+4	2.20136E-1
2.00034E-1	1.40661E-7	8.79131E-4	2.30940E+2	1.18983E+2	1.29272E-1
3.99968E-1	3.33760E-7	2.08600E-3	-6.91461E+1	3.47385E+1	-1.83636E-1
5.99965E-1	6.10859E-7	3.81787E-3	8.00274E+1	-1.50386E+1	5.83493E-1
7.99978E-1	1.01229E-6	6.32681E-3	1.83711E+1	2.47626E+1	2.95970E-1
9.99978E-1	1.67972E-6	1.04983E-2	1.35912E+0	5.60888E+0	4.54168E-2
1.19998E+0	2.45155E-6	1.53222E-2	8.76039E+0	6.17514E+0	5.12706E-1
1.39999E+0	3.37957E-6	2.11223E-2	3.99617E+0	9.42555E-1	3.76150E-1
1.59999E+0	4.55475E-6	2.84672E-2	-1.17433E+0	9.43036E-1	-1.70255E-1
1.79997E+0	6.04139E-6	3.77587E-2	2.55698E+0	8.04233E-1	5.53172E-1
1.99996E+0	8.19454E-6	5.12159E-2	-3.75568E-1	8.27821E-2	-1.22452E-1
2.19991E+0	1.07032E-5	6.68950E-2	1.19449E+0	-2.53638E-2	5.59539E-1
2.39993E+0	1.38463E-5	8.65394E-2	4.81331E-1	1.15323E+0	3.18205E-1
2.59990E+0	1.88356E-5	1.17723E-1	-1.41724E-1	1.06950E-1	-1.38073E-1
2.79984E+0	2.60156E-5	1.62598E-1	3.02475E-1	5.02659E-1	4.38316E-1
2.99977E+0	3.59826E-5	2.24891E-1	4.92284E-4	3.19780E-1	1.05713E-3
3.19983E+0	5.05752E-5	3.16095E-1	9.20655E-2	2.84731E-1	2.96409E-1
3.39977E+0	7.35042E-5	4.59401E-1	2.39512E-1	3.87429E-1	1.19075E+0
3.59981E+0	1.09766E-4	6.86037E-1	3.11554E-1	2.56637E-1	2.44913E+0
3.79980E+0	1.62067E-4	1.01292E+0	2.66541E-1	2.82494E-1	3.26550E+0
3.99976E+0	2.38869E-4	1.49293E+0	2.74724E-1	1.99290E-1	5.22180E+0
4.19977E+0	3.49188E-4	2.18242E+0	2.68174E-1	1.67729E-1	7.82406E+0
4.39971E+0	4.96398E-4	3.10249E+0	2.86973E-1	1.71820E-1	1.24688E+1
4.59966E+0	6.89259E-4	4.30787E+0	2.58515E-1	1.42964E-1	1.63051E+1
4.80000E+0	9.37273E-4	5.85796E+0	2.56695E-1	1.63040E-1	2.29749E+1
4.99995E+0	1.24092E-3	7.75575E+0	2.50177E-1	1.53554E-1	3.08807E+1
5.20003E+0	1.61268E-3	1.00793E+1	2.38241E-1	1.55256E-1	3.97467E+1
5.39998E+0	2.04424E-3	1.27765E+1	2.30804E-1	1.56471E-1	5.06872E+1
5.59994E+0	2.54852E-3	1.59282E+1	2.17240E-1	1.51515E-1	6.16796E+1
5.80004E+0	3.08384E-3	1.92740E+1	2.13422E-1	1.55438E-1	7.59436E+1
6.00001E+0	3.69818E-3	2.31136E+1	2.01592E-1	1.54154E-1	8.89906E+1
6.20006E+0	4.34488E-3	2.71555E+1	1.91803E-1	1.50411E-1	1.02792E+2
6.40005E+0	5.05899E-3	3.16187E+1	1.84338E-1	1.51793E-1	1.18739E+2
6.60002E+0	5.82313E-3	3.63946E+1	1.77199E-1	1.48096E-1	1.35486E+2
6.79999E+0	6.65559E-3	4.15974E+1	1.69616E-1	1.47503E-1	1.52719E+2
6.99996E+0	7.55242E-3	4.72026E+1	1.62198E-1	1.47579E-1	1.70591E+2
7.19991E+0	8.51990E-3	5.32494E+1	1.56496E-1	1.48689E-1	1.90984E+2
7.39993E+0	9.56320E-3	5.97700E+1	1.49542E-1	1.47689E-1	2.10535E+2
7.59995E+0	1.06990E-2	6.68688E+1	1.44463E-1	1.47089E-1	2.33690E+2
7.79992E+0	1.19036E-2	7.43975E+1	1.38915E-1	1.45445E-1	2.56595E+2
7.99988E+0	1.31841E-2	8.24006E+1	1.33501E-1	1.44424E-1	2.80124E+2
8.19981E+0	1.45575E-2	9.09844E+1	1.29094E-1	1.45226E-1	3.06568E+2
8.39991E+0	1.60205E-2	1.00128E+2	1.24083E-1	1.44216E-1	3.32194E+2
8.59982E+0	1.75717E-2	1.09823E+2	1.19948E-1	1.44358E-1	3.60600E+2
8.79988E+0	1.91947E-2	1.19967E+2	1.15607E-1	1.42692E-1	3.88482E+2
8.87177E+0	2.00011E-2	1.25007E+2	1.13516E-1	1.42127E-1	4.00730E+2
