	Pixel	Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)	CE(cd/A)
0	A1-1	-0.999961	-1.68332e-06	-0.0105207	23.7265	8.2549	0.794537	-7.552130561654645
1	A1-1	-0.79998	-9.31511e-07	-0.00582194	14.3924	-7.80033	0.213368	-3.664895206752388
2	A1-1	-0.599964	-4.64346e-07	-0.00290216	79.2931	49.2959	0.439473	-15.142962483116026
3	A1-1	-0.39995	-1.92244e-07	-0.00120152	78.6163	87.4138	0.120254	-10.008489246953859
4	A1-1	-0.200001	-5.35715e-08	-0.000334822	-1811.9	-226.482	-0.386216	115.3496484699333
5	A1-1	6.8903e-05	2.61949e-08	0.000163718	5742690.0	-744.412	0.206205	125.95133094711636
6	A1-1	0.200057	7.32734e-08	0.000457959	-1054.03	-194.265	-0.307384	-67.12041907681692
7	A1-1	0.399975	1.42432e-07	0.0008902	-257.043	112.876	-0.291324	-32.72567962255673
8	A1-1	0.59997	3.19029e-07	0.00199393	-53.5711	8.9338	-0.203995	-10.230800479455146
9	A1-1	0.799979	5.96597e-07	0.00372873	-32.6372	6.38184	-0.309886	-8.310765327604841
10	A1-1	0.999985	1.02272e-06	0.006392	-9.8462	13.5979	-0.200331	-3.1340894868585734
11	A1-1	1.19999	1.68222e-06	0.0105139	3.75383	-5.84329	0.150753	1.4338447198470596
12	A1-1	1.39999	2.61673e-06	0.0163546	-2.39616	3.39412	-0.174635	-1.0678035537402322
13	A1-1	1.6	3.90722e-06	0.0244201	0.426863	-8.1324	0.0530892	0.21739960114823448
14	A1-1	1.79999	5.65435e-06	0.0353397	-1.616	2.13785	-0.327208	-0.9258935418240675
15	A1-1	1.99997	7.95904e-06	0.049744	-1.27494	-1.80475	-0.403742	-0.811639594724992
16	A1-1	2.19987	1.08662e-05	0.0679137	-0.419614	0.525338	-0.199551	-0.29383025810697994
17	A1-1	2.39998	1.52054e-05	0.0950338	-0.029903	-0.0597089	-0.0217095	-0.022843977616384906
18	A1-1	2.59998	2.17943e-05	0.136214	0.0704662	-0.15023	0.0794373	0.05831801430102632
