Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99943E-1	-3.38793E-7	-2.11746E-3	-5.78066E+1	-2.66178E+1	-3.89598E-1
-7.99970E-1	-2.08552E-7	-1.30345E-3	-1.05195E+2	6.08680E+1	-3.49150E-1
-5.99950E-1	-1.09882E-7	-6.86763E-4	7.75309E+1	-1.88967E+2	1.01683E-1
-3.99942E-1	-4.80201E-8	-3.00126E-4	-1.08569E+3	1.23859E+2	-4.14817E-1
-1.99960E-1	1.04214E-8	6.51337E-5	-7.91734E+3	2.27022E+3	-3.28230E-1
1.16134E-4	3.17739E-8	1.98587E-4	2.12903E+6	-1.96984E+2	1.56294E-1
2.00103E-1	4.89592E-8	3.05995E-4	1.43487E+3	3.02752E+2	2.79661E-1
4.00050E-1	7.92741E-8	4.95463E-4	-4.49487E+2	2.29808E+2	-2.83591E-1
6.00029E-1	1.10775E-7	6.92344E-4	1.79377E+2	-7.85174E+0	2.37197E-1
8.00041E-1	1.98628E-7	1.24142E-3	1.44994E+2	1.74969E+0	4.58388E-1
1.00005E+0	3.34413E-7	2.09008E-3	3.05405E+1	-2.72622E+1	2.03194E-1
1.20006E+0	5.39061E-7	3.36913E-3	2.43364E+1	1.18882E+1	3.13204E-1
1.40006E+0	8.36617E-7	5.22886E-3	1.13161E+1	1.62766E+0	2.63694E-1
1.60006E+0	1.27545E-6	7.97156E-3	4.63212E+0	-2.60730E+0	1.88066E-1
1.80005E+0	1.84575E-6	1.15359E-2	2.45498E-1	2.22093E-2	1.62269E-2
2.00004E+0	2.79403E-6	1.74627E-2	-7.31786E-1	3.23755E+0	-8.13549E-2
2.20052E+0	3.84788E-6	2.40493E-2	4.78016E-1	4.66819E+0	8.05229E-2
2.40047E+0	5.01659E-6	3.13537E-2	4.64675E+0	-3.64288E+0	1.11323E+0
2.60044E+0	7.05352E-6	4.40845E-2	-1.56612E+0	-4.21961E+0	-5.71488E-1
2.80028E+0	1.00937E-5	6.30856E-2	-1.84808E-3	-7.01158E-1	-1.03921E-3
3.00034E+0	1.56021E-5	9.75131E-2	-3.65869E-1	-9.92824E-1	-3.40729E-1
3.20040E+0	2.43641E-5	1.52276E-1	4.71661E-1	-1.25483E+0	7.31669E-1
3.40028E+0	5.93271E-5	3.70794E-1	2.10593E-1	-1.16548E-1	8.45164E-1
