Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99949E-1	-4.03996E-7	-2.52498E-3	-4.79719E+1	-8.12835E+1	-3.85542E-1
-7.99973E-1	-2.55362E-7	-1.59601E-3	-1.33965E+2	-5.98953E+1	-5.44445E-1
-5.99950E-1	-1.42881E-7	-8.93006E-4	-4.37691E+2	-1.91810E+2	-7.46426E-1
-3.99938E-1	-6.83844E-8	-4.27402E-4	-1.27113E+3	-3.60677E+2	-6.91623E-1
-1.99958E-1	5.39738E-9	3.37336E-5	-1.87576E+4	-6.94010E+3	-4.02745E-1
1.21570E-4	3.45195E-8	2.15747E-4	-9.78984E+6	-4.31957E+2	-8.17329E-1
2.00113E-1	5.31817E-8	3.32386E-4	-7.58338E+1	-3.70901E+2	-1.60557E-2
4.00059E-1	8.15811E-8	5.09882E-4	-1.38219E+3	-1.58160E+2	-8.97451E-1
6.00034E-1	1.16588E-7	7.28675E-4	-1.04555E+2	5.96456E+1	-1.45514E-1
8.00048E-1	2.04790E-7	1.27994E-3	-1.33644E+2	-5.66558E+1	-4.35616E-1
1.00005E+0	3.18448E-7	1.99030E-3	-9.82745E+1	-3.27152E+1	-6.22632E-1
1.20006E+0	4.68737E-7	2.92961E-3	0.00000E+0	0.00000E+0	0.00000E+0
1.40006E+0	6.68291E-7	4.17682E-3	0.00000E+0	0.00000E+0	0.00000E+0
1.60006E+0	9.03408E-7	5.64630E-3	1.96617E+1	-1.47086E+1	5.65419E-1
1.80004E+0	1.24374E-6	7.77338E-3	1.13163E+1	-6.57004E+0	5.04019E-1
2.00003E+0	1.64161E-6	1.02601E-2	-4.65735E+0	-1.89127E+0	-3.04211E-1
2.20052E+0	2.15849E-6	1.34906E-2	-6.24459E-1	-5.79655E+0	-5.90078E-2
2.40046E+0	2.82556E-6	1.76597E-2	-4.79944E+0	-8.09028E+0	-6.47619E-1
2.60035E+0	3.82693E-6	2.39183E-2	-3.36543E+0	-7.08683E+0	-6.66274E-1
2.80037E+0	5.66334E-6	3.53959E-2	-9.54129E-2	-5.31727E+0	-3.01041E-2
3.00029E+0	9.30326E-6	5.81454E-2	-1.50878E+0	-1.74305E+0	-8.37829E-1
3.20028E+0	1.63457E-5	1.02161E-1	-2.35817E-1	-1.58859E+0	-2.45412E-1
3.40032E+0	2.91732E-5	1.82333E-1	1.86829E-1	-2.86245E-1	3.68704E-1
3.60032E+0	5.04287E-5	3.15179E-1	3.90564E-1	-5.08896E-1	1.41072E+0
3.80029E+0	8.42249E-5	5.26406E-1	3.85681E-1	-3.91308E-1	2.45592E+0
4.00024E+0	1.35706E-4	8.48162E-1	3.36386E-1	-3.47514E-3	3.63290E+0
4.20028E+0	2.09370E-4	1.30856E+0	2.93048E-1	1.30242E-1	5.12699E+0
4.40021E+0	3.06085E-4	1.91303E+0	2.61770E-1	6.83923E-2	7.01399E+0
4.60019E+0	4.36426E-4	2.72766E+0	2.73781E-1	4.42576E-2	1.09350E+1
4.80056E+0	5.82229E-4	3.63893E+0	2.50940E-1	1.04656E-1	1.39536E+1
5.00054E+0	7.65386E-4	4.78366E+0	2.36277E-1	1.08613E-1	1.79907E+1
5.20053E+0	9.62662E-4	6.01664E+0	2.24047E-1	1.06895E-1	2.23147E+1
5.40050E+0	1.19041E-3	7.44006E+0	2.16076E-1	1.44816E-1	2.76355E+1
5.60049E+0	1.43386E-3	8.96162E+0	2.02899E-1	1.18492E-1	3.24148E+1
5.80049E+0	1.72085E-3	1.07553E+1	1.88471E-1	1.20121E-1	3.74268E+1
6.00047E+0	2.03124E-3	1.26952E+1	1.84598E-1	1.38565E-1	4.47613E+1
6.20047E+0	2.38135E-3	1.48834E+1	1.78354E-1	1.31885E-1	5.23916E+1
6.40047E+0	2.77583E-3	1.73489E+1	1.70867E-1	1.23501E-1	6.03938E+1
6.60050E+0	3.20904E-3	2.00565E+1	1.63845E-1	1.31269E-1	6.90421E+1
6.80050E+0	3.68859E-3	2.30537E+1	1.57471E-1	1.34522E-1	7.85835E+1
7.00050E+0	4.22461E-3	2.64038E+1	1.52348E-1	1.29644E-1	8.96358E+1
7.20048E+0	4.81251E-3	3.00782E+1	1.46431E-1	1.30320E-1	1.00947E+2
7.40049E+0	5.45053E-3	3.40658E+1	1.40795E-1	1.34810E-1	1.12984E+2
7.60048E+0	6.15171E-3	3.84482E+1	1.35444E-1	1.32158E-1	1.25987E+2
7.80046E+0	6.91414E-3	4.32134E+1	1.31049E-1	1.34245E-1	1.40612E+2
8.00045E+0	7.74178E-3	4.83861E+1	1.26681E-1	1.32048E-1	1.56098E+2
8.20041E+0	8.63529E-3	5.39706E+1	1.22416E-1	1.34107E-1	1.72457E+2
8.40041E+0	9.59549E-3	5.99718E+1	1.18587E-1	1.32880E-1	1.90167E+2
8.60044E+0	1.06436E-2	6.65225E+1	1.15332E-1	1.35320E-1	2.10033E+2
8.80039E+0	1.17578E-2	7.34863E+1	1.11024E-1	1.34536E-1	2.28548E+2
