	Timestamp	Filtered Rate: CBP	Filtered Rate: F3EtO-BsubPc	Source Power: CBP	Source Power: F3EtO-BsubPc	Thickness: CBP	Thickness: F3EtO-BsubPc	State: CBP	State: F3EtO-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: F3EtO-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: F3EtO-BsubPc
37	11:53:45	-0.001	-0.000	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	666
38	11:53:46	-0.001	-0.001	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	665
39	11:53:47	0.000	-0.001	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	664
40	11:53:48	0.000	-0.001	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	666
41	11:53:49	-0.001	-0.001	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	666
42	11:53:50	0.000	-0.001	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	665
43	11:53:51	0.000	-0.001	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	665
44	11:53:52	-0.001	-0.001	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	663
45	11:53:53	0.000	-0.001	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	666
46	11:53:54	-0.001	-0.002	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	665
47	11:53:55	0.000	-0.002	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	665
48	11:53:56	0.000	-0.002	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	665
49	11:53:57	-0.001	-0.002	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	666
50	11:53:58	0.000	-0.002	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	666
51	11:53:59	-0.000	-0.002	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	665
52	11:54:00	-0.001	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	665
53	11:54:01	0.000	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	665
54	11:54:02	-0.001	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	665
55	11:54:03	-0.001	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	664
56	11:54:04	0.000	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	666
57	11:54:05	-0.001	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	664
58	11:54:06	-0.001	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	664
59	11:54:07	0.000	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	664
60	11:54:08	0.000	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	665
61	11:54:09	-0.001	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	664
62	11:54:10	0.000	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	664
63	11:54:11	-0.001	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	665
64	11:54:12	-0.001	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	666
65	11:54:13	0.000	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	665
66	11:54:14	-0.001	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	664
67	11:54:15	-0.001	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	666
68	11:54:16	-0.001	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	665
69	11:54:17	0.000	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	665
70	11:54:18	0.000	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	665
71	11:54:19	-0.001	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	665
72	11:54:20	-0.001	-0.003	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	665
