	Timestamp	Filtered Rate: CBP	Filtered Rate: TxOPhCz	Filtered Rate: OcO-BsubPc	Source Power: CBP	Source Power: TxOPhCz	Source Power: OcO-BsubPc	Thickness: CBP	Thickness: TxOPhCz	Thickness: OcO-BsubPc	State: CBP	State: TxOPhCz	State: OcO-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: TxOPhCz	Fundamental  Frequency: OcO-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: TxOPhCz	Current Z-Ratio: OcO-BsubPc
26	11:41:14	0.000	0.000	-0.000	9.720	2.200	14.280	0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	786
27	11:41:15	0.000	0.000	-0.000	10.120	2.292	14.880	0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	786
28	11:41:16	0.000	0.000	-0.000	10.520	2.383	15.480	0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	786
29	11:41:17	0.001	0.000	-0.000	10.920	2.475	16.080	0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	786
30	11:41:18	-0.001	0.000	-0.000	11.320	2.567	16.680	0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	785
31	11:41:19	0.001	0.000	-0.000	11.720	2.658	17.280	0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	788
32	11:41:20	0.000	0.000	-0.000	12.000	2.750	17.880	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	786
33	11:41:21	0.000	0.000	-0.000	12.000	2.842	18.000	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
34	11:41:22	0.000	0.000	-0.000	12.000	2.933	18.000	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
35	11:41:23	0.000	0.000	-0.000	12.000	3.025	18.000	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	788
36	11:41:24	-0.001	0.000	-0.000	12.000	3.117	18.000	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
37	11:41:25	0.001	0.000	-0.000	12.000	3.208	18.000	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
