	Timestamp	Filtered Rate: B3PYMPM	Source Power: B3PYMPM	Thickness: B3PYMPM	State: B3PYMPM	Fundamental  Frequency: B3PYMPM	Current Z-Ratio: B3PYMPM
0	18:26:19	0.000	0.000	-0.000	Ready	5919957.786	1.897
1	18:26:20	-0.001	0.000	-0.000	Ready	5919957.790	1.897
2	18:26:21	-0.001	0.000	-0.000	Ready	5919957.793	1.897
3	18:26:22	0.000	0.000	-0.000	Ready	5919957.793	1.897
4	18:26:23	0.000	0.320	-0.000	PreCon Rise	5919957.793	1.897
5	18:26:24	-0.001	0.853	-0.000	PreCon Rise	5919957.797	1.897
6	18:26:25	-0.001	1.387	-0.000	PreCon Rise	5919957.800	1.897
7	18:26:26	-0.001	1.920	-0.000	PreCon Rise	5919957.804	1.897
8	18:26:27	-0.001	2.453	-0.000	PreCon Rise	5919957.807	1.897
9	18:26:28	-0.001	2.987	-0.000	PreCon Rise	5919957.811	1.897
10	18:26:29	-0.000	3.520	-0.000	PreCon Rise	5919957.811	1.897
11	18:26:30	0.000	4.053	-0.000	PreCon Rise	5919957.811	1.897
12	18:26:31	0.000	4.587	-0.000	PreCon Rise	5919957.811	1.897
13	18:26:32	-0.001	5.120	-0.000	PreCon Rise	5919957.814	1.897
14	18:26:33	-0.000	5.653	-0.000	PreCon Rise	5919957.814	1.897
15	18:26:34	0.000	6.187	-0.000	PreCon Rise	5919957.814	1.897
16	18:26:35	-0.001	6.720	-0.000	PreCon Rise	5919957.818	1.897
17	18:26:36	-0.001	7.253	-0.000	PreCon Rise	5919957.821	1.897
18	18:26:37	-0.001	7.787	-0.000	PreCon Rise	5919957.825	1.897
19	18:26:38	0.001	8.320	-0.000	PreCon Rise	5919957.821	1.897
20	18:26:39	-0.001	8.853	-0.000	PreCon Rise	5919957.825	1.897
21	18:26:40	-0.001	9.387	-0.000	PreCon Rise	5919957.828	1.897
22	18:26:41	0.000	9.920	-0.000	PreCon Rise	5919957.828	1.897
23	18:26:42	0.000	10.453	-0.000	PreCon Rise	5919957.828	1.897
24	18:26:43	-0.001	10.987	-0.000	PreCon Rise	5919957.832	1.897
25	18:26:44	0.000	11.520	-0.000	PreCon Rise	5919957.832	1.897
26	18:26:45	-0.000	12.053	-0.000	PreCon Rise	5919957.832	1.897
27	18:26:46	0.000	12.587	-0.000	PreCon Rise	5919957.832	1.897
28	18:26:47	-0.001	13.120	-0.000	PreCon Rise	5919957.835	1.897
29	18:26:48	-0.000	13.653	-0.000	PreCon Rise	5919957.835	1.897
30	18:26:49	-0.001	14.187	-0.000	PreCon Rise	5919957.838	1.897
31	18:26:50	0.000	14.720	-0.000	PreCon Rise	5919957.838	1.897
32	18:26:51	-0.001	15.253	-0.000	PreCon Rise	5919957.842	1.897
33	18:26:52	-0.001	15.787	-0.000	PreCon Rise	5919957.845	1.897
34	18:26:53	0.000	16.320	-0.000	PreCon Rise	5919957.845	1.897
35	18:26:54	0.000	16.853	-0.000	PreCon Rise	5919957.845	1.897
36	18:26:55	-0.001	17.387	-0.000	PreCon Rise	5919957.849	1.897
37	18:26:56	0.000	17.920	-0.000	PreCon Rise	5919957.849	1.897
38	18:26:57	0.000	18.453	-0.000	PreCon Rise	5919957.849	1.897
39	18:26:58	-0.001	18.987	-0.000	PreCon Rise	5919957.852	1.897
40	18:26:59	0.000	19.520	-0.000	PreCon Rise	5919957.852	1.897
41	18:27:00	-0.001	20.053	-0.000	PreCon Rise	5919957.856	1.897
42	18:27:01	-0.001	20.587	-0.000	PreCon Rise	5919957.859	1.897
43	18:27:02	0.000	21.120	-0.000	PreCon Rise	5919957.859	1.897
44	18:27:03	-0.001	21.653	-0.000	PreCon Rise	5919957.863	1.897
45	18:27:04	0.000	22.187	-0.000	PreCon Rise	5919957.863	1.897
46	18:27:05	-0.001	22.720	-0.000	PreCon Rise	5919957.866	1.897
47	18:27:06	0.000	23.253	-0.000	PreCon Rise	5919957.866	1.897
48	18:27:07	-0.001	23.787	-0.000	PreCon Rise	5919957.870	1.897
49	18:27:08	-0.001	24.320	-0.000	PreCon Rise	5919957.873	1.897
50	18:27:09	0.000	24.853	-0.000	PreCon Rise	5919957.873	1.897
51	18:27:10	-0.001	25.387	-0.000	PreCon Rise	5919957.877	1.897
52	18:27:11	0.000	25.920	-0.000	PreCon Rise	5919957.877	1.897
53	18:27:12	-0.001	26.453	-0.000	PreCon Rise	5919957.880	1.897
54	18:27:13	-0.001	26.987	-0.000	PreCon Rise	5919957.884	1.897
55	18:27:14	-0.001	27.520	-0.000	PreCon Rise	5919957.887	1.897
56	18:27:15	-0.001	28.053	-0.000	PreCon Rise	5919957.891	1.897
57	18:27:16	-0.000	28.587	-0.000	PreCon Rise	5919957.891	1.897
58	18:27:17	-0.002	29.120	-0.000	PreCon Rise	5919957.898	1.897
59	18:27:18	-0.001	29.653	-0.000	PreCon Rise	5919957.901	1.897
