	Material	FD_ct	FD_%
0	HATCN	0.5294368151444537	-0.9433612683183599
1	TAPC	-0.5317832674354548	0.821701585841129
2	CBP	-0.4365344558189902	0.4735090685435569
3	Cl-BsubPc	-0.3336662212643116	0.8842966206598032
4	B3PYMPM	-0.4777833936439204	0.5954249143387775
5	LiQ	0.46040766422854595	-0.9788624839299673
6	Al	0.4293074510059331	-0.9642431600740888
