	Material	Max Luminance (cd/m2)	EQE(%)_max	EQE(%)_avg	PE(lm/W)_max	PE(lm/W)_avg	CE(cd/A)_max	CE(cd/A)_avg
0	HATCN	-0.08949114226408124	0.14332037956715293	0.38035482646709606	0.07328357311249287	0.22383644377588507	-0.2566027599351814	-0.07385056146751974
1	TAPC	0.24118890942297536	-0.10477855270834664	-0.24245096651125436	-0.15011444506798374	-0.2135691194787744	0.1989781963067187	0.10376000594467415
2	CBP	0.47180370430385477	-0.02552575148643917	0.024638862148179383	-0.26343611912759013	-0.16935757382290814	0.0752203247296474	0.14223605214877383
3	Cl-BsubPc	-0.3357627764250614	-0.20652104640998328	-0.6422566850687389	0.14964639235713054	-0.19053645006996045	0.33966621826442367	-0.025172856626802687
4	B3PYMPM	0.4045476035071825	-0.05198233539189367	-0.06255088971831772	-0.23095010787623507	-0.18688007515001245	0.11716380211114855	0.13214662905533198
5	LiQ	0.1191281461877543	0.18281361578679006	0.5324391507059977	-0.03465128469545351	0.21925196057692542	-0.31220642760133804	-0.028145207784555145
6	Al	0.18034755054236665	0.19145720574439717	0.568878039974758	-0.06682077018517942	0.2138285314069088	-0.32336839985831395	-0.013735908488943844
