	Material	FD_ct	FD_%
0	HATCN	-0.10281630613228782	-0.9277171646682362
1	TAPC	0.17789104464565428	0.7711055816816094
2	CBP	0.24983811519318785	0.42562234244458
3	F5PhO-BsubPc	-0.13482448054780657	0.8390082749473329
4	B3PYMPM	0.23402705976490598	0.5357488572085026
5	LiQ	0.020300191205860366	-0.9813680235567348
6	Al	0.05554522434126297	-0.9585668979317903
