	Timestamp	Filtered Rate: B3PYMPM	Source Power: B3PYMPM	Thickness: B3PYMPM	State: B3PYMPM	Fundamental  Frequency: B3PYMPM	Current Z-Ratio: B3PYMPM
0	14:28:19	0.001	0.000	-0.000	Ready	5911337.844	2.026
1	14:28:20	0.001	0.000	-0.000	Ready	5911337.844	2.026
2	14:28:21	-0.001	0.000	-0.000	Ready	5911337.847	2.026
3	14:28:22	0.000	0.000	-0.000	Ready	5911337.847	2.026
4	14:28:23	0.001	0.107	-0.000	PreCon Rise	5911337.844	2.026
5	14:28:24	-0.001	0.640	-0.000	PreCon Rise	5911337.847	2.026
6	14:28:25	0.000	1.173	-0.000	PreCon Rise	5911337.847	2.026
7	14:28:26	0.001	1.707	-0.000	PreCon Rise	5911337.844	2.026
8	14:28:27	-0.002	2.240	-0.000	PreCon Rise	5911337.851	2.026
9	14:28:28	-0.001	2.773	-0.000	PreCon Rise	5911337.854	2.026
10	14:28:29	-0.000	3.307	-0.000	PreCon Rise	5911337.854	2.026
11	14:28:30	-0.001	3.840	-0.000	PreCon Rise	5911337.858	2.026
12	14:28:31	0.000	4.373	-0.000	PreCon Rise	5911337.858	2.026
13	14:28:32	-0.001	4.907	-0.000	PreCon Rise	5911337.861	2.026
14	14:28:33	-0.001	5.440	-0.000	PreCon Rise	5911337.865	2.026
15	14:28:34	0.000	5.973	-0.000	PreCon Rise	5911337.865	2.026
16	14:28:35	-0.001	6.507	-0.000	PreCon Rise	5911337.868	2.026
17	14:28:36	0.000	7.040	-0.000	PreCon Rise	5911337.868	2.026
18	14:28:37	-0.001	7.573	-0.000	PreCon Rise	5911337.872	2.026
19	14:28:38	-0.001	8.107	-0.000	PreCon Rise	5911337.875	2.026
20	14:28:39	0.000	8.640	-0.000	PreCon Rise	5911337.875	2.026
21	14:28:40	-0.001	9.173	-0.000	PreCon Rise	5911337.879	2.026
22	14:28:41	-0.001	9.707	-0.000	PreCon Rise	5911337.882	2.026
23	14:28:42	-0.001	10.240	-0.000	PreCon Rise	5911337.886	2.026
24	14:28:43	0.000	10.773	-0.000	PreCon Rise	5911337.886	2.026
25	14:28:44	-0.001	11.307	-0.000	PreCon Rise	5911337.889	2.026
26	14:28:45	-0.001	11.840	-0.000	PreCon Rise	5911337.893	2.026
27	14:28:46	-0.001	12.373	-0.000	PreCon Rise	5911337.896	2.026
28	14:28:47	-0.001	12.907	-0.000	PreCon Rise	5911337.900	2.026
29	14:28:48	0.000	13.440	-0.000	PreCon Rise	5911337.900	2.026
30	14:28:49	-0.001	13.973	-0.000	PreCon Rise	5911337.903	2.026
31	14:28:50	0.000	14.507	-0.000	PreCon Rise	5911337.903	2.026
32	14:28:51	0.000	15.040	-0.000	PreCon Rise	5911337.903	2.026
33	14:28:52	-0.001	15.573	-0.000	PreCon Rise	5911337.907	2.026
34	14:28:53	-0.001	16.107	-0.000	PreCon Rise	5911337.910	2.026
35	14:28:54	0.000	16.640	-0.000	PreCon Rise	5911337.910	2.026
36	14:28:55	-0.001	17.173	-0.000	PreCon Rise	5911337.914	2.026
37	14:28:56	-0.001	17.707	-0.000	PreCon Rise	5911337.917	2.026
38	14:28:57	-0.001	18.240	-0.000	PreCon Rise	5911337.921	2.026
39	14:28:58	0.000	18.773	-0.000	PreCon Rise	5911337.921	2.026
40	14:28:59	-0.001	19.307	-0.000	PreCon Rise	5911337.924	2.026
41	14:29:00	0.000	19.840	-0.000	PreCon Rise	5911337.924	2.026
42	14:29:01	-0.002	20.373	-0.000	PreCon Rise	5911337.931	2.026
43	14:29:02	0.000	20.907	-0.000	PreCon Rise	5911337.931	2.026
44	14:29:03	0.000	21.440	-0.000	PreCon Rise	5911337.931	2.026
45	14:29:04	-0.001	21.973	-0.000	PreCon Rise	5911337.935	2.026
46	14:29:05	0.000	22.507	-0.000	PreCon Rise	5911337.935	2.026
47	14:29:06	-0.001	23.040	-0.000	PreCon Rise	5911337.938	2.026
48	14:29:07	-0.002	23.573	-0.000	PreCon Rise	5911337.945	2.026
49	14:29:08	0.000	24.107	-0.000	PreCon Rise	5911337.945	2.026
50	14:29:09	-0.002	24.640	-0.000	PreCon Rise	5911337.952	2.026
51	14:29:10	0.000	25.173	-0.000	PreCon Rise	5911337.952	2.026
52	14:29:11	-0.001	25.707	-0.000	PreCon Rise	5911337.956	2.026
53	14:29:12	0.000	26.240	-0.000	PreCon Rise	5911337.956	2.026
54	14:29:13	-0.001	26.773	-0.000	PreCon Rise	5911337.959	2.026
55	14:29:14	-0.001	27.307	-0.000	PreCon Rise	5911337.963	2.026
56	14:29:15	-0.001	27.840	-0.000	PreCon Rise	5911337.966	2.026
57	14:29:16	-0.001	28.373	-0.000	PreCon Rise	5911337.970	2.026
58	14:29:17	-0.001	28.907	-0.000	PreCon Rise	5911337.973	2.026
59	14:29:18	-0.001	29.440	-0.000	PreCon Rise	5911337.977	2.026
60	14:29:19	-0.001	29.973	-0.000	PreCon Rise	5911337.980	2.026
61	14:29:20	-0.001	30.507	-0.000	PreCon Rise	5911337.984	2.026
62	14:29:21	-0.002	31.040	-0.000	PreCon Rise	5911337.991	2.026
63	14:29:22	-0.001	31.573	-0.000	PreCon Rise	5911337.994	2.026
64	14:29:23	-0.002	32.000	-0.000	PreCon Soak	5911338.001	2.026
65	14:29:24	-0.003	32.000	-0.000	PreCon Soak	5911338.012	2.026
66	14:29:25	-0.001	32.000	-0.000	PreCon Soak	5911338.015	2.026
67	14:29:26	-0.002	32.000	-0.000	PreCon Soak	5911338.022	2.026
68	14:29:27	-0.001	32.000	-0.000	PreCon Soak	5911338.025	2.026
69	14:29:28	-0.002	32.000	-0.000	PreCon Soak	5911338.032	2.026
70	14:29:29	-0.002	32.000	-0.000	PreCon Soak	5911338.039	2.026
71	14:29:30	-0.003	32.000	-0.000	PreCon Soak	5911338.050	2.026
72	14:29:31	-0.001	32.000	-0.000	PreCon Soak	5911338.053	2.026
73	14:29:32	-0.001	32.000	-0.000	PreCon Soak	5911338.060	2.026
74	14:29:33	-0.002	32.000	-0.000	PreCon Soak	5911338.067	2.026
75	14:29:34	-0.002	32.000	-0.000	PreCon Soak	5911338.074	2.026
76	14:29:35	-0.002	32.000	-0.000	PreCon Soak	5911338.081	2.026
77	14:29:36	-0.002	32.000	-0.000	PreCon Soak	5911338.088	2.026
78	14:29:37	-0.001	32.000	-0.000	PreCon Soak	5911338.092	2.026
