Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99978E-1	-1.51064E-6	-9.44150E-3	1.11155E+1	1.00604E+1	3.34051E-1
-7.99998E-1	-1.04360E-6	-6.52250E-3	1.94101E+1	1.56287E+1	3.22389E-1
-5.99975E-1	-6.80629E-7	-4.25393E-3	4.53400E+1	3.47538E+1	3.68346E-1
-3.99970E-1	-3.83627E-7	-2.39767E-3	3.08507E+1	-3.80683E+1	9.41742E-2
-2.00012E-1	-1.47065E-7	-9.19156E-4	7.84107E+2	1.07336E+2	4.58850E-1
3.43561E-5	6.51264E-10	4.07040E-6	2.51197E+8	4.67822E+3	1.11816E-1
2.00023E-1	1.50572E-7	9.41075E-4	2.41504E+2	-1.47276E+2	1.44704E-1
3.99966E-1	3.80201E-7	2.37626E-3	7.27331E+1	-4.49147E+1	2.20039E-1
5.99960E-1	6.81080E-7	4.25675E-3	-1.85481E+1	-2.43921E+1	-1.50783E-1
7.99979E-1	1.04526E-6	6.53287E-3	-4.33542E+1	-2.35586E+1	-7.21214E-1
9.99985E-1	1.50180E-6	9.38625E-3	-5.68397E+0	-2.23737E+0	-1.69819E-1
1.19999E+0	1.95529E-6	1.22206E-2	-1.36633E+1	-3.44609E+0	-6.37785E-1
1.39999E+0	2.85825E-6	1.78641E-2	-1.19133E+1	-8.22399E+0	-9.48394E-1
1.59999E+0	4.21972E-6	2.63732E-2	2.65884E+0	-1.66113E+0	3.57127E-1
1.79997E+0	6.18947E-6	3.86842E-2	-1.16209E+0	-1.47747E+0	-2.57565E-1
1.99995E+0	8.29816E-6	5.18635E-2	-8.21415E-1	-2.42879E+0	-2.71203E-1
2.19984E+0	1.16652E-5	7.29075E-2	-4.24706E-1	-3.62122E-1	-2.16821E-1
2.39989E+0	1.50082E-5	9.38013E-2	3.85065E-1	2.19355E-1	2.75921E-1
2.59970E+0	7.82328E-5	4.88955E-1	6.57388E-1	9.39308E-3	2.65989E+0
2.79985E+0	4.11117E-5	2.56948E-1	6.72980E+0	1.61429E+0	1.54111E+1
2.99971E+0	4.67959E-4	2.92474E+0	1.45833E+0	4.95639E-1	4.07262E+1
3.19977E+0	5.74623E-4	3.59139E+0	2.58878E+0	8.80735E-1	9.46948E+1
3.39972E+0	7.82041E-4	4.88776E+0	3.59531E+0	1.27229E+0	1.90169E+2
3.59966E+0	9.89206E-4	6.18254E+0	4.61232E+0	1.72148E+0	3.26737E+2
3.79971E+0	7.28256E-4	4.55160E+0	8.96053E+0	3.56507E+0	4.93286E+2
3.99961E+0	9.83776E-4	6.14860E+0	8.35147E+0	3.45554E+0	6.53743E+2
4.19965E+0	1.23587E-3	7.72419E+0	8.14978E+0	3.54211E+0	8.41516E+2
4.39970E+0	1.49688E-3	9.35550E+0	7.88093E+0	3.61950E+0	1.03257E+3
4.59967E+0	1.82059E-3	1.13787E+1	7.37755E+0	3.52357E+0	1.22908E+3
4.80000E+0	2.16827E-3	1.35517E+1	7.08120E+0	3.54446E+0	1.46619E+3
4.99994E+0	2.56188E-3	1.60117E+1	6.69380E+0	3.48782E+0	1.70579E+3
5.19995E+0	2.96875E-3	1.85547E+1	6.47763E+0	3.51021E+0	1.98939E+3
5.39991E+0	3.45044E-3	2.15652E+1	6.12739E+0	3.44973E+0	2.27126E+3
5.59991E+0	3.99180E-3	2.49488E+1	5.86092E+0	3.42299E+0	2.60643E+3
5.79995E+0	4.60420E-3	2.87763E+1	5.52609E+0	3.34468E+0	2.93580E+3
5.99992E+0	5.28135E-3	3.30084E+1	5.26952E+0	3.30017E+0	3.32194E+3
6.19994E+0	6.01591E-3	3.75994E+1	4.98470E+0	3.21938E+0	3.69878E+3
6.39994E+0	6.83190E-3	4.26994E+1	4.74617E+0	3.16672E+0	4.12848E+3
6.59992E+0	7.71846E-3	4.82404E+1	4.48557E+0	3.08362E+0	4.54587E+3
6.79987E+0	8.69282E-3	5.43301E+1	4.27245E+0	3.02149E+0	5.02422E+3
6.99990E+0	9.74116E-3	6.08823E+1	4.03996E+0	2.94035E+0	5.48037E+3
7.19990E+0	1.08906E-2	6.80663E+1	3.84559E+0	2.87471E+0	5.99890E+3
7.39993E+0	1.21213E-2	7.57581E+1	3.64653E+0	2.80233E+0	6.50709E+3
7.59988E+0	1.34408E-2	8.40050E+1	3.44802E+0	2.71956E+0	7.00700E+3
7.79986E+0	1.48640E-2	9.29000E+1	3.28090E+0	2.65552E+0	7.56739E+3
7.99987E+0	1.63743E-2	1.02339E+2	3.10423E+0	2.57950E+0	8.08966E+3
8.19979E+0	1.79969E-2	1.12481E+2	2.95261E+0	2.51067E+0	8.66835E+3
8.39981E+0	1.97029E-2	1.23143E+2	2.79304E+0	2.43330E+0	9.19616E+3
