Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99968E-1	-6.77701E-7	-4.23563E-3	6.88517E+0	8.17570E+0	9.28259E-2
-7.99998E-1	-5.06894E-7	-3.16809E-3	5.40124E+0	1.58540E+1	4.35742E-2
-5.99968E-1	-3.30690E-7	-2.06681E-3	-3.13042E+1	2.53753E+1	-1.23561E-1
-3.99964E-1	-1.91885E-7	-1.19928E-3	-9.95151E+1	1.10811E+2	-1.51943E-1
-2.00013E-1	-7.29856E-8	-4.56160E-4	4.36317E+2	-3.39202E+1	1.26715E-1
5.36680E-5	1.24928E-8	7.80800E-5	-3.60437E+7	6.10931E+2	-4.80768E-1
2.00030E-1	9.45097E-8	5.90686E-4	-1.08926E+2	4.99559E+1	-4.09668E-2
3.99976E-1	2.52004E-7	1.57503E-3	-7.83525E+1	-5.29517E+1	-1.57117E-1
5.99972E-1	4.54056E-7	2.83785E-3	2.00885E+0	5.21469E+1	1.08872E-2
7.99981E-1	6.35989E-7	3.97493E-3	-5.75213E+0	1.27521E+1	-5.82221E-2
9.99982E-1	8.92047E-7	5.57529E-3	-1.01167E+1	7.09741E+0	-1.79534E-1
1.19999E+0	1.27751E-6	7.98444E-3	-3.11437E+0	1.22270E+0	-9.49822E-2
1.40000E+0	1.67627E-6	1.04767E-2	-9.15173E+0	6.94285E+0	-4.27273E-1
1.60000E+0	2.18100E-6	1.36312E-2	-4.01740E+0	2.62657E+0	-2.78902E-1
1.79998E+0	2.80112E-6	1.75070E-2	-1.13204E+0	-9.84832E+0	-1.13552E-1
1.99997E+0	3.76607E-6	2.35379E-2	-1.38164E+0	1.10012E+0	-2.07032E-1
2.19995E+0	4.96981E-6	3.10613E-2	-2.60233E+0	8.54351E-3	-5.66037E-1
2.39987E+0	6.76528E-6	4.22830E-2	1.91887E-1	-5.06516E-2	6.19797E-2
2.59979E+0	1.00267E-5	6.26669E-2	2.05468E+0	9.42944E-1	1.06554E+0
2.79986E+0	1.86320E-5	1.16450E-1	4.56687E+0	1.62701E+0	4.73963E+0
