	Pixel	HATCN	TAPC	CBP	tri-PXZ-trz	B3PYMPM	LiQ	Al
0	A1	114.26811976660682	260.71441018303574	151.01599103092784	76.17799474186046	445.9541888051282	11.214712665847665	1050.2584700419357
1	A2	111.84194382405745	269.76449946875	154.35619721649482	74.70973892790697	463.34788111282046	11.112255663390663	1037.7627926225807
2	A3	109.41576788150807	278.8145887544643	157.69640340206186	73.24148311395349	480.74157342051285	11.00979866093366	1025.2671152032258
3	A4	106.98959193895871	287.8646780401786	161.03660958762885	71.77322729999999	498.13526572820507	10.907341658476659	1012.7714377838711
4	A5	104.56341599640933	296.91476732589285	164.37681577319586	70.30497148604651	515.5289580358974	10.804884656019656	1000.2757603645161
5	B1	109.06943035906643	272.43948161160716	152.76423845360824	73.34915520697675	458.5442759846153	10.597218808353807	905.7018506870968
6	B2	106.64325441651707	281.4895708973214	156.10444463917526	71.88089939302326	475.9379682923077	10.494761805896804	893.206173267742
7	B3	104.21707847396769	290.5396601830357	159.44465082474224	70.41264357906977	493.3316606	10.392304803439801	880.7104958483872
8	B4	101.79090253141833	299.58974946875	162.78485701030928	68.94438776511628	510.7253529076923	10.2898478009828	868.2148184290322
9	B5	99.36472658886895	308.6398387544643	166.1250631958763	67.47613195116278	528.1190452153845	10.187390798525797	855.7191410096775
10	C1	102.5923747037702	287.04776732589283	154.94238278350514	69.82469939302325	474.23028624102557	9.827882199017198	725.5985216548388
11	C2	100.16619876122083	296.09785661160714	158.28258896907215	68.35644357906976	491.62397854871796	9.725425196560197	713.1028442354839
12	C3	97.74002281867146	305.1479458973214	161.62279515463916	66.88818776511627	509.01767085641023	9.622968194103194	700.6071668161292
13	C4	95.31384687612208	314.1980351830357	164.96300134020618	65.4199319511628	526.4113631641026	9.520511191646191	688.1114893967743
14	C5	92.88767093357272	323.24812446875	168.3032075257732	63.9516761372093	543.8050554717948	9.418054189189188	675.6158119774194
15	D1	97.3936852962298	298.77283875446426	156.69063020618555	66.99585985813953	486.8203734205128	9.210388341523341	581.0419023000001
16	D2	94.96750935368044	307.82292804017857	160.03083639175256	65.52760404418605	504.21406572820507	9.107931339066338	568.5462248806452
17	D3	92.54133341113106	316.8730173258928	163.37104257731957	64.05934823023254	521.6077580358974	9.005474336609335	556.0505474612903
18	D4	90.1151574685817	325.9231066116071	166.71124876288658	62.59109241627907	539.0014503435897	8.903017334152333	543.5548700419356
19	D5	87.68898152603232	334.9731958973214	170.0514549484536	61.12283660232558	556.3951426512821	8.80056033169533	531.0591926225807
