	Pixel	Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)	CE(cd/A)
0	A1-1	-0.999961	-7.04869e-07	-0.00440543	2.91698	-5.23862	0.040903	-0.9284678226643029
1	A1-1	-0.799986	-4.49734e-07	-0.00281084	18.3179	-16.6953	0.131112	-4.664513099287046
2	A1-1	-0.599964	-2.8248e-07	-0.0017655	-20.2408	64.469	-0.0682451	3.865482866043614
3	A1-1	-0.399958	-1.42653e-07	-0.000891581	107.083	50.94	0.121548	-13.632861175821379
4	A1-1	-0.200011	-5.24244e-08	-0.000327653	1564.24	352.78	0.326303	-99.5879787458073
5	A1-1	6.02961e-05	2.37566e-08	0.000148479	34475900.0	176.014	0.982471	661.6902053489046
6	A1-1	0.200048	8.86877e-08	0.000554298	534.801	145.051	0.188764	34.05460600615553
7	A1-1	0.399968	2.03227e-07	0.00127017	226.816	26.3779	0.366785	28.876843257201795
8	A1-1	0.599968	3.93395e-07	0.00245872	103.787	69.9011	0.487336	19.820719724084075
9	A1-1	0.799977	6.53527e-07	0.00408454	-20.8047	-9.86944	-0.216388	-5.2977324251935345
10	A1-1	0.99998	9.96268e-07	0.00622668	12.0571	-4.3694	0.238969	3.837823687743709
11	A1-1	1.19999	1.39912e-06	0.0087445	6.7426	-1.68921	0.225211	2.5754588598547654
12	A1-1	1.39999	1.9408e-06	0.01213	8.20303	-11.7526	0.443415	3.655523495465787
13	A1-1	1.6	2.68969e-06	0.0168106	1.91662	-1.02275	0.164093	0.976128157234126
14	A1-1	1.79997	3.63744e-06	0.022734	-0.326617	-6.3601	-0.0425432	-0.18713468813231285
15	A1-1	1.99996	4.1945e-06	0.0262156	0.352798	0.910378	0.0588786	0.2245937533377073
16	A1-1	2.20001	5.82976e-06	0.036436	3.63508	0.630433	0.927512	2.5455922713799537
17	A1-1	2.39993	7.97546e-06	0.0498466	3.22798	1.03791	1.22918	2.4659254593091604
18	A1-1	2.59981	3.37098e-05	0.210686	0.0237327	0.320279	0.0413786	0.019639938106945882
19	A1-1	2.7999	4.58556e-05	0.286598	0.605501	0.340454	1.54661	0.5396443799328676
20	A1-1	2.99982	5.93868e-05	0.371167	0.514519	-0.0319375	1.82355	0.4913017590464669
21	A1-1	3.19983	8.34405e-05	0.521503	0.806619	0.262155	4.28452	0.8215714962330033
22	A1-1	3.39989	0.00012179	0.761188	1.03988	0.376294	8.56627	1.1253816402780914
23	A1-1	3.59983	0.000163401	1.02126	1.11781	0.516081	13.0808	1.2808491471319743
24	A1-1	3.79982	0.00023018	1.43863	1.18181	0.436587	20.5641	1.4294224366237323
25	A1-1	3.99978	0.000315368	1.97105	1.20093	0.586287	30.137	1.528982014662236
26	A1-1	4.19976	0.000442822	2.76764	1.14978	0.562424	42.5401	1.53705322946626
27	A1-1	4.39968	0.00058926	3.68288	1.13122	0.544305	58.3454	1.5842329915718134
28	A1-1	4.59967	0.000752604	4.70378	1.12063	0.570065	77.1763	1.6407293708464255
29	A1-1	4.80001	0.000949658	5.93536	1.09656	0.579937	99.4424	1.6754232262238518
30	A1-1	4.99997	0.00120957	7.55981	1.05389	0.561643	126.802	1.677317287074675
31	A1-1	5.20005	0.00151843	9.49019	0.977171	0.553733	153.498	1.6174386392685498
32	A1-1	5.40002	0.00187001	11.6876	0.918766	0.539912	184.576	1.5792463807796298
33	A1-1	5.59992	0.00226195	14.1372	0.863085	0.535768	217.495	1.5384588178705827
34	A1-1	5.79997	0.00269798	16.8624	0.81035	0.515861	252.271	1.4960563146408576
35	A1-1	5.99993	0.003181	19.8812	0.761633	0.496377	289.192	1.4546003259360603
36	A1-1	6.19995	0.00370017	23.1261	0.720368	0.490272	328.772	1.4216491323655955
37	A1-1	6.39998	0.00425588	26.5993	0.68135	0.477422	369.206	1.388029008282173
38	A1-1	6.59993	0.00484934	30.3084	0.646972	0.468587	411.944	1.3591743543044175
39	A1-1	6.79994	0.00548626	34.2891	0.613709	0.453355	455.485	1.3283667404510473
40	A1-1	6.99991	0.00618379	38.6487	0.583302	0.444997	502.309	1.2996789025245352
41	A1-1	7.19988	0.00692298	43.2686	0.553592	0.43685	548.957	1.2687191173275771
42	A1-1	7.39988	0.00771096	48.1935	0.528094	0.427239	599.479	1.243900111010821
43	A1-1	7.59992	0.00854841	53.4276	0.503798	0.42118	651.15	1.2187521056532578
44	A1-1	7.79988	0.0094423	59.0144	0.479561	0.410147	702.651	1.190643300618154
45	A1-1	7.99988	0.0103949	64.9681	0.458631	0.39952	758.747	1.1678762346443867
46	A1-1	8.19979	0.0113874	71.1713	0.436304	0.391046	810.487	1.1387834703033384
47	A1-1	8.39984	0.0124319	77.6994	0.417335	0.382587	867.009	1.1158503154464514
48	A1-1	8.59976	0.0135309	84.5681	0.398984	0.374702	923.632	1.0921754183906223
49	A1-1	8.79979	0.0146859	91.7869	0.381844	0.368964	981.723	1.0695676616162
50	A1-1	8.99981	0.0158922	99.3262	0.366045	0.360642	1041.56	1.048625639559351
51	A1-1	9.19971	0.0171516	107.197	0.350348	0.352962	1099.79	1.0259522188120935
52	A1-1	9.39971	0.0184633	115.396	0.335878	0.346862	1159.67	1.0049481784463934
53	A1-1	9.59999	0.0198272	123.92	0.322022	0.339609	1219.41	0.9840300193673338
54	A2-1	-0.999962	-6.07333e-07	-0.00379583	-7.52366	-42.1811	-0.0909012	2.394764781352168
55	A2-1	-0.799978	-5.21227e-07	-0.00325767	-14.6673	-65.6405	-0.121671	3.734908692408992
56	A2-1	-0.599962	-1.48034e-07	-0.000925212	-312.01	-95.2592	-0.551295	59.58580303757409
57	A2-1	-0.399954	-7.7172e-08	-0.000482325	-716.695	-175.98	-0.440083	91.24200487223347
58	A2-1	-0.199988	-6.32894e-10	-3.95559e-06	-296357.0	-69966.7	-0.746243	18865.529541737134
59	A2-1	6.814e-05	2.96744e-08	0.000185465	-14057300.0	-1300.39	-0.565477	-304.8968808130914
60	A2-1	0.200057	6.46168e-08	0.000403855	-4091.67	-315.192	-1.05228	-260.55886394869447
61	A2-1	0.399971	1.32577e-07	0.000828606	-574.211	-139.24	-0.605757	-73.10555318209137
62	A2-1	0.599964	3.3747e-07	0.00210919	-50.0804	-74.9247	-0.201725	-9.56409806608224
63	A2-1	0.799971	6.57846e-07	0.00411154	-14.9065	-27.4644	-0.156065	-3.795779683524908
64	A2-1	0.999984	7.20947e-07	0.00450592	-3.17491	-23.9325	-0.0455363	-1.010588292734891
65	A2-1	1.19999	3.52198e-07	0.00220124	-40.76	-64.3421	-0.342712	-15.569042903090985
66	A2-1	1.39999	4.53306e-07	0.00283316	-34.4604	-59.8296	-0.435077	-15.356598286012792
67	A2-1	1.6	6.25404e-07	0.00390877	1.6948	-53.0487	0.0337389	0.8631589988666513
68	A2-1	1.79998	9.11548e-07	0.00569717	-11.2045	-27.8817	-0.365737	-6.41962588443034
69	A2-1	1.99997	1.4605e-06	0.00912813	-13.487	-12.1179	-0.783739	-8.585975440752925
