	Pixel	HATCN	TAPC	CBP	TxOPhCz	tBuO-BsubPc	B3PYMPM	LiQ	Al
0	A1	113.13675224416517	261.58636473214284	151.95984097487116	47.053228810020876	1.7426891841970311	445.0640606837607	11.214712665847665	695.3706329080645
1	A2	110.73459784560143	270.666721875	155.32092344909793	45.31460668058455	1.7258114514035088	462.423035042735	11.112255663390663	687.0973103274193
2	A3	108.33244344703769	279.7470790178571	158.68200592332477	43.575984551148224	1.7089337186099864	479.7820094017094	11.00979866093366	678.8239877467742
3	A4	105.93028904847397	288.8274361607143	162.04308839755154	41.837362421711894	1.6920559858164643	497.1409837606837	10.907341658476659	670.5506651661291
4	A5	103.52813464991023	297.9077933035714	165.40417087177835	40.09874029227557	1.675178253022942	514.4999581196581	10.804884656019656	662.2773425854839
5	B1	107.98953500897666	273.3506504464286	153.7190149439433	44.608134864300624	1.8821857294062079	457.6290179487179	10.597218808353807	599.6604522629033
6	B2	105.58738061041292	282.4310075892857	157.0800974181701	42.8695127348643	1.8653079966126855	474.9879923076923	10.494761805896804	591.3871296822581
7	B3	103.1852262118492	291.51136473214285	160.44117989239692	41.13089060542797	1.8484302638191634	492.3469666666667	10.392304803439801	583.1138071016129
8	B4	100.78307181328546	300.59172187499996	163.80226236662372	39.39226847599165	1.831552531025641	509.705941025641	10.2898478009828	574.8404845209677
9	B5	98.38091741472172	309.67207901785713	167.16334484085053	37.65364634655533	1.8146747982321187	527.0649153846153	10.187390798525797	566.5671619403226
10	C1	101.57660861759425	288.0077933035714	155.91077267590205	41.561788308977036	2.055984703765182	473.28371880341876	9.827882199017198	480.41498129516134
11	C2	99.17445421903052	297.0881504464286	159.27185515012886	39.82316617954071	2.03910697097166	490.6426931623932	9.725425196560197	472.1416587145161
12	C3	96.77229982046678	306.1685075892857	162.6329376243557	38.084544050104384	2.0222292381781375	508.0016675213675	9.622968194103194	463.868336133871
13	C4	94.37014542190305	315.24886473214286	165.99402009858247	36.345921920668054	2.005351505384615	525.3606418803419	9.520511191646191	455.5950135532259
14	C5	91.96799102333932	324.32922187500003	169.3551025728093	34.60729979123173	1.988473772591093	542.7196162393162	9.418054189189188	447.3216909725807
15	D1	96.42939138240575	299.77207901785715	157.66994664497423	39.116694363256784	2.195481248974359	485.84867606837605	9.210388341523341	384.70480065000004
16	D2	94.02723698384202	308.8524361607143	161.03102911920104	37.37807223382046	2.1786035161808366	503.20765042735036	9.107931339066338	376.43147806935485
17	D3	91.62508258527828	317.93279330357143	164.39211159342784	35.63945010438413	2.1617257833873142	520.5666247863247	9.005474336609335	368.15815548870967
18	D4	89.22292818671454	327.0131504464286	167.75319406765465	33.90082797494781	2.1448480505937924	537.9255991452991	8.903017334152333	359.88483290806454
19	D5	86.82077378815082	336.09350758928565	171.11427654188145	32.16220584551149	2.12797031780027	555.2845735042735	8.80056033169533	351.61151032741935
