	Timestamp	Filtered Rate: CBP	Filtered Rate: TxOPhCz	Filtered Rate: F-BsubPc	Source Power: CBP	Source Power: TxOPhCz	Source Power: F-BsubPc	Thickness: CBP	Thickness: TxOPhCz	Thickness: F-BsubPc	State: CBP	State: TxOPhCz	State: F-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: TxOPhCz	Fundamental  Frequency: F-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: TxOPhCz	Current Z-Ratio: F-BsubPc
26	11:56:40	0.000	0.006	-0.000	8.787	2.173	14.040	0.000	0.000	-0.000	Manual	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	783
27	11:56:41	-0.001	0.002	-0.000	9.107	2.264	14.640	0.000	0.000	-0.000	Manual	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	783
28	11:56:42	0.000	0.001	-0.000	9.880	2.356	15.240	0.000	0.000	-0.000	Manual	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	782
29	11:56:43	0.000	-0.002	-0.000	11.008	2.448	15.840	0.000	0.000	-0.000	Manual	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	784
30	11:56:44	0.000	-0.002	-0.000	13.618	2.539	16.440	0.000	0.000	-0.000	Manual	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	783
31	11:56:45	-0.001	-0.003	-0.000	17.219	2.631	17.040	0.000	0.000	-0.000	Manual	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	782
32	11:56:46	-0.000	0.001	-0.000	19.219	2.723	17.640	0.000	0.000	-0.000	Manual	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	784
33	11:56:47	0.000	-0.001	-0.000	19.333	2.814	18.000	0.000	0.000	-0.000	Manual	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	780
34	11:56:48	0.000	-0.002	-0.000	19.810	2.906	18.000	0.000	0.000	-0.000	Manual	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	784
35	11:56:49	0.000	0.000	-0.000	20.143	2.998	18.000	0.000	0.000	-0.000	Manual	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	784
36	11:56:50	-0.001	-0.002	-0.000	20.143	3.089	18.000	0.000	0.000	-0.000	Manual	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	781
37	11:56:51	0.000	0.001	-0.000	20.143	3.181	18.000	-0.000	0.000	-0.000	Manual	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	784
38	11:56:52	-0.001	0.005	-0.000	20.143	3.236	18.000	-0.000	0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	781
39	11:56:53	-0.001	0.002	-0.001	20.143	3.346	18.000	-0.000	0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	781
40	11:56:54	-0.001	0.001	-0.001	20.143	3.781	18.000	-0.000	0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	782
41	11:56:55	-0.001	0.005	-0.001	20.143	4.394	18.000	-0.000	0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	783
42	11:56:56	-0.001	0.001	-0.001	20.143	5.648	18.000	-0.000	0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	782
43	11:56:57	-0.001	0.002	-0.001	20.143	8.515	18.000	-0.000	0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	782
44	11:56:58	-0.001	-0.002	-0.001	20.143	10.330	18.000	-0.000	0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	780
45	11:56:59	-0.001	-0.002	-0.001	20.143	10.330	18.000	-0.000	0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	783
46	11:57:00	-0.001	-0.001	-0.002	20.143	10.513	18.000	-0.000	0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	780
47	11:57:01	0.000	-0.003	-0.002	20.143	10.563	18.000	-0.000	0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	783
48	11:57:02	-0.001	-0.001	-0.002	20.143	10.826	18.000	-0.000	0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	781
49	11:57:03	-0.001	0.001	-0.002	20.143	11.449	18.000	-0.000	0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	783
50	11:57:04	-0.001	-0.002	-0.002	20.143	12.373	18.000	-0.000	0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	782
51	11:57:05	-0.001	0.002	-0.002	20.143	12.905	18.000	-0.000	0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	783
52	11:57:06	-0.001	0.001	-0.003	20.143	13.072	18.000	-0.000	0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	782
