Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99957E-1	-3.10207E-6	-1.93879E-2	-1.69276E+1	-3.53350E+0	-1.04462E+0
-7.99977E-1	-1.77358E-6	-1.10849E-2	-1.48734E+1	-6.58868E+0	-4.19824E-1
-5.99949E-1	-8.88541E-7	-5.55338E-3	-4.65393E+1	-3.20182E+1	-4.93563E-1
-3.99940E-1	-3.99737E-7	-2.49836E-3	-9.98950E+1	-4.69946E+1	-3.17719E-1
-1.99987E-1	-1.24648E-7	-7.79050E-4	-1.49615E+3	-2.64241E+2	-7.41982E-1
4.62294E-5	4.80401E-10	3.00251E-6	-5.41669E+8	-4.02014E+4	-2.39324E-1
2.00044E-1	1.27622E-7	7.97638E-4	-7.60811E+2	-8.40580E+1	-3.86418E-1
3.99981E-1	4.03962E-7	2.52476E-3	-2.79935E+2	-1.61543E+1	-8.99844E-1
5.99973E-1	8.88938E-7	5.55586E-3	-3.11505E+0	-1.96182E+1	-3.30520E-2
7.99984E-1	1.67941E-6	1.04963E-2	-2.10084E+1	-9.51405E+0	-5.61516E-1
9.99986E-1	3.08704E-6	1.92940E-2	-7.90406E+0	-1.81599E+1	-4.85419E-1
1.20000E+0	4.87596E-6	3.04748E-2	-8.58152E+0	-2.27078E+0	-9.98931E-1
1.40000E+0	7.11386E-6	4.44616E-2	-2.46810E+0	-2.10324E+0	-4.89020E-1
1.60001E+0	1.06427E-5	6.65169E-2	-2.61843E+0	-8.77278E-1	-8.87046E-1
1.79999E+0	1.43549E-5	8.97181E-2	-8.91618E-1	1.86567E-1	-4.58331E-1
1.99997E+0	2.39463E-4	1.49664E+0	2.10368E-2	-1.31542E-2	2.00434E-1
2.19992E+0	4.66309E-3	2.91443E+1	-2.60599E-4	1.39923E-3	-5.31843E-2
2.39993E+0	4.82568E-3	3.01605E+1	9.25518E-4	1.50222E-4	2.13242E-1
2.59994E+0	5.61329E-3	3.50831E+1	-2.32977E-3	-9.88804E-4	-6.76431E-1
2.79987E+0	7.42354E-3	4.63971E+1	1.10408E-4	2.37352E-3	4.56541E-2
2.99988E+0	8.34574E-3	5.21609E+1	-1.80169E-3	-3.27757E-3	-8.97388E-1
3.19996E+0	9.95059E-3	6.21912E+1	-6.11951E-4	1.12668E-3	-3.87651E-1
3.39984E+0	5.90443E-3	3.69027E+1	-4.09934E-4	-1.71397E-3	-1.63712E-1
3.59984E+0	4.80178E-3	3.00111E+1	-7.14471E-4	1.36095E-3	-2.45697E-1
3.79982E+0	5.25141E-3	3.28213E+1	-2.12833E-3	-2.07249E-3	-8.44905E-1
3.99984E+0	5.79320E-3	3.62075E+1	-1.19765E-3	-3.45938E-3	-5.52104E-1
4.19981E+0	6.57951E-3	4.11219E+1	-6.81920E-5	4.26529E-4	-3.74875E-2
4.39979E+0	7.45934E-3	4.66209E+1	-4.33780E-4	-4.04849E-3	-2.83225E-1
4.59973E+0	7.66591E-3	4.79119E+1	7.34078E-4	-2.38563E-3	5.14954E-1
4.80012E+0	6.60105E-3	4.12566E+1	1.31739E-3	-3.13552E-3	8.30441E-1
5.00005E+0	1.08523E-2	6.78269E+1	5.18431E-4	2.22065E-3	5.59651E-1
5.20007E+0	1.05654E-2	6.60337E+1	9.70846E-4	-9.53598E-4	1.06115E+0
5.40001E+0	1.64017E-2	1.02511E+2	3.51137E-4	4.94514E-4	6.18715E-1
5.59994E+0	1.92339E-2	1.20212E+2	8.83507E-5	-1.30095E-3	1.89318E-1
5.72544E+0	2.00016E-2	1.25010E+2	3.21561E-4	-8.73233E-5	7.32599E-1
