	Pixel	Max Current (A)	Max Luminance (cd/m2)	Status	Turnon Voltage (V)	EQE(%)_max	EQE(%)_avg	CE(cd/A)_max	CE(cd/A)_avg	PE(lm/W)_max	PE(lm/W)_avg	V (V) @ 100 cd/m2	EQE(%) @ 100 cd/m2	CE(cd/A) @ 100 cd/m2	PE(lm/W) @ 100 cd/m2	λmax (nm) @ 100 cd/m2	FWHM (nm) @ 100 cd/m2	CIE-x @ 100 cd/m2	CIE-y @ 100 cd/m2	Hex Color @ 100 cd/m2	V (V) @ 250 cd/m2	EQE(%) @ 250 cd/m2	CE(cd/A) @ 250 cd/m2	PE(lm/W) @ 250 cd/m2	λmax (nm) @ 250 cd/m2	FWHM (nm) @ 250 cd/m2	CIE-x @ 250 cd/m2	CIE-y @ 250 cd/m2	Hex Color @ 250 cd/m2
0	A1-1	0.0200006	405.84	Working	3.6	0.153714	0.12562209032258065	0.4620811460530835	0.38263325872254	0.382028	0.20129370967741936	6.40013	0.153361	0.3945661495283387	0.193678	577.5	30.0	0.5178285875614932	0.4324073561857697	#ffc800	8.19999	0.147103	0.3572777166109187	0.136881	577.5	31.0	0.5046767234820518	0.4197313668117393	#ffbf00
1	A2-1	0.0200002	431.59	Working	3.2	0.208559	0.15574512058823528	0.5052465015956084	0.39967940683673786	0.371205	0.2072061117647059	6.20003	0.175345	0.45619232703205903	0.231156	577.0	29.5	0.5189514962076217	0.43799008182523036	#ffcf00	7.99992	0.164099	0.4025791905413598	0.158094	577.5	30.5	0.506519000108674	0.4236862058429355	#ffc400
2	A3-2	0.0199996	401.78	Working	3.6	0.163587	0.13899153939393938	0.5098530788167654	0.3694426860194668	0.444969	0.19046766666666667	6.7999	0.142733	0.3740846852986377	0.17283	577.5	30.0	0.5195146734114547	0.4324902911729501	#ffc600	8.5998	0.144694	0.3503239649112099	0.127977	577.5	31.5	0.5038330334958607	0.41898541269581696	#ffbf00
3	A4-1	0.0199995	476.53	Working	3.6	0.824488	0.24066491176470586	0.783870337995977	0.5263309249531785	0.684108	0.2784055	6.40002	0.208772	0.5398754598933637	0.265011	577.5	29.5	0.5201867667813059	0.4366964179099265	#ffcc00	8.1998	0.184599	0.45660536759452575	0.174939	577.5	30.5	0.5060629862215226	0.42314742141798944	#ffc300
4	B1-1	0.0200006	435.18	Working	3.4	0.466311	0.1932701612903226	0.5327104559907763	0.430101463128372	0.464907	0.2382564838709677	6.40008	0.1687	0.42919679792844284	0.210679	577.5	29.5	0.5223886561001709	0.437326726083748	#ffcb00	7.9999	0.152028	0.3818798037504877	0.149966	577.5	30.0	0.5108722429095626	0.4264865166997288	#ffc400
5	B2-1	0.0200008	432.52	Working	3.6	0.207486	0.14931958999999997	0.484313366614704	0.41614499790467185	0.403544	0.2238434	6.39998	0.153352	0.41960441578631524	0.205973	578.0	28.5	0.5266921615767293	0.4393001668936379	#ffcb00	7.99996	0.14601	0.379190142762907	0.148908	577.5	30.5	0.5133620161889667	0.42836249192358855	#ffc500
6	B3-1	0.0199588	0.36	Short Circuit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7	B4-1	0.0199999	495.39	Working	3.6	0.304822	0.19036275	0.7657273620990195	0.5409311895786968	0.668264	0.29224475000000005	6.40007	0.189844	0.5353357737743178	0.262779	577.5	29.5	0.5265953579896963	0.44059966059198136	#ffcc00	8.19987	0.178456	0.46337701724328506	0.177532	577.5	30.5	0.5130029783975684	0.42931406858554017	#ffc700
8	B5-1	0.0200005	0.47	Short Circuit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9	C1-1	0.0199995	427.7	Working	3.8	0.282375	0.1647885142857143	0.6781531113175003	0.4604312274304121	0.532646	0.23206045714285714	6.99996	0.165866	0.45316825496662705	0.203384	577.5	29.5	0.5261794907582424	0.4412406441410402	#ffce00	9.00002	0.15059	0.3900189649068428	0.136142	577.5	30.5	0.5185987586521927	0.43200687993057285	#ffc600
10	C2-1	0.0198079	447.91	Working	3.4	0.402459	0.17181602702702703	0.8621807091117042	0.468561814538507	0.796697	0.24801783783783785	6.99997	0.154218	0.4278438561450276	0.192018	578.0	30.0	0.529329734869349	0.44103733672875817	#ffcb00	8.7999	0.160261	0.41794670639734194	0.149208	578.0	31.0	0.521191214223332	0.4338391441801573	#ffc700
11	C3-1	0.0197633	440.67	Working	3.6	0.297324	0.16946005405405404	0.7015132905091848	0.47421413509132554	0.553227	0.242000972972973	7.00003	0.1685	0.4595656594337635	0.206252	578.0	30.0	0.5308798635260555	0.4438072577013956	#ffcd00	9.00005	0.15609	0.4154805790473187	0.145029	578.0	31.0	0.5211661193301254	0.4346170962035666	#ffc800
12	C4-1	0.0200006	482.12	Working	3.6	0.251436	0.14787091282051287	1.0043036509172203	0.5494023292145858	0.876492	0.28207625641025635	7.00002	0.173648	0.519663397567955	0.233223	577.5	30.0	0.5305247844160798	0.4431871047158642	#ffcd00	8.99996	0.167276	0.46032511775897483	0.160684	578.0	31.0	0.5222621085779154	0.43570895780076474	#ffc900
13	C5-1	0.0200008	480.14	Working	3.6	0.578285	0.2321538780487805	0.8754888054777126	0.5514013620871276	0.654901	0.27270270731707313	7.19993	0.198306	0.5489668027785359	0.239535	578.0	30.0	0.530572475589077	0.4450174550526695	#ffcf00	9.19985	0.18046	0.4744374733231852	0.162013	578.0	31.0	0.5231635379027317	0.4362355144003874	#ffc900
14	D1-1	0.0200006	386.66	Working	3.6	0.59424	0.1829412058823529	0.6853069826204201	0.42388590765531836	0.598072	0.22552955882352937	6.99996	0.150776	0.40114597372299593	0.180036	578.0	29.0	0.5313385201999626	0.44358509731077794	#ffcd00	8.99989	0.131532	0.3441209591602699	0.120122	577.5	31.5	0.5224924613842388	0.4338425248689122	#ffc600
15	D2-1	0.0200002	275.27	Working	3.8	0.454699	0.141005475	0.5886087850099482	0.3128780005847321	0.486647	0.15867436666666668	7.99998	0.105639	0.2774016543715882	0.108936	578.0	30.0	0.5316858164811217	0.44202990004736437	#ffcb00	10.4002	0.0879147	0.22907470326877494	0.0691963	578.0	32.0	0.5238984545424747	0.4344184073708395	#ffc600
16	D3-1	0.0200004	382.97	Working	4.0	0.14221	0.10434261794871795	0.5414820747207227	0.3750497518466533	0.425303	0.1721133435897436	7.99989	0.128365	0.369258257438519	0.145009	578.0	31.0	0.5313583106340158	0.44094105669429023	#ffc900	10.2002	0.127918	0.3350377589777646	0.10319	578.0	32.0	0.5235606834160561	0.43286636280525304	#ffc400
17	D4-1	0.0200004	461.73	Working	3.6	0.278341	0.16390652432432434	1.0746101449754908	0.5658277206602652	0.937809	0.30047545945945947	7.00001	0.178563	0.5295639718453031	0.237669	578.0	30.0	0.532966178132916	0.4464271082641112	#ffcf00	8.99993	0.162891	0.4418037566185714	0.15422	578.0	31.5	0.5272334014826069	0.43732249347959323	#ffc700
18	D5-1	0.0200008	1.13	Short Circuit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
