	Wavelength (nm)	Intensity (Counts)	Standard Deviation (Counts)
0	380.0	-6.636833333333328	204.36864405182936
1	380.5	25.24722222222222	172.9040538309407
2	381.0	27.34444444444446	233.3302307703784
3	381.5	-69.26444444444444	219.46291532390873
4	382.0	-48.459183333333335	199.1714928373543
5	382.5	111.35972222222223	142.14231691114117
6	383.0	-60.91779999999999	168.61376845043756
7	383.5	18.13396111111111	257.4256785485497
8	384.0	-91.62861111111111	185.3877309841724
9	384.5	1.6899444444444418	240.0531431094355
10	385.0	43.42611111111111	218.2326053686471
11	385.5	-38.76382777777778	138.42995112119104
12	386.0	-3.758333333333338	137.22402791097159
13	386.5	24.3155	188.81234525853384
14	387.0	-79.91944444444442	176.2671984192755
15	387.5	25.94722222222222	228.62518005109382
16	388.0	32.51777777777777	179.50854874584527
17	388.5	31.136777777777777	196.5579727625063
18	389.0	19.71194444444445	161.82661253757308
19	389.5	-51.34638888888888	202.57759536509542
20	390.0	83.80555555555557	180.80369001956612
21	390.5	-5.635555555555552	274.66949748181645
22	391.0	-19.0815	203.51087242980137
23	391.5	-19.890666666666668	194.99344659985084
24	392.0	-26.231666666666666	152.40511282069536
25	392.5	-83.30011111111112	190.19267892846892
26	393.0	26.35466666666667	228.9982763845857
27	393.5	15.29222222222221	257.69456531922
28	394.0	44.52111111111111	182.76038538324465
29	394.5	-13.01983333333333	123.8434355117828
30	395.0	-26.295000000000005	139.42030077949354
31	395.5	86.21722222222223	123.75235969941278
32	396.0	-58.87666666666665	275.0120619172912
33	396.5	28.741277777777775	233.62894712195177
34	397.0	12.84888888888889	187.93071618991485
35	397.5	-51.656111111111116	174.36515022404654
36	398.0	-0.3081111111111091	157.65961436161868
37	398.5	29.149555555555562	181.03184677172203
38	399.0	-23.91777777777779	146.43536179472022
39	399.5	97.05445555555558	180.81190505561057
40	400.0	11.079444444444446	206.18488600369818
41	400.5	135.86166666666668	162.97649510998
42	401.0	58.27461111111111	137.82605916844724
43	401.5	11.047946666666668	145.32599586284746
44	402.0	-18.823833333333337	192.8292274608258
