	Pixel	Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)	CE(cd/A)
0	A1-1	-0.999971	-1.49234e-06	-0.00932713	-2.43006	0.630921	-0.0721445	0.7734908809033433
1	A1-1	-0.79999	-1.06686e-06	-0.00666788	-2.20028	-22.6367	-0.0373595	0.5602905271240634
2	A1-1	-0.599966	-7.13645e-07	-0.00446028	9.3599	16.8192	0.0797279	-1.7875088559462635
3	A1-1	-0.399957	-3.86619e-07	-0.00241637	-115.113	21.6032	-0.354119	14.65499902746682
4	A1-1	-0.200006	-1.46425e-07	-0.000915156	329.583	-89.9136	0.192023	-20.98254286700847
5	A1-1	4.31538e-05	8.82006e-10	5.51254e-06	578228000.0	-19822.8	0.437845	7942.708805741092
6	A1-1	0.200035	1.92283e-07	0.00120177	-257.302	-129.399	-0.196889	-16.383251370894598
7	A1-1	0.399978	4.65957e-07	0.00291223	-31.237	-9.17098	-0.115819	-3.976986707780635
8	A1-1	0.59997	8.71595e-07	0.00544747	-49.3404	-0.841861	-0.513307	-9.422851341999129
9	A1-1	0.799986	1.42147e-06	0.00888419	-3.20081	-25.7083	-0.0724119	-0.8150647385974411
10	A1-1	0.999985	2.04861e-06	0.0128038	-7.71862	-6.95266	-0.314574	-2.4568799887533386
11	A1-1	1.19999	2.80702e-06	0.0175439	-9.84221	-10.0254	-0.659547	-3.7594092533587173
12	A1-1	1.4	3.65675e-06	0.0228547	0.862971	-8.90736	0.0878921	0.38456903831597
13	A1-1	1.6	4.54048e-06	0.028378	-2.12952	-5.96045	-0.307775	-1.0845549369229686
14	A1-1	1.79998	5.78842e-06	0.0361776	-2.78656	-5.68318	-0.5776	-1.5965680421034012
15	A1-1	1.99996	7.15187e-06	0.0446992	-0.229864	-4.74757	-0.0654096	-0.14633282027418834
16	A1-1	2.19993	8.58419e-06	0.0536512	-1.61257	-0.405975	-0.605838	-1.129216121913396
17	A1-1	2.39991	1.04496e-05	0.06531	-0.181901	-1.89813	-0.0907526	-0.13895666819782576
18	A1-1	2.59995	1.40578e-05	0.0878612	0.210113	-0.922751	0.15278	0.17388790501381726
19	A1-1	2.79993	2.22264e-05	0.138915	0.944641	-0.626729	1.16953	0.841903322175431
20	A1-1	2.99986	3.50473e-05	0.219046	0.91117	-0.0980542	1.90583	0.8700592569597253
21	A1-1	3.19989	5.9937e-05	0.374606	1.24899	0.480039	4.76562	1.272168625168844
22	A1-1	3.39986	0.000106465	0.665406	1.36333	0.242455	9.81744	1.4754059927322565
23	A1-1	3.59992	0.000175252	1.09533	1.24784	0.419217	15.6619	1.4298795796700539
24	A1-1	3.79987	0.000287996	1.79997	1.11427	0.49046	24.2591	1.3477502402817825
25	A1-1	3.99983	0.000403357	2.52098	1.15646	0.457516	37.1185	1.4723837555236454
26	A1-1	4.19979	0.000586897	3.66811	1.07711	0.498918	52.8176	1.439913197804864
27	A1-1	4.39977	0.000821045	5.13153	1.0172	0.491775	73.1028	1.4245809729262033
28	A1-1	4.59974	0.00110786	6.92413	0.973263	0.470883	98.6685	1.4249949091077145
29	A1-1	4.8001	0.00145094	9.06837	0.900366	0.476667	124.752	1.3756827301929673
30	A1-1	5.0001	0.00182806	11.4254	0.849504	0.464498	154.477	1.3520489435818441
31	A1-1	5.2001	0.00226987	14.1867	0.792739	0.438108	186.154	1.3121726687672255
32	A1-1	5.40007	0.00273011	17.0632	0.75149	0.435151	220.411	1.2917330864081769
33	A1-1	5.6	0.00325319	20.3324	0.708956	0.426426	256.949	1.2637416143691842
34	A1-1	5.80004	0.00381531	23.8457	0.670227	0.423385	295.062	1.237380324335205
35	A1-1	6.00005	0.00441766	27.6104	0.638706	0.417381	336.805	1.219848318025092
36	A1-1	6.20008	0.005084	31.775	0.605188	0.406263	379.51	1.194366640440598
