	Timestamp	Filtered Rate: AlQ3	Source Power: AlQ3	Thickness: AlQ3	State: AlQ3	Fundamental  Frequency: AlQ3	Current Z-Ratio: AlQ3
0	14:37:24	-0.000	0.000	-0.000	Ready	5859512.917	2.644
1	14:37:25	-0.000	0.000	-0.000	Ready	5859512.921	2.644
2	14:37:26	0.000	0.000	-0.000	Ready	5859512.921	2.644
3	14:37:27	0.000	0.000	-0.000	Ready	5859512.921	2.644
4	14:37:28	-0.000	0.000	-0.000	Ready	5859512.928	2.644
5	14:37:29	-0.002	0.000	-0.000	Ready	5859512.931	2.644
6	14:37:30	-0.000	0.000	-0.000	Ready	5859512.935	2.644
7	14:37:31	-0.000	0.000	-0.000	Ready	5859512.938	2.644
8	14:37:32	-0.000	0.000	-0.000	Ready	5859512.938	2.644
9	14:37:33	-0.000	0.000	-0.000	Ready	5859512.942	2.644
10	14:37:34	0.000	0.000	-0.000	Ready	5859512.945	2.644
11	14:37:35	-0.002	0.000	-0.000	Ready	5859512.945	2.644
12	14:37:36	-0.002	0.000	-0.000	Ready	5859512.949	2.644
13	14:37:37	-0.002	0.000	-0.000	Ready	5859512.952	2.644
14	14:37:38	-0.002	0.000	-0.000	Ready	5859512.959	2.644
15	14:37:39	-0.002	0.000	-0.000	Ready	5859512.959	2.644
16	14:37:40	-0.003	0.000	-0.000	Ready	5859512.963	2.644
17	14:37:41	0.000	0.000	-0.000	Ready	5859512.963	2.644
18	14:37:42	-0.002	0.000	-0.000	Ready	5859512.966	2.644
19	14:37:43	0.000	0.000	-0.000	Ready	5859512.970	2.644
20	14:37:44	0.000	0.000	-0.000	Ready	5859512.973	2.644
21	14:37:45	-0.000	0.000	-0.000	Ready	5859512.980	2.644
22	14:37:46	-0.000	0.000	-0.000	Ready	5859512.984	2.644
23	14:37:47	-0.002	0.000	-0.000	Ready	5859512.987	2.644
24	14:37:48	-0.002	0.000	-0.000	Ready	5859512.987	2.644
25	14:37:49	0.000	0.000	-0.000	Ready	5859512.991	2.644
26	14:37:50	-0.000	0.000	-0.000	Ready	5859512.994	2.644
27	14:37:51	0.000	0.000	-0.000	Ready	5859513.001	2.644
28	14:37:52	0.000	0.000	-0.000	Ready	5859513.005	2.644
29	14:37:53	-0.000	0.000	-0.000	Ready	5859513.005	2.644
30	14:37:54	-0.002	0.000	-0.000	Ready	5859513.015	2.644
31	14:37:55	-0.000	0.000	-0.000	Ready	5859513.019	2.644
32	14:37:56	-0.000	0.000	-0.000	Ready	5859513.025	2.644
33	14:37:57	-0.002	0.000	-0.000	Ready	5859513.032	2.644
34	14:37:58	0.000	0.000	-0.000	Ready	5859513.036	2.644
35	14:37:59	-0.002	0.000	-0.000	Ready	5859513.043	2.644
36	14:38:00	-0.003	0.000	-0.000	Ready	5859513.050	2.644
37	14:38:01	-0.002	0.000	-0.000	Ready	5859513.053	2.644
38	14:38:02	-0.003	0.000	-0.000	Ready	5859513.057	2.644
39	14:38:03	-0.000	0.000	-0.000	Ready	5859513.060	2.644
40	14:38:04	-0.002	0.000	-0.000	Ready	5859513.071	2.644
41	14:38:05	-0.002	0.000	-0.000	Ready	5859513.074	2.644
42	14:38:06	-0.001	0.000	-0.000	Ready	5859513.081	2.644
43	14:38:07	0.000	0.000	-0.000	Ready	5859513.085	2.644
44	14:38:08	0.000	0.000	-0.000	Ready	5859513.092	2.644
45	14:38:09	0.000	0.000	-0.000	Ready	5859513.099	2.644
46	14:38:10	0.000	0.000	-0.000	Ready	5859513.106	2.644
47	14:38:11	-0.006	0.000	-0.000	Ready	5859513.116	2.644
48	14:38:12	0.000	0.000	-0.000	Ready	5859513.120	2.644
49	14:38:13	-0.006	0.000	-0.000	Ready	5859513.130	2.644
50	14:38:14	0.000	0.000	-0.000	Ready	5859513.134	2.644
51	14:38:15	0.000	0.075	-0.000	PreCon Rise	5859513.141	2.644
52	14:38:16	0.000	0.325	-0.000	PreCon Rise	5859513.148	2.644
53	14:38:17	0.000	0.575	-0.000	PreCon Rise	5859513.158	2.644
54	14:38:18	0.000	0.825	-0.000	PreCon Rise	5859513.165	2.644
55	14:38:19	-0.006	1.075	-0.000	PreCon Rise	5859513.176	2.644
56	14:38:20	0.000	1.325	-0.000	PreCon Rise	5859513.179	2.644
57	14:38:21	0.000	1.575	-0.000	PreCon Rise	5859513.186	2.644
58	14:38:22	0.000	1.825	-0.000	PreCon Rise	5859513.190	2.644
59	14:38:23	0.000	2.075	-0.000	PreCon Rise	5859513.197	2.644
60	14:38:24	0.000	2.325	-0.000	PreCon Rise	5859513.204	2.644
61	14:38:25	0.000	2.575	-0.000	PreCon Rise	5859513.211	2.644
62	14:38:26	-0.006	2.825	-0.000	PreCon Rise	5859513.218	2.644
63	14:38:27	0.000	3.075	-0.000	PreCon Rise	5859513.221	2.644
64	14:38:28	0.000	3.325	-0.000	PreCon Rise	5859513.228	2.644
65	14:38:29	-0.006	3.575	-0.000	PreCon Rise	5859513.235	2.644
66	14:38:30	0.000	3.825	-0.000	PreCon Rise	5859513.242	2.644
67	14:38:31	0.000	4.075	-0.000	PreCon Rise	5859513.249	2.644
68	14:38:32	0.000	4.325	-0.000	PreCon Rise	5859513.253	2.644
