Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99977E-1	-3.91666E-6	-2.44791E-2	-2.58609E+0	-5.07766E+0	-2.01502E-1
-7.99990E-1	-2.37455E-6	-1.48409E-2	-1.92082E+1	-2.74259E+0	-7.25910E-1
-5.99967E-1	-1.30766E-6	-8.17287E-3	-1.27408E+1	-2.59688E+1	-1.98860E-1
-3.99955E-1	-6.24453E-7	-3.90283E-3	-6.78547E+1	-9.66606E+0	-3.37148E-1
-2.00008E-1	-2.21696E-7	-1.38560E-3	-3.30894E+2	-6.01657E+1	-2.91893E-1
3.76463E-5	4.04859E-10	2.53037E-6	-2.29986E+9	-8.69517E+4	-6.97362E-1
2.00026E-1	2.19252E-7	1.37033E-3	4.84985E+2	-9.72244E+1	4.23144E-1
3.99970E-1	6.21632E-7	3.88520E-3	-1.96220E+2	-2.21278E+1	-9.70586E-1
5.99967E-1	1.30926E-6	8.18288E-3	-1.51877E+1	-9.11646E+0	-2.37342E-1
7.99978E-1	2.38946E-6	1.49341E-2	-1.35751E+1	-3.91149E+0	-5.16239E-1
9.99979E-1	3.96875E-6	2.48047E-2	-3.38813E+0	-3.12675E+0	-2.67507E-1
1.19999E+0	6.26169E-6	3.91356E-2	1.99550E-1	-5.87480E-3	2.98299E-2
1.39999E+0	9.47099E-6	5.91937E-2	-4.17697E-1	4.17690E-1	-1.10182E-1
1.59999E+0	1.38090E-5	8.63063E-2	-1.15448E+0	-3.56946E-1	-5.07455E-1
1.79998E+0	1.95340E-5	1.22088E-1	-5.87247E-1	-8.02706E-1	-4.10781E-1
1.99996E+0	2.71346E-5	1.69591E-1	2.78916E-1	-3.88727E-1	3.01126E-1
2.19995E+0	3.71663E-5	2.32289E-1	1.51368E-2	-6.75924E-1	2.46221E-2
2.39994E+0	4.98693E-5	3.11683E-1	-1.07575E-1	-3.40691E-1	-2.56138E-1
2.59990E+0	6.70212E-5	4.18882E-1	1.76988E-2	-1.03011E-1	6.13539E-2
2.79988E+0	8.97426E-5	5.60891E-1	2.66571E-1	5.20736E-2	1.33254E+0
2.99980E+0	1.20249E-4	7.51556E-1	4.96624E-1	-6.48805E-2	3.56395E+0
3.19986E+0	1.61866E-4	1.01166E+0	9.11255E-1	2.72507E-1	9.38981E+0
3.39983E+0	2.17905E-4	1.36191E+0	1.30502E+0	4.80806E-1	1.92341E+1
3.59986E+0	2.95767E-4	1.84854E+0	1.68015E+0	5.61089E-1	3.55889E+1
3.79986E+0	4.01640E-4	2.51025E+0	1.94000E+0	6.36150E-1	5.89028E+1
3.99978E+0	5.31428E-4	3.32143E+0	2.15344E+0	8.03580E-1	9.10632E+1
4.19973E+0	6.94858E-4	4.34286E+0	2.28075E+0	9.05538E-1	1.32411E+2
4.39970E+0	8.72404E-4	5.45253E+0	2.38711E+0	1.00785E+0	1.82281E+2
4.59972E+0	1.08343E-3	6.77144E+0	2.46328E+0	1.08458E+0	2.44217E+2
4.80005E+0	1.31509E-3	8.21931E+0	2.42676E+0	1.12234E+0	3.04760E+2
5.00000E+0	1.54958E-3	9.68487E+0	2.40684E+0	1.17898E+0	3.70990E+2
5.20005E+0	1.82248E-3	1.13905E+1	2.33677E+0	1.17613E+0	4.40571E+2
5.40003E+0	2.10083E-3	1.31302E+1	2.27049E+0	1.19945E+0	5.12434E+2
5.60000E+0	2.40279E-3	1.50174E+1	2.19992E+0	1.20781E+0	5.88899E+2
5.80006E+0	2.71779E-3	1.69862E+1	2.13370E+0	1.21151E+0	6.69132E+2
6.00007E+0	3.06990E-3	1.91869E+1	2.05663E+0	1.20634E+0	7.53643E+2
6.20005E+0	3.47321E-3	2.17076E+1	1.96208E+0	1.19160E+0	8.40568E+2
6.40007E+0	3.90596E-3	2.44123E+1	1.87535E+0	1.16977E+0	9.32664E+2
6.59998E+0	4.38791E-3	2.74244E+1	1.78405E+0	1.15040E+0	1.02787E+3
6.80001E+0	4.88937E-3	3.05586E+1	1.70129E+0	1.13754E+0	1.12531E+3
6.99996E+0	5.43939E-3	3.39962E+1	1.61893E+0	1.11480E+0	1.22632E+3
7.19994E+0	6.03804E-3	3.77377E+1	1.53813E+0	1.08746E+0	1.33030E+3
7.39994E+0	6.68099E-3	4.17562E+1	1.46197E+0	1.06361E+0	1.43793E+3
7.59991E+0	7.35038E-3	4.59399E+1	1.38952E+0	1.03807E+0	1.54423E+3
7.79994E+0	8.08267E-3	5.05167E+1	1.31857E+0	1.01225E+0	1.65378E+3
7.99990E+0	8.85275E-3	5.53297E+1	1.25355E+0	9.87539E-1	1.76618E+3
8.19979E+0	9.67130E-3	6.04456E+1	1.18994E+0	9.65489E-1	1.87734E+3
8.39990E+0	1.05499E-2	6.59369E+1	1.13372E+0	9.41244E-1	1.99875E+3
8.59985E+0	1.14433E-2	7.15206E+1	1.07630E+0	9.15575E-1	2.10720E+3
8.79988E+0	1.23926E-2	7.74537E+1	1.02228E+0	8.89883E-1	2.21788E+3
8.99991E+0	1.33815E-2	8.36344E+1	9.74025E-1	8.67903E-1	2.33369E+3
9.19982E+0	1.43996E-2	8.99975E+1	9.29371E-1	8.47095E-1	2.44934E+3
9.39984E+0	1.54531E-2	9.65819E+1	8.88732E-1	8.27234E-1	2.56825E+3
9.60011E+0	1.65503E-2	1.03439E+2	8.49341E-1	8.08628E-1	2.68469E+3
9.80010E+0	1.76898E-2	1.10561E+2	8.12333E-1	7.89646E-1	2.80168E+3
1.00001E+1	1.88623E-2	1.17889E+2	7.77109E-1	7.71739E-1	2.91616E+3
1.01863E+1	2.00009E-2	1.25006E+2	7.44159E-1	7.52970E-1	3.01621E+3
