Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99957E-1	-1.33810E-7	-8.36312E-4	5.64638E+1	1.54520E+1	1.50304E-1
-7.99981E-1	-7.49799E-8	-4.68624E-4	-2.88544E+2	3.99753E+2	-3.44323E-1
-5.99930E-1	-3.86975E-9	-2.41859E-5	9.33016E+2	-1.51028E+3	4.30926E-2
-3.99921E-1	2.17433E-8	1.35896E-4	-2.60559E+3	-4.52283E+2	-4.50750E-1
-1.99975E-1	3.15297E-8	1.97061E-4	-2.42203E+3	-1.66193E+2	-3.03812E-1
7.79390E-5	4.22152E-8	2.63845E-4	6.43906E+5	3.11739E+2	4.21480E-2
2.00063E-1	4.13452E-8	2.58408E-4	-2.51808E+3	4.91850E+1	-4.14374E-1
4.00003E-1	4.91975E-8	3.07484E-4	1.85394E+2	-3.01677E+0	7.25827E-2
5.99996E-1	6.60868E-8	4.13043E-4	7.21786E+2	1.26228E+2	5.69380E-1
8.00003E-1	9.86741E-8	6.16713E-4	-2.04685E+2	6.33882E+1	-3.21448E-1
9.99985E-1	1.15844E-7	7.24025E-4	-8.93238E+1	-9.50660E+1	-2.05856E-1
1.20000E+0	1.90424E-7	1.19015E-3	-2.20591E+1	2.72944E+1	-1.00281E-1
1.39999E+0	2.95787E-7	1.84867E-3	-2.81511E+1	-1.03411E+2	-2.31916E-1
1.59999E+0	4.53034E-7	2.83146E-3	1.45823E+1	-4.48807E+1	2.10283E-1
1.79997E+0	6.82312E-7	4.26445E-3	-2.45705E+0	8.16149E+0	-6.00334E-2
1.99997E+0	9.91749E-7	6.19843E-3	4.67451E+0	5.72145E+0	1.84455E-1
2.19999E+0	1.52593E-6	9.53706E-3	6.66255E+0	8.95116E+0	4.44965E-1
2.39991E+0	2.67167E-6	1.66979E-2	1.68652E+0	9.68032E+0	2.15129E-1
2.59989E+0	4.80259E-6	3.00162E-2	8.52740E-2	6.26639E-1	2.11825E-2
2.79984E+0	9.76764E-6	6.10478E-2	1.13412E+0	1.42797E-1	6.17040E-1
2.99971E+0	1.99344E-5	1.24590E-1	1.11217E+0	1.29553E-1	1.32308E+0
3.19988E+0	3.92942E-5	2.45589E-1	1.06771E+0	7.18641E-1	2.67083E+0
3.39981E+0	7.33081E-5	4.58176E-1	7.96551E-1	4.60052E-1	3.94957E+0
3.59979E+0	1.32405E-4	8.27531E-1	7.44546E-1	3.31828E-1	7.05998E+0
3.79982E+0	2.17976E-4	1.36235E+0	6.48540E-1	2.61989E-1	1.06866E+1
3.99983E+0	3.44444E-4	2.15278E+0	5.98920E-1	3.18801E-1	1.64157E+1
4.19978E+0	4.91758E-4	3.07349E+0	5.97986E-1	2.85866E-1	2.45697E+1
4.39973E+0	6.90230E-4	4.31394E+0	5.42098E-1	3.00377E-1	3.27513E+1
4.59963E+0	9.16372E-4	5.72733E+0	5.32080E-1	2.85006E-1	4.46172E+1
4.79997E+0	1.17564E-3	7.34775E+0	4.98829E-1	2.88644E-1	5.60009E+1
5.00001E+0	1.46802E-3	9.17513E+0	4.70070E-1	2.82945E-1	6.86429E+1
5.20002E+0	1.79500E-3	1.12187E+1	4.40194E-1	2.71694E-1	8.17417E+1
5.40003E+0	2.14395E-3	1.33997E+1	4.16432E-1	2.70509E-1	9.59147E+1
5.60004E+0	2.53381E-3	1.58363E+1	3.96291E-1	2.68199E-1	1.11869E+2
5.80004E+0	2.95105E-3	1.84441E+1	3.74940E-1	2.51235E-1	1.27673E+2
6.00002E+0	3.40734E-3	2.12959E+1	3.59121E-1	2.51929E-1	1.46063E+2
6.20000E+0	3.91008E-3	2.44380E+1	3.39616E-1	2.43800E-1	1.63793E+2
6.39998E+0	4.45367E-3	2.78354E+1	3.24556E-1	2.42159E-1	1.84042E+2
6.59994E+0	5.04926E-3	3.15579E+1	3.08103E-1	2.38093E-1	2.04265E+2
6.79994E+0	5.68086E-3	3.55054E+1	2.95381E-1	2.36437E-1	2.27003E+2
6.99989E+0	6.36157E-3	3.97598E+1	2.80519E-1	2.31209E-1	2.48512E+2
7.19988E+0	7.09060E-3	4.43163E+1	2.69335E-1	2.26369E-1	2.73546E+2
7.39991E+0	7.87220E-3	4.92012E+1	2.56456E-1	2.19226E-1	2.97211E+2
7.59987E+0	8.68527E-3	5.42829E+1	2.46066E-1	2.19377E-1	3.23126E+2
7.79989E+0	9.55903E-3	5.97439E+1	2.34923E-1	2.14440E-1	3.48464E+2
7.99991E+0	1.04821E-2	6.55131E+1	2.25934E-1	2.09824E-1	3.76916E+2
8.19984E+0	1.14395E-2	7.14969E+1	2.15731E-1	2.06605E-1	4.02583E+2
8.39991E+0	1.24475E-2	7.77969E+1	2.07782E-1	2.01901E-1	4.32209E+2
8.59982E+0	1.35096E-2	8.44350E+1	1.98681E-1	1.98410E-1	4.59216E+2
8.79985E+0	1.46164E-2	9.13525E+1	1.91261E-1	1.95878E-1	4.89410E+2
8.99990E+0	1.57794E-2	9.86212E+1	1.82957E-1	1.91459E-1	5.16900E+2
9.19982E+0	1.69729E-2	1.06081E+2	1.76522E-1	1.89568E-1	5.48358E+2
9.39986E+0	1.82251E-2	1.13907E+2	1.68984E-1	1.84840E-1	5.75927E+2
9.60020E+0	1.95168E-2	1.21980E+2	1.63015E-1	1.82565E-1	6.07642E+2
9.64908E+0	2.00012E-2	1.25008E+2	1.59382E-1	1.78990E-1	6.11944E+2
