Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99967E-1	-1.07494E-7	-6.71837E-4	-3.02272E+1	-8.36008E+1	-6.46396E-2
-7.99987E-1	-6.44312E-8	-4.02695E-4	3.76231E+2	1.28935E+2	3.85802E-1
-5.99939E-1	-2.29207E-9	-1.43254E-5	-1.00183E+4	6.45105E+2	-2.74069E-1
-3.99928E-1	1.72308E-8	1.07693E-4	-5.83001E+3	-3.25777E+2	-7.99257E-1
-1.99979E-1	2.80472E-8	1.75295E-4	-1.92165E+3	-9.12757E+1	-2.14426E-1
7.47681E-5	3.20642E-8	2.00401E-4	-8.69633E+6	-3.99410E+2	-4.14766E-1
2.00067E-1	3.94523E-8	2.46577E-4	-6.29283E+2	3.40906E+2	-9.88152E-2
4.00016E-1	5.17833E-8	3.23646E-4	3.39399E+2	-2.52274E+2	1.39865E-1
5.99999E-1	6.23681E-8	3.89801E-4	-3.74025E+2	-1.62296E+2	-2.78448E-1
8.00004E-1	8.89165E-8	5.55728E-4	-3.36738E+2	-1.00613E+2	-4.76537E-1
9.99986E-1	1.10106E-7	6.88162E-4	-3.28600E+2	4.26538E+1	-7.19784E-1
1.20000E+0	1.81497E-7	1.13436E-3	-1.49673E+2	-2.29723E+0	-6.48520E-1
1.40000E+0	2.78675E-7	1.74172E-3	-3.97276E+1	-4.35448E+0	-3.08353E-1
1.60000E+0	4.17429E-7	2.60893E-3	-4.60154E+1	-1.72245E+1	-6.11415E-1
1.79998E+0	5.77211E-7	3.60757E-3	-2.02607E+1	-1.53971E+1	-4.18781E-1
1.99997E+0	8.44868E-7	5.28043E-3	-1.05141E+1	-3.17427E+1	-3.53438E-1
2.20010E+0	1.20676E-6	7.54225E-3	-8.96310E+0	-2.40123E+1	-4.73426E-1
2.40005E+0	2.12773E-6	1.32983E-2	-8.07361E+0	-9.77397E+0	-8.20228E-1
2.60001E+0	3.30644E-6	2.06652E-2	-2.41127E+0	-1.17831E+0	-4.12393E-1
2.80000E+0	6.23863E-6	3.89914E-2	5.38859E-1	1.42728E+0	1.87263E-1
2.99991E+0	1.19637E-5	7.47731E-2	3.58532E-1	2.17635E-1	2.55995E-1
3.20005E+0	2.19642E-5	1.37276E-1	7.49261E-1	7.25434E-1	1.04770E+0
3.39992E+0	3.87775E-5	2.42359E-1	6.08046E-1	-3.35795E-1	1.59483E+0
3.59994E+0	6.69759E-5	4.18599E-1	5.29974E-1	3.56842E-1	2.54213E+0
3.79994E+0	1.01665E-4	6.35406E-1	5.33601E-1	3.45408E-1	4.10105E+0
3.99987E+0	1.52151E-4	9.50944E-1	5.14289E-1	8.89867E-2	6.22670E+0
4.19986E+0	2.16247E-4	1.35154E+0	4.83754E-1	2.08012E-1	8.74057E+0
4.39983E+0	2.98816E-4	1.86760E+0	4.53242E-1	2.94136E-1	1.18550E+1
4.59979E+0	3.97636E-4	2.48522E+0	4.22262E-1	2.38017E-1	1.53651E+1
4.80009E+0	5.17011E-4	3.23132E+0	3.92493E-1	1.90178E-1	1.93781E+1
5.00005E+0	6.52154E-4	4.07596E+0	3.68491E-1	1.97545E-1	2.39046E+1
5.20001E+0	8.07681E-4	5.04801E+0	3.46012E-1	2.03609E-1	2.89111E+1
5.40003E+0	9.78295E-4	6.11434E+0	3.24873E-1	1.94074E-1	3.41437E+1
5.59997E+0	1.16310E-3	7.26938E+0	3.12211E-1	2.00398E-1	4.04558E+1
5.80007E+0	1.36129E-3	8.50806E+0	2.93155E-1	1.93809E-1	4.60480E+1
6.00003E+0	1.57335E-3	9.83344E+0	2.75177E-1	1.98740E-1	5.16798E+1
6.20009E+0	1.81338E-3	1.13336E+1	2.61713E-1	1.82434E-1	5.85386E+1
6.40011E+0	2.06371E-3	1.28982E+1	2.54005E-1	1.75124E-1	6.67434E+1
