Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99973E-1	-2.12660E-8	-1.32912E-4	-2.21618E+2	6.55078E+2	-9.37582E-2
-7.99969E-1	1.79117E-8	1.11948E-4	-5.20662E+2	-3.05186E+2	-1.48421E-1
-5.99939E-1	2.62327E-8	1.63954E-4	1.85119E+3	-8.57331E+2	5.79605E-1
-3.99927E-1	3.01930E-8	1.88706E-4	4.39694E+2	-3.61511E+2	1.05625E-1
-1.99979E-1	3.15064E-8	1.96915E-4	-7.83184E+2	-7.00701E+1	-9.81696E-2
7.95364E-5	3.72266E-8	2.32666E-4	-1.08781E+7	-7.11675E+2	-6.40769E-1
2.00073E-1	4.16870E-8	2.60544E-4	-3.32597E+3	-5.65924E+2	-5.51871E-1
4.00014E-1	3.84162E-8	2.40101E-4	1.09676E+3	1.74520E+2	3.35300E-1
6.00005E-1	3.95484E-8	2.47178E-4	2.04265E+1	-1.32821E+2	9.64289E-3
8.00017E-1	4.16101E-8	2.60063E-4	5.05254E+2	-5.84782E+2	3.34609E-1
1.00002E+0	4.87049E-8	3.04406E-4	7.00589E+1	2.13788E+1	6.78851E-2
1.20002E+0	5.84570E-8	3.65356E-4	-2.35917E+2	-2.41277E+2	-3.29242E-1
1.40002E+0	7.06120E-8	4.41325E-4	1.29486E+2	-2.37085E+0	2.54662E-1
1.60002E+0	8.80992E-8	5.50620E-4	8.57667E+1	1.18896E+2	2.40517E-1
1.79990E+0	5.75776E-8	3.59860E-4	-6.19977E+1	1.30784E+2	-1.27823E-1
1.99990E+0	4.40256E-8	2.75160E-4	1.14086E+2	2.54877E+2	1.99838E-1
2.19999E+0	2.25890E-7	1.41181E-3	1.19700E+2	9.36970E+1	1.18343E+0
2.39999E+0	5.64128E-7	3.52580E-3	-2.27064E+0	3.27500E+1	-6.11598E-2
2.60001E+0	1.47705E-6	9.23156E-3	-1.40774E+0	9.26086E+0	-1.07553E-1
2.79995E+0	4.09362E-6	2.55851E-2	2.36846E+0	1.75978E+0	5.40074E-1
2.99988E+0	9.79161E-6	6.11976E-2	1.71065E+0	1.37689E+0	9.99653E-1
3.19979E+0	2.08652E-5	1.30408E-1	9.13711E-1	3.14883E-1	1.21362E+0
3.39985E+0	4.06655E-5	2.54159E-1	1.32075E+0	3.79707E-1	3.63277E+0
3.59986E+0	7.24065E-5	4.52541E-1	1.11171E+0	5.72297E-1	5.76480E+0
3.79991E+0	1.20494E-4	7.53088E-1	9.55499E-1	4.40981E-1	8.70361E+0
3.99982E+0	1.89017E-4	1.18136E+0	8.32509E-1	3.34901E-1	1.25216E+1
4.19985E+0	2.83391E-4	1.77119E+0	7.86083E-1	2.91027E-1	1.86131E+1
4.39984E+0	4.05179E-4	2.53237E+0	7.14121E-1	3.58664E-1	2.53271E+1
4.59979E+0	5.56830E-4	3.48019E+0	6.73127E-1	3.30146E-1	3.42995E+1
4.80012E+0	7.41460E-4	4.63413E+0	6.27068E-1	3.34189E-1	4.44002E+1
5.00009E+0	9.55733E-4	5.97333E+0	5.87974E-1	3.28713E-1	5.58988E+1
5.20008E+0	1.19608E-3	7.47550E+0	5.49252E-1	3.40712E-1	6.79630E+1
5.40008E+0	1.46196E-3	9.13725E+0	5.09634E-1	3.09447E-1	8.00431E+1
5.60003E+0	1.74643E-3	1.09152E+1	4.82406E-1	3.11042E-1	9.38608E+1
5.80011E+0	2.05364E-3	1.28352E+1	4.54189E-1	3.00171E-1	1.07629E+2
6.00007E+0	2.38964E-3	1.49352E+1	4.35178E-1	3.07125E-1	1.24133E+2
6.20008E+0	2.75408E-3	1.72130E+1	4.09634E-1	2.95132E-1	1.39155E+2
6.40008E+0	3.15370E-3	1.97106E+1	3.90033E-1	2.83402E-1	1.56616E+2
6.60004E+0	3.58767E-3	2.24229E+1	3.69232E-1	2.79924E-1	1.73936E+2
6.80007E+0	4.05450E-3	2.53406E+1	3.54376E-1	2.67337E-1	1.94377E+2
6.99999E+0	4.56582E-3	2.85364E+1	3.34329E-1	2.69873E-1	2.12579E+2
