	Timestamp	Filtered Rate: CBP	Filtered Rate: tri-PXZ-trz	Filtered Rate: BuO-BsubPc	Source Power: CBP	Source Power: tri-PXZ-trz	Source Power: BuO-BsubPc	Thickness: CBP	Thickness: tri-PXZ-trz	Thickness: BuO-BsubPc	State: CBP	State: tri-PXZ-trz	State: BuO-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: tri-PXZ-trz	Fundamental  Frequency: BuO-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: tri-PXZ-trz	Current Z-Ratio: BuO-BsubPc
26	11:40:53	0.000	-0.000	-0.000	9.760	2.420	14.400	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	786
27	11:40:54	0.000	0.000	-0.000	10.120	2.510	14.940	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	783
28	11:40:55	0.000	-0.000	-0.000	10.520	2.610	15.540	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	787
29	11:40:56	0.000	-0.001	-0.000	10.920	2.710	16.140	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	786
30	11:40:57	-0.000	0.000	-0.000	11.320	2.810	16.740	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	787
31	11:40:58	0.000	-0.000	-0.000	11.720	2.910	17.340	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	787
32	11:40:59	0.001	0.000	-0.000	12.000	3.010	17.940	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	786
33	11:41:00	-0.001	0.001	-0.000	12.000	3.120	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	788
34	11:41:01	0.000	0.000	-0.000	12.000	3.210	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
35	11:41:02	0.000	0.001	-0.000	12.000	3.310	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
36	11:41:03	0.000	-0.000	-0.000	12.000	3.410	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	788
37	11:41:04	0.000	0.001	-0.000	12.000	3.510	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
38	11:41:05	-0.001	-0.000	-0.000	12.000	3.610	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	785
39	11:41:06	-0.000	-0.001	-0.001	12.000	3.710	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	784
40	11:41:07	0.000	0.000	-0.001	12.000	3.820	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	784
41	11:41:08	0.001	-0.001	-0.001	12.000	3.910	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
42	11:41:09	-0.001	-0.000	-0.001	12.000	4.010	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
43	11:41:10	-0.001	-0.000	-0.001	12.000	4.110	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	785
44	11:41:11	0.000	-0.000	-0.001	12.000	4.210	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
