	Wavelength (nm)	Intensity (Counts)	Standard Deviation (Counts)
0	380.0	37.69027777777777	177.10542554767443
1	380.5	15.99972222222221	118.72369456562464
2	381.0	40.43633333333334	181.82171946931362
3	381.5	-45.28222222222223	246.32550074501816
4	382.0	-35.992222222222225	212.77733485593586
5	382.5	-48.899666666666675	176.29136866940857
6	383.0	26.111111111111093	189.94018914995578
7	383.5	3.507777777777776	173.13833161041927
8	384.0	62.041666666666664	223.10788813312323
9	384.5	-39.274444444444434	191.883148563049
10	385.0	-48.39766666666666	174.6152898221306
11	385.5	24.580666666666666	103.24583899444406
12	386.0	122.89477777777776	148.56499242664268
13	386.5	14.520333333333333	154.4638997007967
14	387.0	81.69392222222223	210.4479873137635
15	387.5	132.79505555555554	257.096859384092
16	388.0	-55.338888888888896	212.48938890863568
17	388.5	63.86333333333333	148.48813588184973
18	389.0	49.19	153.9625113821904
19	389.5	-56.32299999999999	183.01343727138968
20	390.0	22.511111111111113	195.68179134868961
21	390.5	-114.65333333333335	190.8233370307614
22	391.0	127.45105555555557	251.75640886699992
23	391.5	2.6155555555555687	200.70408115272102
24	392.0	-39.78622222222222	82.99148897899481
25	392.5	-23.75622222222222	215.74070204853572
26	393.0	18.96722222222222	265.5524416675872
27	393.5	-20.455	198.3947278995421
28	394.0	94.43833333333333	211.10410678804374
29	394.5	95.91290000000001	166.89332934633228
30	395.0	62.305111111111124	208.45914137277967
31	395.5	1.8861666666666639	153.96854906774885
32	396.0	87.52666666666667	235.67760681820312
33	396.5	-13.940111111111118	216.51359570395186
34	397.0	44.614944444444454	195.7484686815291
35	397.5	58.78944444444445	170.23419223307317
36	398.0	117.83444444444444	148.15001444565206
37	398.5	37.627777777777766	212.1254839726177
38	399.0	71.73155555555556	193.6217392897302
39	399.5	9.683000000000005	158.76018514903402
40	400.0	49.436222222222234	192.451078413755
41	400.5	59.84633333333333	195.22185459312124
42	401.0	11.935388888888887	133.519879615625
43	401.5	9.128888888888891	165.8373433313796
44	402.0	-15.018333333333336	193.3798408501316
45	402.5	105.00849999999998	171.80398414221622
46	403.0	49.460444444444434	204.1397350482758
47	403.5	27.251277777777776	179.86243975753789
48	404.0	2.1199999999999926	156.3967916337587
49	404.5	-27.16	177.93467562251288
50	405.0	-16.055444444444436	211.34971214007214
51	405.5	8.060555555555554	225.03419541315697
52	406.0	84.98183333333333	204.06348739172378
53	406.5	50.1651111111111	196.59304176589117
54	407.0	-42.20688888888889	194.10164148967843
55	407.5	75.73222222222222	229.67420230877661
56	408.0	56.55738888888888	208.82682352001592
57	408.5	68.141	212.09412242707506
58	409.0	111.10000000000001	217.01129207690758
59	409.5	80.62277777777778	219.64948035463624
60	410.0	-25.915388888888884	149.48861161125242
61	410.5	39.29744444444445	180.9902356271134
62	411.0	-41.1888888888889	223.32557603166848
63	411.5	101.20111111111112	214.24650563438186
64	412.0	41.66222222222223	159.98742678221643
65	412.5	112.36283333333334	153.59661779705453
66	413.0	63.428333333333335	214.16243023695822
67	413.5	12.79888888888889	245.4210817913863
