	Pixel
0	A1-1
1	A2-1
2	A3-1
3	A4-1
6	B2-1
7	B3-1
8	B4-1
9	B5-1
10	C1-1
11	C2-1
12	C3-1
13	C4-1
14	C5-1
15	D1-1
16	D2-1
17	D3-1
18	D4-1
19	D5-1
