	Pixel	Max Current (A)	Max Luminance (cd/m2)	Status	Turnon Voltage (V)	EQE(%)_max	EQE(%)_avg	CE(cd/A)_max	CE(cd/A)_avg	PE(lm/W)_max	PE(lm/W)_avg	V (V) @ 100 cd/m2	EQE(%) @ 100 cd/m2	CE(cd/A) @ 100 cd/m2	PE(lm/W) @ 100 cd/m2	λmax (nm) @ 100 cd/m2	FWHM (nm) @ 100 cd/m2	CIE-x @ 100 cd/m2	CIE-y @ 100 cd/m2	Hex Color @ 100 cd/m2	V (V) @ 250 cd/m2	EQE(%) @ 250 cd/m2	CE(cd/A) @ 250 cd/m2	PE(lm/W) @ 250 cd/m2	λmax (nm) @ 250 cd/m2	FWHM (nm) @ 250 cd/m2	CIE-x @ 250 cd/m2	CIE-y @ 250 cd/m2	Hex Color @ 250 cd/m2
0	A1-1	0.0200005	1621.84	Working	3.2	0.684556	0.5339618193548387	2.0869985345138042	1.6593815842002553	1.49168	0.9274092903225807	4.5998	0.680035	2.0869985345138042	1.42539	577.5	32.0	0.47235742242509904	0.49871912072620006	#afff00	5.40012	0.644629	1.9638283470962505	1.14248	576.5	33.5	0.4603759025116352	0.5025576572759516	#9fff00
1	A2-1	0.0200003	1612.0	Working	3.0	0.637842	0.5157586875	1.8522149092097275	1.4520346640757196	1.26509	0.8084660625	4.59962	0.637842	1.8522149092097275	1.26509	576.5	34.0	0.46350283231071404	0.5005779019494834	#a4ff00	5.40003	0.5918	1.7515000826817224	1.01898	577.0	33.5	0.4578789806509807	0.506104616885961	#99ff00
2	A3-1	0.0200008	1786.41	Working	3.0	0.768759	0.631320484848485	2.2397695928719967	1.8017511807626252	1.50944	1.006330303030303	4.59976	0.733356	2.210055920859786	1.50944	577.0	31.5	0.46246434467404474	0.502522260717312	#a1ff00	5.40001	0.71678	2.1362210529359045	1.2428	576.5	33.5	0.45208976802445044	0.5064885260880361	#93ff00
3	A4-1	0.019688	1809.7	Working	3.0	0.966735	0.7234375588235293	2.6465957293838525	2.098211314202051	2.09817	1.2051716764705884	4.59981	0.866531	2.613688496727987	1.7851	577.0	33.0	0.459217920626011	0.5039740421736313	#9dff00	5.40015	0.812998	2.4594065721871656	1.43078	576.5	33.5	0.44952766864725113	0.5089621767381962	#8eff00
4	B1-1	0.019906	9.48	Short Circuit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5	B2-1	0.0198682	1768.22	Working	3.0	0.805895	0.6504344193548387	2.467609632111439	1.9627893924396105	2.1115	1.1674522580645161	4.59971	0.755201	2.4314312266073275	1.66067	577.0	33.0	0.46850124292638395	0.4995670936045599	#aaff00	5.40001	0.752467	2.25892009172966	1.31418	577.0	33.5	0.46084548337597875	0.5044240784309436	#9eff00
6	B3-1	0.0200008	1750.72	Working	3.2	0.776093	0.6108212258064515	2.3965697663812557	1.9153589630964316	1.70841	1.0877601935483872	4.59968	0.730095	2.3512909287031563	1.60594	576.5	31.5	0.4660147722689399	0.5015443030680454	#a6ff00	5.40006	0.748529	2.314861644112301	1.34671	576.5	33.0	0.45642399056219374	0.5076089386503374	#97ff00
7	B4-1	0.0200005	1938.52	Working	3.0	1.22031	0.7878617272727273	2.8818148515850224	2.303211219743881	2.46991	1.361514303030303	4.5997	0.950813	2.8818148515850224	1.96827	576.5	32.0	0.45806648193109967	0.5038503581768055	#9bff00	5.4	0.890276	2.673675475075993	1.55548	577.0	34.0	0.4524818482048652	0.5100449589781307	#91ff00
8	B5-1	0.0200003	1907.56	Working	2.8	0.79996	0.6479513714285714	2.492457684818381	2.0077117210097906	1.76598	1.1518948571428573	4.8	0.793095	2.470549668398868	1.61698	577.0	32.5	0.45396882789200305	0.50516605249792	#96ff00	5.40003	0.785937	2.4417864952620763	1.42057	577.0	34.0	0.45200887097572917	0.5102217086629328	#90ff00
9	C1-1	0.0200008	1599.31	Working	3.2	0.759022	0.5552519085714286	2.4040653629555613	1.6648024193147855	1.79829	0.8607732857142856	4.80015	0.715843	2.169421122923862	1.41984	577.0	32.0	0.47394177252817615	0.4967193530857447	#b2ff00	5.60006	0.716061	2.158202307396058	1.21073	577.0	33.0	0.46836892834273747	0.49861861391374135	#abff00
