	Pixel	Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)	CE(cd/A)
0	A1-1	-0.999966	-1.20639e-06	-0.00753994	17.2297	-0.623325	0.413504	-5.484181571736645
1	A1-1	-0.799983	-8.50206e-07	-0.00531379	-47.1184	-19.7007	-0.637567	11.998347695336097
2	A1-1	-0.599967	-5.68874e-07	-0.00355546	-27.7579	-24.7507	-0.188478	5.301086216692074
3	A1-1	-0.399955	-3.48872e-07	-0.00218045	7.69654	1.30953	0.021365	-0.9798436102639363
4	A1-1	-0.200006	-1.60318e-07	-0.00100199	-473.432	-114.772	-0.302004	30.140420563079477
5	A1-1	4.16517e-05	8.00312e-10	5.00195e-06	-386022000.0	-549.331	-0.255997	-5117.9440018392825
6	A1-1	0.200036	1.47616e-07	0.0009226	-751.242	-139.498	-0.441318	-47.83416431823109
7	A1-1	0.399974	3.06948e-07	0.00191842	-299.299	-113.835	-0.731023	-38.10547221150738
8	A1-1	0.599964	5.50345e-07	0.00343966	-55.2805	-14.2077	-0.36313	-10.557148090218218
9	A1-1	0.799981	8.94546e-07	0.00559091	-46.6628	-16.0107	-0.664329	-11.882305384990993
10	A1-1	0.999986	1.33457e-06	0.00834106	-18.8235	-11.5063	-0.499764	-5.991612576818772
11	A1-1	1.2	1.89933e-06	0.0118708	0.423812	-10.1682	0.019217	0.16188462445664992
12	A1-1	1.4	2.69186e-06	0.0168241	-3.75561	-7.83678	-0.281573	-1.6736289013974002
13	A1-1	1.6	3.79886e-06	0.0237429	-5.19668	-8.27055	-0.62839	-2.6466438387897013
14	A1-1	1.79998	5.31139e-06	0.0331962	-1.4064	-0.444867	-0.267495	-0.8058000614528169
15	A1-1	1.99997	6.97649e-06	0.0436031	-2.42712	-2.3492	-0.673724	-1.5451286720439603
16	A1-1	2.20001	9.29018e-06	0.0580636	-1.62123	-3.79371	-0.65921	-1.1353240240012676
17	A1-1	2.39997	1.23288e-05	0.077055	-1.19498	-1.64335	-0.703426	-0.9128881967425866
18	A1-1	2.60002	1.71112e-05	0.106945	-0.105724	-1.36033	-0.0935755	-0.0874987142923933
19	A1-1	2.79996	2.33799e-05	0.146124	0.662079	0.024754	0.862253	0.5900830801237306
20	A1-1	2.99987	9.51226e-05	0.594516	0.199274	0.131414	1.13127	0.19028419756575093
21	A1-1	3.19995	9.60876e-05	0.600548	0.86664	0.0234874	5.30127	0.8827387652610617
22	A1-1	3.39982	0.000125597	0.784981	1.19489	0.36025	10.1507	1.2931141008508487
23	A1-1	3.59988	0.000207376	1.2961	1.14194	0.339859	16.9598	1.3085255767301907
24	A1-1	3.79985	0.000271956	1.69973	1.29024	0.409175	26.5256	1.560577268154354
25	A1-1	3.99984	0.000350419	2.19012	1.49168	0.578762	41.5945	1.8991881723375887
