	Timestamp	Filtered Rate: CBP	Filtered Rate: Cl-BsubPc	Source Power: CBP	Source Power: Cl-BsubPc	Thickness: CBP	Thickness: Cl-BsubPc	State: CBP	State: Cl-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: Cl-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: Cl-BsubPc
0	12:24:22	-0.001	0.000	0.000	0.000	0.000	0.000	Ready	Ready	1	Sensor Status	000.000	Fundamental Activity
1	12:24:23	0.000	0.000	0.160	0.060	0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	705
2	12:24:24	0.001	0.001	0.560	0.660	0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	703
3	12:24:25	-0.001	0.000	0.960	1.260	0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	705
4	12:24:26	0.001	0.000	1.360	1.860	0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	703
5	12:24:27	0.000	0.000	1.760	2.460	0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	704
6	12:24:28	0.000	-0.000	2.160	3.060	0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	704
7	12:24:29	0.000	-0.000	2.560	3.660	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	703
8	12:24:30	0.000	-0.000	2.960	4.260	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	704
9	12:24:31	0.000	-0.000	3.360	4.860	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	704
10	12:24:32	0.001	-0.000	3.760	5.460	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	704
11	12:24:33	0.000	-0.000	4.160	6.060	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	704
12	12:24:34	0.001	-0.000	4.560	6.660	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	704
13	12:24:35	0.001	-0.000	4.960	7.260	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	706
14	12:24:36	0.000	-0.000	5.360	7.860	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	705
15	12:24:37	0.007	-0.000	5.760	8.460	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	704
16	12:24:38	-0.001	-0.000	6.160	9.060	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	704
17	12:24:39	-0.006	-0.000	6.560	9.660	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	704
18	12:24:40	0.001	-0.000	6.960	10.260	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	704
19	12:24:41	0.000	-0.000	7.360	10.860	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	705
20	12:24:42	0.000	-0.000	7.760	11.460	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	704
21	12:24:43	-0.001	-0.000	8.160	12.060	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	704
22	12:24:44	0.000	-0.000	8.560	12.660	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	704
23	12:24:45	-0.000	-0.000	8.960	13.260	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	703
24	12:24:46	0.001	-0.000	9.360	13.860	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	704
25	12:24:47	-0.001	-0.000	9.760	14.460	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	705
26	12:24:48	0.001	-0.000	10.160	15.060	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	703
27	12:24:49	-0.000	-0.000	10.560	15.660	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	704
28	12:24:50	0.001	-0.000	10.960	16.260	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	705
29	12:24:51	0.000	-0.000	11.360	16.860	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	705
30	12:24:52	0.001	-0.000	11.760	17.460	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	704
31	12:24:53	-0.001	-0.000	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	704
32	12:24:54	0.000	-0.000	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	704
33	12:24:55	0.001	-0.000	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	702
34	12:24:56	0.001	-0.000	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	704
35	12:24:57	0.000	-0.000	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	704
36	12:24:58	0.000	-0.000	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	706
37	12:24:59	0.000	-0.000	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	704
38	12:25:00	-0.001	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	704
39	12:25:01	-0.000	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	705
40	12:25:02	0.001	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	704
41	12:25:03	-0.000	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	703
42	12:25:04	-0.001	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	704
43	12:25:05	0.001	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	704
44	12:25:06	0.001	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	706
45	12:25:07	-0.000	-0.002	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	703
46	12:25:08	0.000	-0.002	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	703
47	12:25:09	-0.001	-0.002	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	705
48	12:25:10	-0.000	-0.002	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	705
49	12:25:11	0.001	-0.002	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	704
50	12:25:12	-0.001	-0.002	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	706
51	12:25:13	0.000	-0.002	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	705
52	12:25:14	-0.000	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	705
53	12:25:15	0.000	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	703
54	12:25:16	-0.000	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	704
55	12:25:17	0.000	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	703
56	12:25:18	0.000	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	704
57	12:25:19	-0.001	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	705
58	12:25:20	0.001	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	705
