Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99978E-1	-2.92856E-8	-1.83035E-4	7.93702E+2	1.87782E+1	4.62415E-1
-7.99970E-1	8.46550E-9	5.29094E-5	2.09769E+3	5.01059E+2	2.82617E-1
-5.99950E-1	1.54881E-8	9.68006E-5	2.00840E+2	9.44739E+2	3.71273E-2
-3.99939E-1	2.37000E-8	1.48125E-4	-5.92913E+3	-5.04306E+2	-1.11805E+0
-1.99988E-1	2.78193E-8	1.73871E-4	-1.55999E+3	-9.85696E+1	-1.72664E-1
5.92947E-5	2.84178E-8	1.77611E-4	1.04844E+7	1.12015E+2	3.51463E-1
2.00051E-1	2.94121E-8	1.83826E-4	-3.18226E+2	2.04816E+1	-3.72506E-2
3.99999E-1	3.34946E-8	2.09341E-4	-7.31922E+2	-5.77932E+2	-1.95087E-1
5.99988E-1	3.46869E-8	2.16793E-4	-5.85807E+2	-4.81515E+1	-2.42545E-1
8.00008E-1	4.29991E-8	2.68744E-4	-3.42198E+2	1.12871E+2	-2.34187E-1
1.00000E+0	4.79482E-8	2.99676E-4	-4.40204E+1	2.90517E+2	-4.19910E-2
1.20001E+0	6.00859E-8	3.75537E-4	5.50530E+1	4.99936E+2	7.89711E-2
1.40001E+0	7.94046E-8	4.96279E-4	1.71109E+1	1.90611E+2	3.78425E-2
1.60000E+0	7.76056E-8	4.85035E-4	1.11923E+2	-7.91397E+1	2.76478E-1
1.79998E+0	1.18120E-7	7.38250E-4	-2.72249E+1	-7.05824E+1	-1.15156E-1
1.99997E+0	1.74946E-7	1.09341E-3	-2.79126E+1	-6.76861E+1	-1.94293E-1
2.19997E+0	3.29932E-7	2.06208E-3	-2.46289E+0	-8.36570E+0	-3.55645E-2
2.39989E+0	6.72963E-7	4.20602E-3	-7.15763E+0	7.52342E-2	-2.29976E-1
2.59989E+0	1.82788E-6	1.14243E-2	-1.21165E+0	1.12310E+0	-1.14554E-1
2.79991E+0	3.18964E-6	1.99353E-2	1.12996E+0	-1.84611E+0	2.00762E-1
2.99979E+0	7.40587E-6	4.62867E-2	1.67490E+0	1.11950E+0	7.40262E-1
3.19979E+0	1.30260E-5	8.14125E-2	1.50908E+0	1.31528E+0	1.25134E+0
3.39983E+0	2.27819E-5	1.42387E-1	1.42667E+0	-5.43119E-1	2.19838E+0
3.59978E+0	3.68587E-5	2.30367E-1	1.42862E+0	2.65263E-1	3.77106E+0
3.79980E+0	5.67023E-5	3.54389E-1	1.28367E+0	6.22409E-1	5.50229E+0
3.99971E+0	8.59386E-5	5.37116E-1	1.07637E+0	6.73287E-1	7.36050E+0
4.19973E+0	1.25311E-4	7.83194E-1	1.00961E+0	3.58830E-1	1.05705E+1
4.39973E+0	1.75755E-4	1.09847E+0	9.24660E-1	5.31236E-1	1.42248E+1
4.59964E+0	2.41154E-4	1.50721E+0	8.85919E-1	3.98057E-1	1.95498E+1
4.80002E+0	3.24509E-4	2.02818E+0	7.89220E-1	4.63889E-1	2.44567E+1
4.99999E+0	4.23328E-4	2.64580E+0	7.39675E-1	4.24055E-1	3.11471E+1
5.20002E+0	5.46355E-4	3.41472E+0	6.86767E-1	4.06988E-1	3.88168E+1
5.39997E+0	6.92934E-4	4.33084E+0	6.47063E-1	4.06271E-1	4.81681E+1
5.59992E+0	8.67065E-4	5.41916E+0	5.98425E-1	3.91337E-1	5.78060E+1
5.79996E+0	1.06335E-3	6.64594E+0	5.72882E-1	3.75338E-1	7.02904E+1
5.99997E+0	1.29000E-3	8.06250E+0	5.31017E-1	3.61890E-1	8.17668E+1
6.20006E+0	1.54174E-3	9.63587E+0	4.98397E-1	3.43712E-1	9.47790E+1
6.40006E+0	1.81895E-3	1.13684E+1	4.68571E-1	3.38422E-1	1.08520E+2
6.60002E+0	2.12286E-3	1.32679E+1	4.45637E-1	3.30073E-1	1.24216E+2
6.80006E+0	2.45071E-3	1.53169E+1	4.20851E-1	3.19389E-1	1.39529E+2
6.99997E+0	2.80011E-3	1.75007E+1	4.00070E-1	3.18122E-1	1.56005E+2
7.19998E+0	3.18065E-3	1.98791E+1	3.77998E-1	3.08641E-1	1.72213E+2
7.39998E+0	3.58391E-3	2.23994E+1	3.61339E-1	3.03870E-1	1.90648E+2
7.59992E+0	4.01991E-3	2.51244E+1	3.42519E-1	2.95578E-1	2.08181E+2
7.79994E+0	4.48191E-3	2.80119E+1	3.28343E-1	2.87610E-1	2.28356E+2
7.99991E+0	4.98396E-3	3.11497E+1	3.12710E-1	2.84564E-1	2.48046E+2
8.19984E+0	5.52251E-3	3.45157E+1	3.00012E-1	2.73678E-1	2.70278E+2
8.39988E+0	6.09773E-3	3.81108E+1	2.85950E-1	2.72908E-1	2.91381E+2
8.59988E+0	6.71232E-3	4.19520E+1	2.74651E-1	2.69629E-1	3.15411E+2
8.79984E+0	7.36890E-3	4.60556E+1	2.63061E-1	2.62534E-1	3.39363E+2
8.99982E+0	8.06880E-3	5.04300E+1	2.51686E-1	2.57750E-1	3.63606E+2
9.19981E+0	8.81204E-3	5.50752E+1	2.42109E-1	2.52838E-1	3.90478E+2
9.39985E+0	9.60012E-3	6.00008E+1	2.32857E-1	2.49053E-1	4.18039E+2
