	Pixel	HATCN	TAPC	CBP	tri-PXZ-trz	BuO-BsubPc	B3PYMPM	LiQ	Al
0	A1	114.26811976660682	261.58636473214284	151.01599103092784	44.161156372093025	1.7968660500269904	445.9541888051282	11.214712665847665	747.7526014887097
1	A2	111.84194382405745	270.666721875	154.35619721649482	43.30999358139535	1.7794636208771928	463.34788111282046	11.112255663390663	738.8560531016129
2	A3	109.41576788150807	279.7470790178571	157.69640340206186	42.458830790697675	1.7620611917273952	480.74157342051285	11.00979866093366	729.9595047145161
3	A4	106.98959193895871	288.8274361607143	161.03660958762885	41.607668	1.744658762577598	498.13526572820507	10.907341658476659	721.0629563274194
4	A5	104.56341599640933	297.9077933035714	164.37681577319586	40.756505209302325	1.7272563334278004	515.5289580358974	10.804884656019656	712.1664079403226
5	B1	109.06943035906643	273.3506504464286	152.76423845360824	42.52124939534884	1.9406992753981105	458.5442759846153	10.597218808353807	644.8326143919355
6	B2	106.64325441651707	282.4310075892857	156.10444463917526	41.67008660465117	1.9232968462483129	475.9379682923077	10.494761805896804	635.9360660048387
7	B3	104.21707847396769	291.51136473214285	159.44465082474224	40.81892381395349	1.9058944170985157	493.3316606	10.392304803439801	627.0395176177419
8	B4	101.79090253141833	300.59172187499996	162.78485701030928	39.96776102325582	1.888491987948718	510.7253529076923	10.2898478009828	618.1429692306451
9	B5	99.36472658886895	309.67207901785713	166.1250631958763	39.11659823255814	1.8710895587989205	528.1190452153845	10.187390798525797	609.2464208435484
10	C1	102.5923747037702	288.0077933035714	154.94238278350514	40.47808660465116	2.1199013266801616	474.23028624102557	9.827882199017198	516.6044337467742
11	C2	100.16619876122083	297.0881504464286	158.28258896907215	39.62692381395349	2.102498897530364	491.62397854871796	9.725425196560197	507.70788535967745
12	C3	97.74002281867146	306.1685075892857	161.62279515463916	38.77576102325581	2.0850964683805664	509.01767085641023	9.622968194103194	498.8113369725807
13	C4	95.31384687612208	315.24886473214286	164.96300134020618	37.92459823255814	2.067694039230769	526.4113631641026	9.520511191646191	489.91478858548396
14	C5	92.88767093357272	324.32922187500003	168.3032075257732	37.07343544186046	2.0502916100809716	543.8050554717948	9.418054189189188	481.01824019838716
15	D1	97.3936852962298	299.77207901785715	156.69063020618555	38.838179627906975	2.263734552051282	486.8203734205128	9.210388341523341	413.6844466500001
16	D2	94.96750935368044	308.8524361607143	160.03083639175256	37.9870168372093	2.2463321229014843	504.21406572820507	9.107931339066338	404.7878982629033
17	D3	92.54133341113106	317.93279330357143	163.37104257731957	37.135854046511625	2.2289296937516867	521.6077580358974	9.005474336609335	395.89134987580644
18	D4	90.1151574685817	327.0131504464286	166.71124876288658	36.284691255813954	2.211527264601889	539.0014503435897	8.903017334152333	386.99480148870975
19	D5	87.68898152603232	336.09350758928565	170.0514549484536	35.43352846511628	2.1941248354520915	556.3951426512821	8.80056033169533	378.09825310161295
